Latitude (decimal degrees):	0.333
Longitude (decimal degrees):	32.569
Radiation database:	PVGIS-SARAH2
Optimal slope angle (deg.):	1

year		month		H(h)_m		H(i_opt)_m		H(i)_m		Hb(n)_m		Kd		T2m
2005		Jan		183.85		184.84		120.97		177.96		0.34		22.8
2005		Feb		189.12		189.73		91.27		178.37		0.31		23.5
2005		Mar		177.9		177.97		54.16		140.64		0.42		22.3
2005		Apr		162.35		162.0		29.5		134.76		0.4		22.2
2005		May		142.0		141.42		31.56		110.19		0.49		20.9
2005		Jun		152.46		151.65		29.92		127.73		0.43		20.9
2005		Jul		162.54		161.7		29.78		141.84		0.4		20.6
2005		Aug		162.21		161.72		31.34		131.99		0.42		20.7
2005		Sep		158.77		158.68		37.55		117.3		0.44		21.2
2005		Oct		160.5		160.8		70.18		127.25		0.43		20.9
2005		Nov		167.93		168.68		104.54		145.36		0.4		21.4
2005		Dec		180.76		181.87		128.98		178.27		0.34		22.1
2006		Jan		182.46		183.42		118.05		174.54		0.33		22.4
2006		Feb		158.66		159.16		79.49		138.11		0.36		22.5
2006		Mar		168.9		168.95		52.15		122.29		0.45		21.6
2006		Apr		162.24		161.88		31.16		124.51		0.42		21.2
2006		May		131.12		130.66		31.65		88.19		0.53		20.8
2006		Jun		157.28		156.42		29.59		136.66		0.41		20.7
2006		Jul		155.18		154.47		32.46		121.24		0.46		20.6
2006		Aug		167.27		166.77		32.28		135.02		0.42		20.8
2006		Sep		168.46		168.34		38.21		133.89		0.43		20.9
2006		Oct		161.45		161.75		72.15		123.57		0.45		21.5
2006		Nov		140.69		141.17		86.36		94.86		0.54		20.5
2006		Dec		150.07		150.77		102.51		109.71		0.5		21.0
2007		Jan		164.82		165.63		108.19		143.71		0.4		21.8
2007		Feb		147.79		148.18		72.67		116.71		0.42		22.2
2007		Mar		201.53		201.62		54.9		173.5		0.36		22.6
2007		Apr		159.85		159.54		32.63		118.53		0.45		22.1
2007		May		159.11		158.46		30.64		129.36		0.42		21.6
2007		Jun		133.85		133.22		30.15		98.7		0.49		20.7
2007		Jul		137.05		136.44		29.76		105.36		0.48		20.4
2007		Aug		146.38		146.02		33.83		98.56		0.51		20.4
2007		Sep		148.35		148.29		39.35		101.03		0.5		20.9
2007		Oct		173.52		173.86		77.05		133.06		0.43		21.3
2007		Nov		167.23		167.93		101.31		138.23		0.41		21.1
2007		Dec		185.33		186.39		128.34		170.94		0.36		21.4
2008		Jan		163.74		164.55		107.53		141.77		0.4		21.7
2008		Feb		164.28		164.74		80.02		137.1		0.39		21.9
2008		Mar		165.87		165.94		49.08		130.82		0.4		21.6
2008		Apr		181.04		180.63		29.59		156.87		0.36		21.1
2008		May		146.73		146.14		27.57		117.43		0.41		21.1
2008		Jun		148.62		147.83		28.36		126.49		0.42		20.5
2008		Jul		142.02		141.4		31.47		106.98		0.49		20.2
2008		Aug		141.91		141.54		33.05		97.53		0.51		20.4
2008		Sep		164.31		164.2		37.13		128.87		0.42		21.3
2008		Oct		154.12		154.38		70.68		107.97		0.49		21.1
2008		Nov		152.93		153.58		97.23		123.43		0.46		21.1
2008		Dec		175.97		176.97		123.84		160.41		0.39		21.7
2009		Jan		137.89		138.53		88.44		116.88		0.41		21.9
2009		Feb		169.02		169.5		81.85		144.29		0.37		22.2
2009		Mar		185.44		185.51		52.71		152.15		0.39		22.7
2009		Apr		159.56		159.2		27.71		131.51		0.38		21.5
2009		May		156.74		156.11		31.92		123.11		0.45		21.3
2009		Jun		166.46		165.5		28.29		154.27		0.37		21.3
2009		Jul		164.61		163.8		29.57		141.72		0.39		21.0
2009		Aug		160.62		160.12		30.65		130.91		0.42		21.2
2009		Sep		155.56		155.45		35.64		115.46		0.43		21.3
2009		Oct		160.0		160.28		72.38		114.32		0.47		21.3
2009		Nov		144.59		145.12		88.69		106.77		0.5		21.2
2009		Dec		137.18		137.82		95.09		103.24		0.5		21.0
2010		Jan		175.77		176.61		113.26		154.12		0.39		22.2
2010		Feb		133.64		134.01		70.28		100.29		0.47		22.3
2010		Mar		174.66		174.73		52.6		134.93		0.42		22.1
2010		Apr		161.5		161.16		31.7		126.63		0.43		22.0
2010		May		167.24		166.51		31.23		138.68		0.41		21.7
2010		Jun		147.55		146.79		30.2		121.43		0.45		21.0
2010		Jul		163.28		162.46		30.5		139.73		0.41		20.8
2010		Aug		161.91		161.42		32.46		126.21		0.44		21.1
2010		Sep		148.23		148.17		40.27		97.64		0.51		21.0
2010		Oct		157.18		157.46		70.35		115.0		0.46		21.3
2010		Nov		146.77		147.33		90.0		109.39		0.48		21.3
2010		Dec		158.21		159.08		111.71		140.43		0.42		20.4

H(h)_m: Irradiation on horizontal plane (kWh/m2/mo)
H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)
H(i)_m: Irradiation on plane at angle (kWh/m2/mo)
Hb(n)_m: Monthly beam (direct) irradiation on a plane always normal to sun rays (kWh/m2/mo)
Kd: Ratio of diffuse to global irradiation (-)
T2m: 24 hour average of temperature (degree Celsius)

PVGIS (c) European Union, 2001-2024
