time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0006,0,0,0,0,0,20.4,2.97,0
20050101:0106,0,0,0,0,0,20.19,3.03,0
20050101:0206,0,0,0,0,0,19.89,3.38,0
20050101:0306,0,0,0,0,0,19.27,3.38,0
20050101:0406,0,0,0,0,0,19.27,2.83,0
20050101:0506,54.31,0,83,0,16.59,19.93,2.41,0
20050101:0606,89.01,0,126,0,30.14,20.98,2.69,0
20050101:0706,174.54,0,230,0,43.17,21.89,3.1,0
20050101:0806,191.89,0,252,0,55.03,22.32,2.55,0
20050101:0906,148.37,0,200,0,64,23.4,2.41,0
20050101:1006,181.24,0,241,0,66.45,24.17,2.55,0
20050101:1106,140.42,0,191,0,60.69,24.47,2.83,0
20050101:1206,49.34,0,78,0,50.15,23.75,2.62,0
20050101:1306,139.66,0,190,0,37.66,24,2.14,0
20050101:1406,83.52,0,121,0,24.35,23.74,1.38,0
20050101:1506,53.17,0,83,0,10.69,23.45,0.41,0
20050101:1606,0,0,0,0,0,22.75,0.9,0
20050101:1706,0,0,0,0,0,22.34,0.34,0
20050101:1806,0,0,0,0,0,21.38,0.83,0
20050101:1906,0,0,0,0,0,19.88,2.14,0
20050101:2006,0,0,0,0,0,19.88,2.41,0
20050101:2106,0,0,0,0,0,19.81,2.34,0
20050101:2206,0,0,0,0,0,19.34,1.86,0
20050101:2306,0,0,0,0,0,19.98,1.17,0
20050102:0006,0,0,0,0,0,20.71,0.9,0
20050102:0106,0,0,0,0,0,20.36,0.9,0
20050102:0206,0,0,0,0,0,19.75,1.03,0
20050102:0306,0,0,0,0,0,18.27,1.31,0
20050102:0406,0,0,0,0,0,17.17,1.52,0
20050102:0506,52.75,0,81,0,16.5,19.23,0.76,0
20050102:0606,62.26,0,94,0,30.06,22.17,0.48,0
20050102:0706,89.78,0,129,0,43.11,23.57,0.34,0
20050102:0806,91.06,0,131,0,55,24.68,0.97,0
20050102:0906,85.12,0,124,0,64.03,25.53,1.17,0
20050102:1006,84.92,0,124,0,66.55,26,1.17,0
20050102:1106,117.45,0,165,0,60.82,26.27,0.83,0
20050102:1206,118.93,0,167,0,50.28,26.2,0.48,0
20050102:1306,102.91,0,147,0,37.78,26.33,0.48,0
20050102:1406,91.92,0,133,0,24.47,26.04,0.55,0
20050102:1506,59.88,0,92,0,10.8,24.93,0.9,0
20050102:1606,0,0,0,0,-3,24.05,1.86,0
20050102:1706,0,0,0,0,0,22.86,2.28,0
20050102:1806,0,0,0,0,0,22.16,2.34,0
20050102:1906,0,0,0,0,0,21.71,2.83,0
20050102:2006,0,0,0,0,0,21.55,2.83,0
20050102:2106,0,0,0,0,0,21.32,2.48,0
20050102:2206,0,0,0,0,0,20.38,1.86,0
20050102:2306,0,0,0,0,0,19.48,2.21,0
20050103:0006,0,0,0,0,0,19.04,2.62,0
20050103:0106,0,0,0,0,0,18.77,2.76,0
20050103:0206,0,0,0,0,0,18.58,2.62,0
20050103:0306,0,0,0,0,0,18.35,2.48,0
20050103:0406,0,0,0,0,0,18.23,2.07,0
20050103:0506,52.91,0,81,0,16.42,18.93,1.59,0
20050103:0606,88.75,0,126,0,29.98,20.91,1.17,0
20050103:0706,109.27,0,152,0,43.05,22.69,1.66,0
20050103:0806,123.78,0,171,0,54.98,24.32,1.59,0
20050103:0906,109.33,0,154,0,64.06,25.49,1.52,0
20050103:1006,84.8,0,124,0,66.65,26.43,1.45,0
20050103:1106,109.24,0,155,0,60.96,27.11,1.52,0
20050103:1206,119.53,0,168,0,50.41,27.2,1.38,0
20050103:1306,86.84,0,127,0,37.91,27.22,1.45,0
20050103:1406,92.51,0,134,0,24.59,26.87,1.17,0
20050103:1506,58.05,0,90,0,10.91,25.87,1.1,0
