time,G(i),H_sun,T2m,WS10m,Int
20050101:0009,0.0,0.0,4.75,1.93,0.0
20050101:0109,0.0,0.0,4.63,1.93,0.0
20050101:0209,0.0,0.0,4.44,2.0,0.0
20050101:0309,0.0,0.0,4.27,1.86,0.0
20050101:0409,0.0,0.0,4.03,1.66,0.0
20050101:0509,0.0,0.0,3.74,1.45,0.0
20050101:0609,94.12,14.72,5.01,0.9,0.0
20050101:0709,265.79,22.59,7.58,1.93,0.0
20050101:0809,506.7,28.19,9.68,1.93,0.0
20050101:0909,582.54,30.85,11.3,1.79,0.0
20050101:1009,880.45,30.17,12.39,1.72,0.0
20050101:1109,488.16,26.26,13.2,1.86,0.0
20050101:1209,153.38,19.67,13.57,2.0,0.0
20050101:1309,97.21,11.08,13.43,1.72,0.0
20050101:1409,22.57,1.08,12.55,1.72,0.0
20050101:1509,0.0,0.0,11.31,1.93,0.0
20050101:1609,0.0,0.0,10.34,2.0,0.0
20050101:1709,0.0,0.0,9.62,2.0,0.0
20050101:1809,0.0,0.0,9.03,2.0,0.0
20050101:1909,0.0,0.0,8.76,2.41,0.0
20050101:2009,0.0,0.0,8.44,2.41,0.0
20050101:2109,0.0,0.0,8.16,2.21,0.0
20050101:2209,0.0,0.0,7.75,1.93,0.0
20050101:2309,0.0,0.0,7.42,1.93,0.0
20050102:0009,0.0,0.0,7.1,2.07,0.0
20050102:0109,0.0,0.0,6.77,2.14,0.0
20050102:0209,0.0,0.0,6.57,2.21,0.0
20050102:0309,0.0,0.0,6.29,2.41,0.0
20050102:0409,0.0,0.0,6.16,2.55,0.0
20050102:0509,0.0,0.0,5.94,2.41,0.0
20050102:0609,284.69,14.72,6.92,2.07,0.0
20050102:0709,499.25,22.62,8.75,2.28,0.0
20050102:0809,379.87,28.24,10.12,1.93,0.0
20050102:0909,241.93,30.93,11.25,1.72,0.0
20050102:1009,132.59,30.28,12.3,1.59,0.0
20050102:1109,159.32,26.38,12.89,1.38,0.0
20050102:1209,29.15,19.8,13.11,0.83,0.0
20050102:1309,56.42,11.21,12.78,0.55,0.0
20050102:1409,8.46,1.21,12.07,0.97,0.0
20050102:1509,0.0,0.0,10.82,1.24,0.0
20050102:1609,0.0,0.0,10.07,1.38,0.0
20050102:1709,0.0,0.0,9.23,2.21,0.0
20050102:1809,0.0,0.0,8.63,2.48,0.0
20050102:1909,0.0,0.0,8.38,2.0,0.0
20050102:2009,0.0,0.0,8.23,2.55,0.0
20050102:2109,0.0,0.0,8.14,3.1,0.0
20050102:2209,0.0,0.0,7.94,3.45,0.0
20050102:2309,0.0,0.0,7.77,3.79,0.0
20050103:0009,0.0,0.0,7.21,4.14,0.0
20050103:0109,0.0,0.0,6.24,4.07,0.0
20050103:0209,0.0,0.0,5.47,4.07,0.0
20050103:0309,0.0,0.0,4.94,4.0,0.0
20050103:0409,0.0,0.0,4.68,3.72,0.0
20050103:0509,0.0,0.0,4.55,3.59,0.0
20050103:0609,284.24,14.73,5.99,3.59,0.0
20050103:0709,539.56,22.65,8.39,4.83,0.0
20050103:0809,703.02,28.3,10.28,5.52,0.0
20050103:0909,818.08,31.02,11.8,6.0,0.0
20050103:1009,807.41,30.38,12.79,6.34,0.0
20050103:1109,742.1,26.51,13.33,6.34,0.0
20050103:1209,604.16,19.93,13.39,6.28,0.0
20050103:1309,416.27,11.35,13.02,5.45,0.0
20050103:1409,26.33,1.35,11.76,4.21,0.0
20050103:1509,0.0,0.0,10.01,3.66,0.0
20050103:1609,0.0,0.0,8.98,3.59,0.0
20050103:1709,0.0,0.0,8.21,3.59,0.0
20050103:1809,0.0,0.0,7.6,3.66,0.0
20050103:1909,0.0,0.0,7.1,3.38,0.0
20050103:2009,0.0,0.0,6.52,3.24,0.0
20050103:2109,0.0,0.0,5.98,3.17,0.0
20050103:2209,0.0,0.0,5.56,3.03,0.0
20050103:2309,0.0,0.0,5.2,2.83,0.0
20050104:0009,0.0,0.0,4.87,2.55,0.0
20050104:0109,0.0,0.0,4.53,2.28,0.0
20050104:0209,0.0,0.0,4.19,2.07,0.0
20050104:0309,0.0,0.0,3.77,1.86,0.0
20050104:0409,0.0,0.0,3.47,1.72,0.0
20050104:0509,0.0,0.0,3.43,1.72,0.0
20050104:0609,32.91,14.74,4.95,1.38,0.0
20050104:0709,67.71,22.68,7.44,1.45,0.0
20050104:0809,134.47,28.36,8.84,1.52,0.0
20050104:0909,175.07,31.11,9.63,1.52,0.0
20050104:1009,237.01,30.5,9.84,1.45,0.0
20050104:1109,230.64,26.64,10.08,1.86,0.0
20050104:1209,54.54,20.07,10.42,2.28,0.0
20050104:1309,54.54,11.49,10.62,2.48,0.0
20050104:1409,3.76,1.49,9.86,2.62,0.0
20050104:1509,0.0,0.0,9.19,2.97,0.0
20050104:1609,0.0,0.0,8.8,3.24,0.0
20050104:1709,0.0,0.0,8.49,3.45,0.0
20050104:1809,0.0,0.0,8.17,3.52,0.0
20050104:1909,0.0,0.0,7.06,3.45,0.0
20050104:2009,0.0,0.0,7.05,3.52,0.0
20050104:2109,0.0,0.0,6.75,3.45,0.0
20050104:2209,0.0,0.0,6.68,3.31,0.0
20050104:2309,0.0,0.0,6.69,2.97,0.0
20050105:0009,0.0,0.0,6.91,2.41,0.0
20050105:0109,0.0,0.0,6.98,2.28,0.0
20050105:0209,0.0,0.0,6.83,2.07,0.0
20050105:0309,0.0,0.0,6.95,2.0,0.0
20050105:0409,0.0,0.0,7.12,1.93,0.0
20050105:0509,0.0,0.0,7.21,1.86,0.0
20050105:0609,14.11,14.76,7.36,1.59,0.0
