datetime,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2011-04-05 10:00:00,0.417,501.6,233.5388888888889,213.22500000000002,223.29722222222225,0.0
2011-04-05 11:00:00,1.0,663.2,785.3888888888889,715.3611111111112,751.1388888888889,0.0
2011-04-05 12:00:00,0.983,648.1,971.5000000000001,888.75,930.2777777777778,0.0
2011-04-05 13:00:00,0.6,318.5,776.5833333333334,713.4166666666667,739.388888888889,0.0
2011-04-05 14:00:00,0.367,240.7,572.9444444444445,520.6666666666667,535.7777777777778,0.0
2011-04-05 15:00:00,0.883,612.9,760.6944444444445,669.7222222222223,686.9166666666667,0.0
2011-04-05 16:00:00,1.0,708.0,716.5277777777778,616.2777777777778,628.5833333333334,0.0
2011-04-05 17:00:00,1.0,597.7,474.9166666666667,394.4166666666667,398.86111111111114,0.0
2011-04-05 18:00:00,1.0,325.0,197.34722222222226,155.48055555555555,156.83333333333334,0.0
2011-04-05 19:00:00,0.3,101.3,51.111111111111114,34.53611111111111,35.06944444444444,0.0
2011-04-05 20:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-05 21:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-05 22:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-05 23:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 00:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 01:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 02:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 03:00:00,0.0,3.352,0.2348861111111111,0.48711111111111116,0.0,0.0
2011-04-06 04:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 05:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-06 07:00:00,0.0,3.352,0.074975,0.082,0.11240555555555556,0.0
2011-04-06 08:00:00,0.0,10.11,47.875,44.725,44.87777777777778,0.0
2011-04-06 09:00:00,0.0,5.135,162.37777777777777,148.0,148.26666666666668,0.0
2011-04-06 10:00:00,0.017,25.46,331.55555555555554,309.6111111111111,311.3055555555556,0.0
2011-04-06 11:00:00,0.65,317.9,682.3055555555557,634.5555555555557,653.2222222222222,0.0
2011-04-06 12:00:00,1.0,544.9,892.3333333333334,809.7777777777777,845.2222222222223,0.0
2011-04-06 13:00:00,1.0,433.0,944.8333333333334,846.8611111111111,886.9722222222223,0.0
2011-04-06 14:00:00,1.0,306.0,674.8611111111111,603.6944444444446,624.7777777777777,0.0
2011-04-06 15:00:00,0.983,381.5,717.9444444444445,646.8611111111111,658.8888888888889,0.0
2011-04-06 16:00:00,0.25,106.9,276.27222222222224,251.5027777777778,252.53055555555557,0.0
2011-04-06 17:00:00,1.0,485.2,597.8333333333333,512.6111111111112,518.0833333333334,0.0
2011-04-06 18:00:00,1.0,410.2,334.2777777777778,273.725,275.49444444444447,0.0
2011-04-06 19:00:00,0.25,68.78,60.86666666666667,47.40555555555556,48.46666666666667,0.0
2011-04-06 20:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 21:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 22:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-06 23:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 00:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 01:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-07 03:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-07 04:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-07 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-07 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-07 07:00:00,0.0,3.353,0.7080833333333334,0.6342777777777777,0.7153055555555555,0.0
2011-04-07 08:00:00,0.0,9.92,34.525000000000006,31.847222222222225,32.44722222222222,0.0
2011-04-07 09:00:00,0.0,3.56,96.04722222222222,82.31111111111112,84.58611111111111,0.0
2011-04-07 10:00:00,0.0,10.28,125.78888888888889,106.93055555555556,110.99444444444444,0.0
2011-04-07 11:00:00,0.0,3.945,239.4277777777778,218.47222222222223,221.59166666666667,0.0
2011-04-07 12:00:00,0.117,50.23,402.6666666666667,375.02777777777777,382.61111111111114,0.0
2011-04-07 13:00:00,0.4,97.8,736.2777777777778,680.0277777777778,696.1666666666666,0.0
2011-04-07 14:00:00,0.766,260.0,766.25,693.5833333333334,712.0555555555557,0.0
2011-04-07 15:00:00,0.866,372.9,672.8055555555555,606.2222222222223,618.8333333333334,0.0
2011-04-07 16:00:00,1.0,536.3,674.2500000000001,586.6666666666667,596.1666666666666,0.0
2011-04-07 17:00:00,0.983,516.6,542.6666666666666,454.6944444444445,462.1666666666667,0.0
2011-04-07 18:00:00,0.85,377.3,316.08333333333337,253.38611111111115,258.11111111111114,0.0
2011-04-07 19:00:00,0.25,97.1,72.89444444444445,56.43888888888889,57.60277777777778,0.0
2011-04-07 20:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 21:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 22:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-07 23:00:00,0.0,3.352,0.0,0.0,0.0,0.0
2011-04-08 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 03:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 04:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 07:00:00,0.0,3.353,0.07330833333333334,0.028941666666666668,0.08856111111111112,0.0
2011-04-08 08:00:00,0.0,3.353,5.619722222222223,5.308333333333334,5.266111111111111,0.0
2011-04-08 09:00:00,0.0,3.353,5.04,4.758333333333333,4.601666666666667,0.0
2011-04-08 10:00:00,0.0,3.353,14.038333333333332,12.741111111111111,12.769722222222223,0.0
2011-04-08 11:00:00,0.0,15.33,92.6138888888889,90.26111111111112,89.20555555555556,0.0
2011-04-08 12:00:00,0.0,9.64,291.25,267.98611111111114,269.77222222222224,0.0
2011-04-08 13:00:00,0.083,32.66,491.25,448.6666666666667,458.33333333333337,0.0
2011-04-08 14:00:00,0.0,3.671,334.30555555555554,303.8055555555556,310.4166666666667,0.0
2011-04-08 15:00:00,0.317,125.6,510.75000000000006,460.9166666666667,469.80555555555554,0.0
2011-04-08 16:00:00,1.0,629.8,710.3333333333333,602.1111111111111,616.8055555555555,0.0
2011-04-08 17:00:00,1.0,698.9,557.1388888888889,453.19444444444446,460.3888888888889,0.0
2011-04-08 18:00:00,1.0,541.6,290.0,219.38333333333333,223.25833333333335,0.0
2011-04-08 19:00:00,0.25,77.4,50.37222222222223,34.15833333333333,36.275000000000006,0.0
2011-04-08 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-08 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-09 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-09 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2011-04-09 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
