datetime,corrupt,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2014-08-27,4841.0,5.981,129.4,4466.666666666667,3602.222222222222,4031.1111111111113,3870.0
2014-08-28,4841.0,2.782,65.94,3577.777777777778,2964.722222222222,3271.944444444445,3158.6111111111113
2014-08-29,4841.0,4.415,96.7,4102.222222222223,3420.5555555555557,3788.888888888889,3626.1111111111113
2014-08-30,4841.0,6.514,155.5,5077.222222222223,4190.277777777778,4689.444444444444,4495.0
2014-08-31,4841.0,4.015,110.2,4480.833333333334,3766.388888888889,4143.333333333334,4021.388888888889
2014-09-01,4841.0,1.999,30.32,1914.7777777777778,1696.7777777777778,1817.75,1758.6944444444446
2014-09-02,4841.0,3.182,53.72,3298.3333333333335,2939.722222222222,3143.888888888889,3060.277777777778
2014-09-03,4841.0,2.399,69.11,4089.444444444445,3515.5555555555557,3804.166666666667,3714.444444444445
2014-09-04,4841.0,3.415,69.96,4033.6111111111113,3402.222222222222,3686.944444444445,3612.777777777778
2014-09-05,4841.0,1.799,28.6,3742.777777777778,3187.5,3435.277777777778,3346.388888888889
2014-09-06,4841.0,0.433,10.89,1961.7777777777778,1682.527777777778,1800.611111111111,1783.9166666666667
2014-09-07,4841.0,4.298,111.1,4170.833333333334,3420.8333333333335,3726.388888888889,3699.444444444445
2014-09-08,4841.0,6.731,192.9,5729.444444444444,4652.222222222223,5147.777777777778,5063.611111111111
2014-09-09,4841.0,6.764,164.5,4463.055555555556,3636.388888888889,4015.277777777778,3938.6111111111113
2014-09-10,4841.0,9.15,239.1,6871.38888888889,5631.388888888889,6227.222222222223,6064.166666666667
2014-09-11,4841.0,5.764,138.0,4932.777777777778,4290.833333333334,4659.444444444444,4493.055555555556
2014-09-12,4841.0,6.614,141.4,5538.888888888889,4707.222222222223,5115.0,4985.277777777778
2014-09-13,4841.0,7.01,170.5,5097.777777777778,4296.388888888889,4716.111111111111,4554.444444444444
2014-09-14,4841.0,8.68,201.6,6199.444444444444,5347.5,5821.38888888889,5615.833333333334
2014-09-15,4841.0,8.9,154.1,5551.111111111111,4838.888888888889,5210.555555555556,5054.722222222223
2014-09-16,4841.0,6.931,125.0,5137.222222222223,4430.277777777778,4770.555555555556,4677.222222222223
2014-09-17,4841.0,9.83,237.4,6622.222222222223,5665.0,6193.88888888889,6018.88888888889
2014-09-18,4841.0,2.366,48.2,3341.944444444445,2947.5,3168.6111111111113,3084.444444444445
2014-09-19,4841.0,8.01,180.6,6159.444444444444,5398.611111111111,5845.277777777778,5646.944444444444
2014-09-20,4841.0,4.948,97.4,4598.888888888889,4071.666666666667,4348.333333333334,4247.5
2014-09-21,4841.0,6.114,129.9,5364.722222222223,4727.5,5080.277777777778,4945.833333333334
2014-09-22,4841.0,5.848,144.7,4445.0,4066.666666666667,4367.5,4174.166666666667
2014-09-23,4841.0,8.11,166.5,5732.222222222223,5109.166666666667,5468.888888888889,5318.888888888889
2014-09-24,4841.0,4.032,79.4,4003.0555555555557,3556.666666666667,3761.944444444445,3715.8333333333335
2014-09-25,4841.0,0.566,17.5,2742.861111111111,2384.5833333333335,2548.2222222222226,2481.277777777778
2014-09-26,4841.0,7.86,206.6,5538.611111111111,4966.388888888889,5300.277777777778,5149.722222222223
2014-09-27,4841.0,3.632,71.5,4585.0,4174.444444444444,4415.0,4306.388888888889
