# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 2.7333
# Longitude (positive East, ISO 19115): 31.4000
# Altitude (m): 649.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T00:00:00.0/2020-01-02T00:00:00.0;9576.2744;7123.8960;6121.4199;1002.4763;9356.2031;7012.9170;5900.8472;1112.0696;8926.6689;0.9823
2020-01-02T00:00:00.0/2020-01-03T00:00:00.0;9583.6846;7179.9277;6233.0767;946.8513;9555.3643;7075.4785;6014.5630;1060.9155;9144.2393;0.9823
2020-01-03T00:00:00.0/2020-01-04T00:00:00.0;9591.6123;7067.7642;6127.1396;940.6248;9341.8555;6828.0933;5621.7495;1206.3439;8188.8818;0.9823
2020-01-04T00:00:00.0/2020-01-05T00:00:00.0;9600.0898;6986.2495;5844.2544;1141.9952;8813.8164;6129.6538;4006.6230;2123.0308;5802.9600;0.9823
2020-01-05T00:00:00.0/2020-01-06T00:00:00.0;9609.0488;6816.8989;5389.9639;1426.9353;8032.6787;6581.5469;4992.5391;1589.0081;7029.0781;0.9823
2020-01-06T00:00:00.0/2020-01-07T00:00:00.0;9618.5508;6767.8169;5208.8218;1558.9950;7680.5498;6347.7158;4061.1553;2286.5608;5940.7549;0.9823
2020-01-07T00:00:00.0/2020-01-08T00:00:00.0;9628.5537;6735.0640;5065.7363;1669.3274;7374.3760;5123.8472;2624.4148;2499.4324;3582.1729;0.9819
2020-01-08T00:00:00.0/2020-01-09T00:00:00.0;9638.9697;6837.2495;5242.8457;1594.4036;7644.6499;5297.9985;1821.7262;3476.2722;2870.6052;0.9823
2020-01-09T00:00:00.0/2020-01-10T00:00:00.0;9649.8760;6987.1543;5765.0464;1222.1078;8566.8789;6974.5278;5750.9160;1223.6116;8452.2129;0.9823
2020-01-10T00:00:00.0/2020-01-11T00:00:00.0;9661.2344;6882.3413;5530.7104;1351.6307;8225.7520;6862.3975;5466.0483;1396.3494;8140.9761;0.9823
2020-01-11T00:00:00.0/2020-01-12T00:00:00.0;9673.0371;6937.2925;5565.7446;1371.5480;8222.8496;6937.2925;5565.7446;1371.5480;8222.8496;0.9823
2020-01-12T00:00:00.0/2020-01-13T00:00:00.0;9685.2959;6571.1968;4688.7124;1882.4841;6713.2524;6565.7378;4684.2173;1881.5210;6672.8867;0.9819
2020-01-13T00:00:00.0/2020-01-14T00:00:00.0;9697.8623;6057.9712;3733.0488;2324.9224;5231.4277;5754.5752;3215.1191;2539.4561;4480.8364;0.9823
2020-01-14T00:00:00.0/2020-01-15T00:00:00.0;9710.9102;6496.5566;4558.2930;1938.2639;6512.4233;6496.5566;4558.2930;1938.2639;6512.4233;0.9819
2020-01-15T00:00:00.0/2020-01-16T00:00:00.0;9724.2881;6744.0679;5053.9702;1690.0975;7322.3247;6532.7046;4803.8682;1728.8364;6596.6191;0.9819
2020-01-16T00:00:00.0/2020-01-17T00:00:00.0;9737.9463;7232.7725;6149.0718;1083.7007;9123.2334;7232.7725;6149.0718;1083.7007;9123.2334;0.9823
2020-01-17T00:00:00.0/2020-01-18T00:00:00.0;9752.0566;6841.3506;5258.0806;1583.2699;7593.8618;6674.1782;4987.2949;1686.8833;6909.9243;0.9819
