air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,cape,snowfall_rate,wind_gust,period_end,period
26,0.31,-51,0,0,0,0,10.2,23.4,0,0,0,0,33.4,0,87.4,1033.1,0,0,0,0,344,337,4.8,3.3,125,182,0,6.4,2023-09-01T01:00:00+00:00,PT60M
25,0.31,-63,0,0,0,0,6.6,23.2,0,0,0,0,33.6,0,88.4,1033,0,0,0,0,343,335,4.9,3.3,115,182,0,6.4,2023-09-01T02:00:00+00:00,PT60M
25,0.31,-72,0,0,0,0,6.6,23.2,0,0,0,0,33.7,0,89,1033,0,0,0,0,345,336,4.9,3.3,103,186,0,6.6,2023-09-01T03:00:00+00:00,PT60M
25,0.31,-80,10,6,11,10,8.4,23.2,10,6,10,10,33.7,0,87.7,1033.2,0,0,0,0,347,341,4.9,3.5,90,168,0,6.8,2023-09-01T04:00:00+00:00,PT60M
26,0.31,-87,84,194,132,123,4.1,23.1,90,145,127,119,33.5,0,85.1,1033.4,0,0,0,0,351,347,4.7,3.6,77,132,0,7.2,2023-09-01T05:00:00+00:00,PT60M
26,0.31,-95,146,443,342,339,9,23.2,187,281,309,304,33.2,0,82.6,1033.5,0,0,0,0,356,353,4.5,3.7,64,96,0,7.8,2023-09-01T06:00:00+00:00,PT60M
27,0.31,-104,180,596,553,570,1.8,23,191,560,545,560,32.9,0,78.3,1033.6,0,0,0,0,358,356,4.6,3.9,51,60,0,8,2023-09-01T07:00:00+00:00,PT60M
28,0.31,-116,196,687,729,767,0,22.4,196,687,729,767,32.7,0,70,1033.6,0,0,0,0,360,359,4.9,4.2,39,33,0,8.2,2023-09-01T08:00:00+00:00,PT60M
30,0.31,-135,211,726,848,902,0,21.8,211,726,848,902,32.6,0,62.3,1033.4,0,0,0,0,2,1,5.3,4.6,28,16,0,8.7,2023-09-01T09:00:00+00:00,PT60M
32,0.31,-167,233,716,897,956,0,21.3,233,716,897,956,32.9,0,54.5,1033,0,0,0,0,3,2,5.4,4.7,22,6,0,9.1,2023-09-01T10:00:00+00:00,PT60M
33,0.31,155,232,713,886,944,0,20.8,232,713,886,944,33.3,0,48.7,1032.4,0,0,0,0,2,1,5.4,4.7,23,1,0,9.5,2023-09-01T11:00:00+00:00,PT60M
34,0.31,128,216,699,811,859,0,20.7,216,699,811,859,33.6,0,47,1031.7,0,0,0,0,0,359,5.8,5.1,32,0,0,9.8,2023-09-01T12:00:00+00:00,PT60M
34,0.31,111,162,722,691,725,0,20.8,162,722,691,725,34.1,0,46.5,1031.1,0,0,0,0,359,358,6.5,5.6,43,0,0,10.2,2023-09-01T13:00:00+00:00,PT60M
34,0.31,101,136,651,507,520,0,21.1,136,651,507,520,34.6,0,47.4,1030.9,0,0,0,0,359,358,7.2,6,55,0,0,10.5,2023-09-01T14:00:00+00:00,PT60M
33,0.31,92,106,498,293,285,0,21.1,106,498,293,285,34.8,0,48.7,1030.8,0,0,0,0,359,359,8,6.4,68,0,0,10.8,2023-09-01T15:00:00+00:00,PT60M
33,0.31,85,52,195,89,78,0,20.9,52,195,89,78,34.4,0,49.8,1030.9,0,0,0,0,360,360,8.6,6.4,81,0,0,10.9,2023-09-01T16:00:00+00:00,PT60M
31,0.31,78,1,0,1,1,0,20.6,1,0,1,1,33.6,0,53.4,1031.5,0,0,0,0,2,1,8.9,6.3,94,0,0,11,2023-09-01T17:00:00+00:00,PT60M
29,0.31,69,0,0,0,0,0,20.4,0,0,0,0,32.7,0,58.3,1032.2,0,0,0,0,4,2,8.8,6.1,107,0,0,11.1,2023-09-01T18:00:00+00:00,PT60M
29,0.31,59,0,0,0,0,0,20.4,0,0,0,0,31.7,0,61.4,1032.9,0,0,0,0,4,2,8.3,5.6,118,0,0,10.1,2023-09-01T19:00:00+00:00,PT60M
27,0.31,47,0,0,0,0,5.6,20.4,0,0,0,0,30.6,0,65.3,1033.4,0,0,0,0,3,1,7.5,5.1,129,0,0,8.9,2023-09-01T20:00:00+00:00,PT60M
27,0.31,30,0,0,0,0,4.3,20.6,0,0,0,0,29.2,0,69.9,1033.6,0,0,0,0,0,357,6.7,4.5,137,0,0,8.2,2023-09-01T21:00:00+00:00,PT60M
26,0.31,8,0,0,0,0,6.5,20.6,0,0,0,0,28.3,0,72.4,1033.6,0,0,0,0,358,354,6,4.1,141,0,0,7.6,2023-09-01T22:00:00+00:00,PT60M
26,0.31,-15,0,0,0,0,9.5,20.6,0,0,0,0,27.5,0,74.1,1033.4,0,0,0,0,354,350,5.6,3.9,140,0,0,6.8,2023-09-01T23:00:00+00:00,PT60M
25,0.31,-36,0,0,0,0,11.3,20.8,0,0,0,0,26.4,0,76.6,1033.2,0,0,0,0,351,346,5.3,3.6,135,0,0,6.4,2023-09-02T00:00:00+00:00,PT60M
25,0.31,-51,0,0,0,0,17.4,21,0,0,0,0,25.4,0,78.5,1033.1,0,0,0,0,349,343,5.1,3.4,126,0,0,6.2,2023-09-02T01:00:00+00:00,PT60M
25,0.31,-63,0,0,0,0,11.6,21,0,0,0,0,24.8,0,80.2,1033,0,0,0,0,349,343,5.1,3.4,115,0,0,6.1,2023-09-02T02:00:00+00:00,PT60M
24,0.31,-72,0,0,0,0,12.7,21,0,0,0,0,24.4,0,81.6,1032.8,0,0,0,0,348,343,5.1,3.4,103,0,0,6.1,2023-09-02T03:00:00+00:00,PT60M
25,0.31,-80,10,22,12,10,26.5,21.2,10,22,12,10,24.1,0,81.1,1033.1,0,0,0,0,347,342,5.1,3.3,90,2,0,6,2023-09-02T04:00:00+00:00,PT60M
25,0.31,-87,73,334,153,139,12.7,21.1,97,147,132,124,24,0,78.8,1033.5,0,0,0,0,350,346,5.1,3.8,77,4,0,6.6,2023-09-02T05:00:00+00:00,PT60M
25,0.31,-95,113,596,375,374,0,20.8,113,596,375,374,23.9,0,75.9,1033.7,0,0,0,0,354,352,5.1,4.2,64,3,0,7.5,2023-09-02T06:00:00+00:00,PT60M
26,0.31,-104,133,730,589,612,5.1,20.6,177,609,559,578,23.6,0,73.3,1033.7,0,0,0,0,357,356,4.9,4.2,51,1,0,7.9,2023-09-02T07:00:00+00:00,PT60M
27,0.31,-116,143,804,765,811,0,20.4,143,804,765,811,23.3,0,66.9,1033.7,0,0,0,0,358,357,4.7,4,39,0,0,7.9,2023-09-02T08:00:00+00:00,PT60M
29,0.31,-135,151,838,886,948,0,20,151,838,886,948,23.5,0,59.9,1033.4,0,0,0,0,357,356,4.5,3.8,29,0,0,7.9,2023-09-02T09:00:00+00:00,PT60M
30,0.31,-167,159,842,938,1007,0,19.3,159,842,938,1007,25.5,0,52.6,1032.8,0,0,0,0,355,354,4.7,4.1,22,0,0,8.3,2023-09-02T10:00:00+00:00,PT60M
32,0.31,155,159,831,920,988,0,18.8,159,831,920,988,28.1,0,46.8,1032.4,0,0,0,0,353,353,5.6,4.8,24,0,0,9,2023-09-02T11:00:00+00:00,PT60M
32,0.31,128,163,792,835,891,0,18.7,163,792,835,891,30.1,0,44.9,1031.9,0,0,0,0,353,353,6.6,5.6,32,0,0,9.9,2023-09-02T12:00:00+00:00,PT60M
33,0.31,112,177,692,683,718,0,18.8,177,692,683,718,32,0,43.9,1031.4,0,0,0,0,354,354,7.3,6.1,43,0,0,10.4,2023-09-02T13:00:00+00:00,PT60M
33,0.31,101,163,576,489,502,0,19,163,576,489,502,33.5,0,43.5,1030.9,0,0,0,0,355,355,7.9,6.4,56,0,0,10.5,2023-09-02T14:00:00+00:00,PT60M
33,0.31,93,125,392,272,266,0,18.9,125,392,272,266,34.3,0,43.5,1030.6,0,0,0,0,356,357,8.2,6.4,69,0,0,10.4,2023-09-02T15:00:00+00:00,PT60M
33,0.31,85,55,112,77,71,0,18.7,55,112,77,71,34.6,0,43.3,1030.5,0,0,0,0,1,1,8.1,6,81,0,0,9.6,2023-09-02T16:00:00+00:00,PT60M
32,0.31,78,1,0,1,1,0,18.3,1,0,1,1,34.6,0,44.3,1030.8,0,0,0,0,7,7,8,5.4,94,0,0,9,2023-09-02T17:00:00+00:00,PT60M
31,0.31,70,0,0,0,0,0,17.8,0,0,0,0,34.6,0,45.8,1031.4,0,0,0,0,14,14,7.8,5.1,107,0,0,8.9,2023-09-02T18:00:00+00:00,PT60M
30,0.31,60,0,0,0,0,0,17.8,0,0,0,0,34.6,0,48.3,1031.9,0,0,0,0,17,16,6.9,4.5,119,0,0,8.3,2023-09-02T19:00:00+00:00,PT60M
29,0.31,47,0,0,0,0,0,18.4,0,0,0,0,34.3,0,53.9,1032.2,0,0,0,0,15,12,5.5,3.6,129,0,0,6.9,2023-09-02T20:00:00+00:00,PT60M
28,0.31,30,0,0,0,0,0,19,0,0,0,0,33.4,0,59.7,1032.3,0,0,0,0,7,2,4.7,3.1,137,0,0,5.8,2023-09-02T21:00:00+00:00,PT60M
27,0.31,8,0,0,0,0,0,19.7,0,0,0,0,31.5,0,64.6,1032.1,0,0,0,0,3,356,4.5,3,141,0,0,5.9,2023-09-02T22:00:00+00:00,PT60M
26,0.31,-16,0,0,0,0,8.9,20.2,0,0,0,0,29.8,0,69.4,1031.9,0,0,0,0,359,354,4.6,2.9,140,0,0,6,2023-09-02T23:00:00+00:00,PT60M
26,0.31,-36,0,0,0,0,11.3,20.7,0,0,0,0,29.1,0,73.1,1031.8,0,0,0,0,352,348,4.9,3.1,135,0,0,6.1,2023-09-03T00:00:00+00:00,PT60M
26,0.31,-52,0,0,0,0,11.9,21,0,0,0,0,28.4,0,75.5,1031.7,0,0,0,0,344,341,5,3.3,126,0,0,6.2,2023-09-03T01:00:00+00:00,PT60M
25,0.31,-63,0,0,0,0,11.6,21.2,0,0,0,0,27.5,0,78.1,1031.6,0,0,0,0,338,336,5,3.3,115,0,0,6.2,2023-09-03T02:00:00+00:00,PT60M
25,0.31,-73,0,0,0,0,10.1,21.2,0,0,0,0,26.7,0,79.2,1031.5,0,0,0,0,335,333,4.8,3.1,103,1,0,6.1,2023-09-03T03:00:00+00:00,PT60M
25,0.31,-80,10,10,11,10,12.6,21.1,9,8,10,9,25.9,0,78,1031.6,0,0,0,0,334,334,4.3,2.7,90,6,0,5.9,2023-09-03T04:00:00+00:00,PT60M
26,0.31,-88,79,255,142,131,0,20.8,79,255,142,131,25.3,0,75.3,1031.8,0,0,0,0,335,336,4,2.8,77,10,0,6.2,2023-09-03T05:00:00+00:00,PT60M
26,0.31,-96,127,535,363,363,1.6,20.5,138,501,355,354,24.5,0,72.1,1031.9,0,0,0,0,340,340,4.3,3.5,64,6,0,7,2023-09-03T06:00:00+00:00,PT60M
26,0.31,-105,137,717,585,609,5.8,20.4,183,586,553,574,23.7,0,70.2,1031.9,0,0,0,0,344,345,4.6,3.9,52,2,0,7.4,2023-09-03T07:00:00+00:00,PT60M
27,0.31,-117,144,802,764,812,6.8,20,226,630,711,749,22.9,0,64.8,1031.8,0,0,0,0,348,348,4.5,3.9,39,1,0,7.5,2023-09-03T08:00:00+00:00,PT60M
28,0.31,-136,152,840,886,952,0,19.5,152,840,886,952,22.1,0,58.7,1031.5,0,0,0,0,349,349,4.3,3.8,29,0,0,7.6,2023-09-03T09:00:00+00:00,PT60M
30,0.31,-167,183,815,935,1006,0,18.7,183,815,935,1006,21.6,0,52.3,1030.8,0,0,0,0,350,350,4.2,3.7,23,0,0,7.5,2023-09-03T10:00:00+00:00,PT60M
