Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
26,0.31,0,0,0,0,0,0,0,0,2023-09-01 01:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-01 02:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-01 03:00:00+00:00,PT60M
25,0.31,10,6,11,10,10,6,10,10,2023-09-01 04:00:00+00:00,PT60M
26,0.31,84,194,132,123,90,145,127,119,2023-09-01 05:00:00+00:00,PT60M
26,0.31,146,443,342,339,187,281,309,304,2023-09-01 06:00:00+00:00,PT60M
27,0.31,180,596,553,570,191,560,545,560,2023-09-01 07:00:00+00:00,PT60M
28,0.31,196,687,729,767,196,687,729,767,2023-09-01 08:00:00+00:00,PT60M
30,0.31,211,726,848,902,211,726,848,902,2023-09-01 09:00:00+00:00,PT60M
32,0.31,233,716,897,956,233,716,897,956,2023-09-01 10:00:00+00:00,PT60M
33,0.31,232,713,886,944,232,713,886,944,2023-09-01 11:00:00+00:00,PT60M
34,0.31,216,699,811,859,216,699,811,859,2023-09-01 12:00:00+00:00,PT60M
34,0.31,162,722,691,725,162,722,691,725,2023-09-01 13:00:00+00:00,PT60M
34,0.31,136,651,507,520,136,651,507,520,2023-09-01 14:00:00+00:00,PT60M
33,0.31,106,498,293,285,106,498,293,285,2023-09-01 15:00:00+00:00,PT60M
33,0.31,52,195,89,78,52,195,89,78,2023-09-01 16:00:00+00:00,PT60M
31,0.31,1,0,1,1,1,0,1,1,2023-09-01 17:00:00+00:00,PT60M
29,0.31,0,0,0,0,0,0,0,0,2023-09-01 18:00:00+00:00,PT60M
29,0.31,0,0,0,0,0,0,0,0,2023-09-01 19:00:00+00:00,PT60M
27,0.31,0,0,0,0,0,0,0,0,2023-09-01 20:00:00+00:00,PT60M
27,0.31,0,0,0,0,0,0,0,0,2023-09-01 21:00:00+00:00,PT60M
26,0.31,0,0,0,0,0,0,0,0,2023-09-01 22:00:00+00:00,PT60M
26,0.31,0,0,0,0,0,0,0,0,2023-09-01 23:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-02 00:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-02 01:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-02 02:00:00+00:00,PT60M
24,0.31,0,0,0,0,0,0,0,0,2023-09-02 03:00:00+00:00,PT60M
25,0.31,10,22,12,10,10,22,12,10,2023-09-02 04:00:00+00:00,PT60M
25,0.31,73,334,153,139,97,147,132,124,2023-09-02 05:00:00+00:00,PT60M
25,0.31,113,596,375,374,113,596,375,374,2023-09-02 06:00:00+00:00,PT60M
26,0.31,133,730,589,612,177,609,559,578,2023-09-02 07:00:00+00:00,PT60M
27,0.31,143,804,765,811,143,804,765,811,2023-09-02 08:00:00+00:00,PT60M
29,0.31,151,838,886,948,151,838,886,948,2023-09-02 09:00:00+00:00,PT60M
30,0.31,159,842,938,1007,159,842,938,1007,2023-09-02 10:00:00+00:00,PT60M
32,0.31,159,831,920,988,159,831,920,988,2023-09-02 11:00:00+00:00,PT60M
32,0.31,163,792,835,891,163,792,835,891,2023-09-02 12:00:00+00:00,PT60M
33,0.31,177,692,683,718,177,692,683,718,2023-09-02 13:00:00+00:00,PT60M
33,0.31,163,576,489,502,163,576,489,502,2023-09-02 14:00:00+00:00,PT60M
33,0.31,125,392,272,266,125,392,272,266,2023-09-02 15:00:00+00:00,PT60M
33,0.31,55,112,77,71,55,112,77,71,2023-09-02 16:00:00+00:00,PT60M
32,0.31,1,0,1,1,1,0,1,1,2023-09-02 17:00:00+00:00,PT60M
31,0.31,0,0,0,0,0,0,0,0,2023-09-02 18:00:00+00:00,PT60M
30,0.31,0,0,0,0,0,0,0,0,2023-09-02 19:00:00+00:00,PT60M
29,0.31,0,0,0,0,0,0,0,0,2023-09-02 20:00:00+00:00,PT60M
28,0.31,0,0,0,0,0,0,0,0,2023-09-02 21:00:00+00:00,PT60M
27,0.31,0,0,0,0,0,0,0,0,2023-09-02 22:00:00+00:00,PT60M
26,0.31,0,0,0,0,0,0,0,0,2023-09-02 23:00:00+00:00,PT60M
26,0.31,0,0,0,0,0,0,0,0,2023-09-03 00:00:00+00:00,PT60M
26,0.31,0,0,0,0,0,0,0,0,2023-09-03 01:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-03 02:00:00+00:00,PT60M
25,0.31,0,0,0,0,0,0,0,0,2023-09-03 03:00:00+00:00,PT60M
25,0.31,10,10,11,10,9,8,10,9,2023-09-03 04:00:00+00:00,PT60M
26,0.31,79,255,142,131,79,255,142,131,2023-09-03 05:00:00+00:00,PT60M
26,0.31,127,535,363,363,138,501,355,354,2023-09-03 06:00:00+00:00,PT60M
26,0.31,137,717,585,609,183,586,553,574,2023-09-03 07:00:00+00:00,PT60M
27,0.31,144,802,764,812,226,630,711,749,2023-09-03 08:00:00+00:00,PT60M
28,0.31,152,840,886,952,152,840,886,952,2023-09-03 09:00:00+00:00,PT60M
30,0.31,183,815,935,1006,183,815,935,1006,2023-09-03 10:00:00+00:00,PT60M
31,0.31,187,806,923,991,187,806,923,991,2023-09-03 11:00:00+00:00,PT60M
31,0.31,183,779,842,900,183,779,842,900,2023-09-03 12:00:00+00:00,PT60M
32,0.31,168,734,701,740,168,734,701,740,2023-09-03 13:00:00+00:00,PT60M
32,0.31,152,629,506,521,152,629,506,521,2023-09-03 14:00:00+00:00,PT60M
