TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9949.2363,7064.0928,5063.7373,2000.3555,7190.0645,7064.0928,5063.7373,2000.3555,7190.0645,0.9865,2023-09-01
9909.0811,7397.833,6086.8052,1311.0278,8844.0537,7397.833,6086.8052,1311.0278,8844.0537,0.9872,2023-09-02
9868.3887,7374.7295,5954.6973,1420.0322,8687.8662,7129.0474,5438.4907,1690.5569,8094.8818,0.9826,2023-09-03
9827.1855,7328.9028,5809.644,1519.2588,8539.9023,7328.9028,5809.644,1519.2588,8539.9023,0.9833,2023-09-04
9785.4375,7287.5298,5718.6953,1568.8345,8398.2432,7287.5298,5718.6953,1568.8345,8398.2432,0.984,2023-09-05
9743.2266,7202.9443,5543.6279,1659.3162,8099.9658,7202.9443,5543.6279,1659.3162,8099.9658,0.9844,2023-09-06
9700.4424,7034.8555,5270.0845,1764.771,7738.1255,7034.8555,5270.0845,1764.771,7738.1255,0.9854,2023-09-07
9657.1768,6817.5137,4774.6396,2042.874,6866.98,6817.5137,4774.6396,2042.874,6866.98,0.9858,2023-09-08
9613.3984,6931.4766,5208.7739,1722.7025,7558.8228,6931.4766,5208.7739,1722.7025,7558.8228,0.9812,2023-09-09
9569.1748,6967.1143,5386.7358,1580.3782,7948.0991,6967.1143,5386.7358,1580.3782,7948.0991,0.9816,2023-09-10
9524.4141,6715.7402,4814.5098,1901.2301,6865.3516,6599.9761,4584.5815,2015.3948,6590.9868,0.9823,2023-09-11
9479.1826,5803.771,2812.449,2991.322,3878.5337,4685.3994,1706.3392,2979.0601,2394.8386,0.983,2023-09-12
9433.4922,6302.8711,3773.845,2529.0264,5422.2827,4086.9211,946.6932,3140.228,1391.3993,0.9837,2023-09-13
9387.3789,7070.3677,5776.459,1293.9086,8860.1533,7070.3677,5776.459,1293.9086,8860.1533,0.984,2023-09-14
9340.7754,7171.9663,6146.5659,1025.4008,9553.3662,7171.9663,6146.5659,1025.4008,9553.3662,0.9847,2023-09-15
9293.7266,7028.9248,5950.2642,1078.6611,9280.4082,7028.9248,5950.2642,1078.6611,9280.4082,0.9854,2023-09-16
9246.2734,7082.1289,6138.4253,943.7039,9652.4814,7082.1289,6138.4253,943.7039,9652.4814,0.9861,2023-09-17
9198.4287,6917.3628,5693.8315,1223.5309,8805.3838,6917.3628,5693.8315,1223.5309,8805.3838,0.9865,2023-09-18
9150.1494,6756.5522,5389.1587,1367.3932,8231.9375,6756.5522,5389.1587,1367.3932,8231.9375,0.9872,2023-09-19
9101.416,6684.8174,5202.5654,1482.2518,7935.5952,6614.3833,5048.939,1565.4446,7735.0649,0.983,2023-09-20
