# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-09-01T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 29.8876
# Longitude (positive East, ISO 19115): 32.4604
# Altitude (m): 0.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-09-01T00:00:00.0/2023-09-02T00:00:00.0;9949.2363;7064.0928;5063.7373;2000.3555;7190.0645;7064.0928;5063.7373;2000.3555;7190.0645;0.9865
2023-09-02T00:00:00.0/2023-09-03T00:00:00.0;9909.0811;7397.8330;6086.8052;1311.0278;8844.0537;7397.8330;6086.8052;1311.0278;8844.0537;0.9872
2023-09-03T00:00:00.0/2023-09-04T00:00:00.0;9868.3887;7374.7295;5954.6973;1420.0322;8687.8662;7129.0474;5438.4907;1690.5569;8094.8818;0.9826
2023-09-04T00:00:00.0/2023-09-05T00:00:00.0;9827.1855;7328.9028;5809.6440;1519.2588;8539.9023;7328.9028;5809.6440;1519.2588;8539.9023;0.9833
2023-09-05T00:00:00.0/2023-09-06T00:00:00.0;9785.4375;7287.5298;5718.6953;1568.8345;8398.2432;7287.5298;5718.6953;1568.8345;8398.2432;0.9840
2023-09-06T00:00:00.0/2023-09-07T00:00:00.0;9743.2266;7202.9443;5543.6279;1659.3162;8099.9658;7202.9443;5543.6279;1659.3162;8099.9658;0.9844
2023-09-07T00:00:00.0/2023-09-08T00:00:00.0;9700.4424;7034.8555;5270.0845;1764.7710;7738.1255;7034.8555;5270.0845;1764.7710;7738.1255;0.9854
2023-09-08T00:00:00.0/2023-09-09T00:00:00.0;9657.1768;6817.5137;4774.6396;2042.8740;6866.9800;6817.5137;4774.6396;2042.8740;6866.9800;0.9858
2023-09-09T00:00:00.0/2023-09-10T00:00:00.0;9613.3984;6931.4766;5208.7739;1722.7025;7558.8228;6931.4766;5208.7739;1722.7025;7558.8228;0.9812
2023-09-10T00:00:00.0/2023-09-11T00:00:00.0;9569.1748;6967.1143;5386.7358;1580.3782;7948.0991;6967.1143;5386.7358;1580.3782;7948.0991;0.9816
2023-09-11T00:00:00.0/2023-09-12T00:00:00.0;9524.4141;6715.7402;4814.5098;1901.2301;6865.3516;6599.9761;4584.5815;2015.3948;6590.9868;0.9823
2023-09-12T00:00:00.0/2023-09-13T00:00:00.0;9479.1826;5803.7710;2812.4490;2991.3220;3878.5337;4685.3994;1706.3392;2979.0601;2394.8386;0.9830
2023-09-13T00:00:00.0/2023-09-14T00:00:00.0;9433.4922;6302.8711;3773.8450;2529.0264;5422.2827;4086.9211;946.6932;3140.2280;1391.3993;0.9837
