TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9213.8926,5400.0444,2776.8337,2623.2109,3965.3037,5302.415,2615.5095,2686.9055,3766.9128,0.9806,2019-01-01
9222.5674,5365.8071,2741.3938,2624.4133,3882.7622,5200.7871,2463.0115,2737.7754,3525.8638,0.9806,2019-01-02
9231.8945,5264.0137,2624.5737,2639.4402,3723.0012,4245.395,1360.58,2884.8152,2173.73,0.9809,2019-01-03
9241.8369,5111.1816,2400.105,2711.0767,3360.7449,4823.7544,1997.4192,2826.3352,2785.0205,0.9809,2019-01-04
9252.3955,5147.6328,2464.1035,2683.5295,3477.1284,4970.0166,2191.5308,2778.4858,3117.9646,0.9806,2019-01-05
9263.5605,5550.8213,3078.6272,2472.1943,4396.1626,5088.7397,2216.0247,2872.7153,3245.0017,0.9806,2019-01-06
9275.3604,5120.7891,2351.1675,2769.6216,3291.6453,2437.7847,311.5826,2126.2021,482.123,0.9802,2019-01-07
9287.6338,5236.3848,2611.7517,2624.6331,3682.481,5236.3848,2611.7517,2624.6331,3682.481,0.9545,2019-01-08
9300.5752,5442.0308,2835.9912,2606.0393,4023.2815,5037.9321,2173.4058,2864.5266,3245.3823,0.9802,2019-01-09
9313.9932,5092.0239,2216.0684,2875.9553,3083.5957,5018.6982,2101.4358,2917.2627,2953.7422,0.975,2019-01-10
9327.957,5173.749,2331.2451,2842.5039,3242.9626,4774.5962,1773.7141,3000.8818,2404.5491,0.9802,2019-01-11
9342.4277,5340.9839,2604.4661,2736.5176,3640.1929,5255.9321,2478.6741,2777.2581,3463.2673,0.9802,2019-01-12
9357.4287,5812.8423,3416.092,2396.7505,4846.3018,5173.1685,2322.0374,2851.1309,3419.4067,0.9694,2019-01-13
9372.8223,5799.5479,3422.1191,2377.429,4840.7832,5536.3711,2978.0188,2558.3521,4264.5283,0.9646,2019-01-14
9388.7617,5814.48,3448.0967,2366.3833,4900.7114,5482.1377,2832.845,2649.2927,4168.8457,0.9851,2019-01-15
9405.0996,5592.5654,3034.1499,2558.4158,4266.7954,5049.333,2237.8779,2811.4551,3135.0784,0.9851,2019-01-16
9421.834,6043.5771,3885.5139,2158.0632,5572.5176,5799.5063,3410.1228,2389.3835,4976.0034,0.9851,2019-01-17
9438.999,6036.2378,3784.082,2252.1558,5408.377,5498.2778,2626.9473,2871.3306,3718.3113,0.9799,2019-01-18
