Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 01:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 02:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 03:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 04:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-01 05:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-01 06:00:00+00:00,PT60M
26,0.11,23,1,23,22,21,0,21,20,2019-01-01 07:00:00+00:00,PT60M
27,0.11,118,34,130,132,120,20,127,127,2019-01-01 08:00:00+00:00,PT60M
28,0.11,231,128,297,314,235,110,293,307,2019-01-01 09:00:00+00:00,PT60M
30,0.11,320,226,474,506,320,226,474,506,2019-01-01 10:00:00+00:00,PT60M
31,0.11,376,300,616,657,388,271,605,642,2019-01-01 11:00:00+00:00,PT60M
31,0.11,398,350,701,749,403,340,697,744,2019-01-01 12:00:00+00:00,PT60M
31,0.11,383,400,730,787,383,400,730,787,2019-01-01 13:00:00+00:00,PT60M
31,0.11,356,388,671,728,356,388,671,728,2019-01-01 14:00:00+00:00,PT60M
31,0.11,310,333,543,593,310,333,543,593,2019-01-01 15:00:00+00:00,PT60M
30,0.11,239,234,364,400,239,234,364,400,2019-01-01 16:00:00+00:00,PT60M
30,0.11,139,96,173,187,139,96,173,187,2019-01-01 17:00:00+00:00,PT60M
29,0.11,34,6,35,35,34,6,35,35,2019-01-01 18:00:00+00:00,PT60M
29,0.11,0,0,0,0,0,0,0,0,2019-01-01 19:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2019-01-01 20:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2019-01-01 21:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 22:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-01 23:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-02 00:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2019-01-02 01:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-02 02:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-02 03:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-02 04:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-02 05:00:00+00:00,PT60M
26,0.11,0,0,0,0,0,0,0,0,2019-01-02 06:00:00+00:00,PT60M
26,0.11,25,4,26,26,25,4,26,26,2019-01-02 07:00:00+00:00,PT60M
27,0.11,126,91,156,169,126,91,156,169,2019-01-02 08:00:00+00:00,PT60M
28,0.11,228,228,345,380,228,228,345,380,2019-01-02 09:00:00+00:00,PT60M
29,0.11,313,290,509,552,313,290,509,552,2019-01-02 10:00:00+00:00,PT60M
31,0.11,365,349,645,695,365,349,645,695,2019-01-02 11:00:00+00:00,PT60M
31,0.11,386,392,725,780,386,392,725,780,2019-01-02 12:00:00+00:00,PT60M
31,0.11,373,430,746,808,373,430,746,808,2019-01-02 13:00:00+00:00,PT60M
31,0.11,353,401,678,736,353,401,678,736,2019-01-02 14:00:00+00:00,PT60M
31,0.11,311,330,542,591,311,330,542,591,2019-01-02 15:00:00+00:00,PT60M
