Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 01:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 02:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 03:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 04:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2020-01-31 05:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2020-01-31 06:00:00+00:00,PT60M
27,0.11,18,2,18,18,18,1,18,18,2020-01-31 07:00:00+00:00,PT60M
27,0.11,117,74,140,147,117,65,139,144,2020-01-31 08:00:00+00:00,PT60M
28,0.11,224,216,335,358,224,216,335,358,2020-01-31 09:00:00+00:00,PT60M
30,0.11,304,334,534,569,304,334,534,569,2020-01-31 10:00:00+00:00,PT60M
31,0.11,351,414,691,733,351,414,691,733,2020-01-31 11:00:00+00:00,PT60M
31,0.11,368,472,792,838,368,472,792,838,2020-01-31 12:00:00+00:00,PT60M
31,0.11,343,540,836,889,343,540,836,889,2020-01-31 13:00:00+00:00,PT60M
32,0.11,323,532,783,836,323,532,783,836,2020-01-31 14:00:00+00:00,PT60M
31,0.11,296,470,650,700,296,470,650,700,2020-01-31 15:00:00+00:00,PT60M
31,0.11,250,338,451,488,250,338,451,488,2020-01-31 16:00:00+00:00,PT60M
30,0.11,163,185,237,258,163,185,237,258,2020-01-31 17:00:00+00:00,PT60M
29,0.11,56,32,63,66,56,32,63,66,2020-01-31 18:00:00+00:00,PT60M
29,0.11,0,0,0,0,0,0,0,0,2020-01-31 19:00:00+00:00,PT60M
29,0.11,0,0,0,0,0,0,0,0,2020-01-31 20:00:00+00:00,PT60M
29,0.11,0,0,0,0,0,0,0,0,2020-01-31 21:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 22:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-01-31 23:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-02-01 00:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-02-01 01:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-02-01 02:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-02-01 03:00:00+00:00,PT60M
28,0.11,0,0,0,0,0,0,0,0,2020-02-01 04:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2020-02-01 05:00:00+00:00,PT60M
27,0.11,0,0,0,0,0,0,0,0,2020-02-01 06:00:00+00:00,PT60M
27,0.11,19,5,20,20,17,0,17,17,2020-02-01 07:00:00+00:00,PT60M
