Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 01:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 02:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 03:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 04:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-25 05:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-25 06:00:00+00:00,PT60M
26,0.12,17,0,17,16,10,0,10,10,2021-02-25 07:00:00+00:00,PT60M
27,0.12,114,21,121,119,93,16,99,97,2021-02-25 08:00:00+00:00,PT60M
28,0.12,241,105,298,298,244,59,274,270,2021-02-25 09:00:00+00:00,PT60M
29,0.12,346,200,491,493,349,0,349,337,2021-02-25 10:00:00+00:00,PT60M
31,0.12,413,271,647,651,500,9,508,492,2021-02-25 11:00:00+00:00,PT60M
31,0.12,442,327,751,755,550,2,552,534,2021-02-25 12:00:00+00:00,PT60M
32,0.12,415,419,817,826,550,152,696,687,2021-02-25 13:00:00+00:00,PT60M
32,0.12,388,420,770,781,391,415,768,778,2021-02-25 14:00:00+00:00,PT60M
31,0.12,351,355,636,645,359,329,624,632,2021-02-25 15:00:00+00:00,PT60M
30,0.12,294,183,411,413,286,85,336,333,2021-02-25 16:00:00+00:00,PT60M
28,0.12,179,74,212,212,179,28,193,189,2021-02-25 17:00:00+00:00,PT60M
27,0.12,60,6,61,60,37,0,37,36,2021-02-25 18:00:00+00:00,PT60M
27,0.12,1,0,1,1,0,0,0,0,2021-02-25 19:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 20:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 21:00:00+00:00,PT60M
27,0.12,0,0,0,0,0,0,0,0,2021-02-25 22:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-25 23:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 00:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 01:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 02:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 03:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 04:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 05:00:00+00:00,PT60M
26,0.12,0,0,0,0,0,0,0,0,2021-02-26 06:00:00+00:00,PT60M
26,0.12,19,1,20,19,16,0,16,15,2021-02-26 07:00:00+00:00,PT60M
26,0.12,124,49,141,141,121,3,122,118,2021-02-26 08:00:00+00:00,PT60M
28,0.12,245,157,329,332,246,153,328,331,2021-02-26 09:00:00+00:00,PT60M
29,0.12,350,192,490,491,350,192,490,491,2021-02-26 10:00:00+00:00,PT60M
31,0.12,420,257,643,644,420,257,643,644,2021-02-26 11:00:00+00:00,PT60M
31,0.12,457,293,734,735,457,293,734,735,2021-02-26 12:00:00+00:00,PT60M
31,0.12,458,315,761,763,458,315,761,763,2021-02-26 13:00:00+00:00,PT60M
31,0.12,436,295,705,708,436,295,705,708,2021-02-26 14:00:00+00:00,PT60M
31,0.12,385,239,577,578,385,239,577,578,2021-02-26 15:00:00+00:00,PT60M
31,0.12,298,157,398,398,302,119,381,378,2021-02-26 16:00:00+00:00,PT60M
30,0.12,178,60,205,203,142,0,142,137,2021-02-26 17:00:00+00:00,PT60M
29,0.12,57,4,58,57,53,0,53,52,2021-02-26 18:00:00+00:00,PT60M
