# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2024-07-05T00:00:00.0
# Latitude (positive North, ISO 19115): 5.6457
# Longitude (positive East, ISO 19115): 0.0087
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T00:00:00.0/2020-01-02T00:00:00.0;9211.8115;5804.5972;3749.6626;2054.9343;5480.1060;5647.4937;3454.3975;2193.0964;5084.1978;0.9806
2020-01-02T00:00:00.0/2020-01-03T00:00:00.0;9220.3418;6025.0659;4157.7417;1867.3243;6159.8306;6025.0659;4157.7417;1867.3243;6159.8306;0.9806
2020-01-03T00:00:00.0/2020-01-04T00:00:00.0;9229.5078;5646.9165;3353.5930;2293.3235;4840.5649;5646.9165;3353.5930;2293.3235;4840.5649;0.9806
2020-01-04T00:00:00.0/2020-01-05T00:00:00.0;9239.2959;5920.6196;3736.2944;2184.3252;5422.9639;5920.6196;3736.2944;2184.3252;5422.9639;0.9809
2020-01-05T00:00:00.0/2020-01-06T00:00:00.0;9249.7100;5112.7285;2357.8979;2754.8306;3313.6040;5082.2993;2337.9680;2744.3315;3254.1836;0.9809
2020-01-06T00:00:00.0/2020-01-07T00:00:00.0;9260.7637;4341.2500;1400.9230;2940.3269;1916.9452;4341.2500;1400.9230;2940.3269;1916.9452;0.9802
2020-01-07T00:00:00.0/2020-01-08T00:00:00.0;9272.3223;4416.7207;1499.0997;2917.6208;2056.4146;4387.2812;1485.7478;2901.5332;2024.6726;0.9806
2020-01-08T00:00:00.0/2020-01-09T00:00:00.0;9284.5508;4172.9058;1216.1581;2956.7476;1648.2631;4061.9570;1169.0863;2892.8708;1556.4498;0.9802
2020-01-09T00:00:00.0/2020-01-10T00:00:00.0;9297.2344;4174.2964;1219.4607;2954.8357;1665.9353;4174.2964;1219.4607;2954.8357;1665.9353;0.9806
2020-01-10T00:00:00.0/2020-01-11T00:00:00.0;9310.5801;4661.6719;1740.2966;2921.3752;2381.0352;4555.6875;1645.3806;2910.3069;2241.0276;0.9802
2020-01-11T00:00:00.0/2020-01-12T00:00:00.0;9324.4023;5211.6313;2503.6775;2707.9541;3494.8860;4867.5239;1965.2986;2902.2253;2831.2119;0.9802
2020-01-12T00:00:00.0/2020-01-13T00:00:00.0;9338.7266;5202.4854;2464.2458;2738.2397;3455.8059;5120.8950;2431.8486;2689.0464;3340.5696;0.9802
2020-01-13T00:00:00.0/2020-01-14T00:00:00.0;9353.5771;5405.8066;2788.6516;2617.1553;3924.5427;4098.4082;1529.7374;2568.6711;2073.1335;0.9802
2020-01-14T00:00:00.0/2020-01-15T00:00:00.0;9368.9346;5368.7861;2726.8096;2641.9766;3800.0266;3578.7817;1428.9492;2149.8325;1799.0023;0.9799
2020-01-15T00:00:00.0/2020-01-16T00:00:00.0;9384.7188;5710.1392;3357.2781;2352.8608;4741.4937;5414.5605;2849.3213;2565.2395;4033.5032;0.9799
2020-01-16T00:00:00.0/2020-01-17T00:00:00.0;9400.8867;5784.1855;3512.8872;2271.2986;4973.6479;5784.1855;3512.8872;2271.2986;4973.6479;0.9802
2020-01-17T00:00:00.0/2020-01-18T00:00:00.0;9417.6006;5509.6963;2989.8994;2519.7966;4197.9541;5149.1836;2431.5254;2717.6582;3457.4417;0.9799
2020-01-18T00:00:00.0/2020-01-19T00:00:00.0;9434.6582;5609.0596;3161.8420;2447.2175;4445.4331;5017.4424;2219.3311;2798.1111;3324.2222;0.9851
2020-01-19T00:00:00.0/2020-01-20T00:00:00.0;9452.1475;5478.2427;2897.6394;2580.6033;4026.9294;5034.9634;2374.7971;2660.1660;3369.8125;0.9899
2020-01-20T00:00:00.0/2020-01-21T00:00:00.0;9469.9189;5354.4438;2644.3953;2710.0483;3654.9507;5289.3345;2520.8049;2768.5295;3512.6536;0.9903
2020-01-21T00:00:00.0/2020-01-22T00:00:00.0;9488.0762;5092.5117;2174.5723;2917.9397;2952.0269;5092.5117;2174.5723;2917.9397;2952.0269;0.9903
2020-01-22T00:00:00.0/2020-01-23T00:00:00.0;9506.6211;4676.7412;1619.7422;3056.9990;2177.0574;4305.7622;1293.3348;3012.4275;1633.3456;0.9899
2020-01-23T00:00:00.0/2020-01-24T00:00:00.0;9525.4092;4965.4712;1946.3868;3019.0842;2636.6853;4844.2446;1814.8809;3029.3638;2459.0513;0.9899
2020-01-24T00:00:00.0/2020-01-25T00:00:00.0;9544.5176;5206.5303;2249.6150;2956.9155;3058.2744;4660.0386;1606.3232;3053.7153;2286.8228;0.9896
2020-01-25T00:00:00.0/2020-01-26T00:00:00.0;9563.8516;5869.4966;3193.1670;2676.3296;4401.5439;5677.8364;2864.8560;2812.9802;4024.3179;0.9896
2020-01-26T00:00:00.0/2020-01-27T00:00:00.0;9583.3691;5780.0586;3088.4011;2691.6572;4262.5840;5780.0586;3088.4011;2691.6572;4262.5840;0.9899
2020-01-27T00:00:00.0/2020-01-28T00:00:00.0;9603.1982;4903.9302;1988.3247;2915.6057;2671.1458;4867.2461;1966.6863;2900.5598;2623.5522;0.9896
2020-01-28T00:00:00.0/2020-01-29T00:00:00.0;9623.1826;4821.6611;1884.5492;2937.1121;2524.3840;4534.1021;1516.9136;3017.1885;2046.1444;0.9896
2020-01-29T00:00:00.0/2020-01-30T00:00:00.0;9643.3271;4568.5269;1562.3817;3006.1453;2070.4951;4407.9370;1426.2010;2981.7358;1859.8153;0.9896
2020-01-30T00:00:00.0/2020-01-31T00:00:00.0;9663.6094;5632.9512;2978.9683;2653.9832;4061.5449;5038.0068;2089.0071;2948.9998;2937.9036;0.9896
2020-01-31T00:00:00.0/2020-02-01T00:00:00.0;9684.0811;5922.6606;3448.9619;2473.6987;4745.0415;5677.3926;3016.8850;2660.5076;4235.9829;0.9896
2020-02-01T00:00:00.0/2020-02-02T00:00:00.0;9704.6006;5977.1602;3531.0359;2446.1243;4847.9741;5562.3569;2839.7380;2722.6187;4008.2253;0.9896
2020-02-02T00:00:00.0/2020-02-03T00:00:00.0;9725.1934;5618.4150;2999.0940;2619.3210;4034.7351;5177.9014;2272.6145;2905.2866;3201.0425;0.9896
2020-02-03T00:00:00.0/2020-02-04T00:00:00.0;9745.8877;5895.4854;3516.7329;2378.7527;4809.4790;5643.1719;3057.2393;2585.9326;4265.7461;0.9889
2020-02-04T00:00:00.0/2020-02-05T00:00:00.0;9766.5850;6208.7803;4007.3379;2201.4426;5499.8750;6024.2354;3705.3625;2318.8730;5046.4595;0.9837
2020-02-05T00:00:00.0/2020-02-06T00:00:00.0;9787.2900;5854.9741;3368.0593;2486.9146;4580.3213;5385.8638;2608.1562;2777.7078;3678.4204;0.9889
2020-02-06T00:00:00.0/2020-02-07T00:00:00.0;9807.9844;5295.0088;2320.4692;2974.5398;3061.3879;5013.9229;2010.1182;3003.8047;2648.3735;0.9889
2020-02-07T00:00:00.0/2020-02-08T00:00:00.0;9828.6445;5777.7271;3183.3777;2594.3491;4291.4121;5777.7271;3183.3777;2594.3491;4291.4121;0.9889
2020-02-08T00:00:00.0/2020-02-09T00:00:00.0;9849.3037;6000.7061;3544.1121;2456.5940;4793.7803;5943.6914;3449.3464;2494.3450;4665.1089;0.9885
2020-02-09T00:00:00.0/2020-02-10T00:00:00.0;9869.8535;5901.5161;3346.5327;2554.9834;4492.1597;5653.5259;2898.2761;2755.2498;3959.3296;0.9885
2020-02-10T00:00:00.0/2020-02-11T00:00:00.0;9890.3076;5457.3696;2424.1819;3033.1875;3200.6572;1797.6390;67.3302;1730.3090;128.8179;0.9885
