# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2021-02-25T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 5.6322
# Longitude (positive East, ISO 19115): -0.2351
# Altitude (m): 33.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-02-25T00:00:00.0/2021-02-26T00:00:00.0;10186.9893;5879.7090;2596.0896;3283.6194;3296.9956;4994.9702;1551.8927;3443.0774;1962.3628;0.9868
2021-02-26T00:00:00.0/2021-02-27T00:00:00.0;10203.1494;6033.3491;2993.2427;3040.1062;3838.5715;5651.1763;2419.1035;3232.0725;3035.1531;0.9868
2021-02-27T00:00:00.0/2021-02-28T00:00:00.0;10218.9629;6126.1792;3062.4041;3063.7751;3965.0371;5836.9077;2636.8110;3200.0967;3451.3765;0.9865
2021-02-28T00:00:00.0/2021-03-01T00:00:00.0;10234.3359;5812.4800;2520.2153;3292.2649;3177.7090;5586.7075;2180.6177;3406.0896;2757.4038;0.9812
2021-03-01T00:00:00.0/2021-03-02T00:00:00.0;10249.2793;5781.4360;2442.5815;3338.8542;3094.7234;5451.1680;1943.6736;3507.4946;2553.0623;0.9812
2021-03-02T00:00:00.0/2021-03-03T00:00:00.0;10263.8428;6417.6523;3609.7007;2807.9514;4662.8643;5697.0044;2481.4949;3215.5095;3349.8630;0.9809
2021-03-03T00:00:00.0/2021-03-04T00:00:00.0;10277.9287;6408.5132;3544.2932;2864.2200;4556.2358;5767.8208;2508.7532;3259.0674;3234.1731;0.9809
2021-03-04T00:00:00.0/2021-03-05T00:00:00.0;10291.5518;6421.1685;3479.4905;2941.6777;4480.5020;5905.4683;2959.2654;2946.2029;3726.5215;0.9809
2021-03-05T00:00:00.0/2021-03-06T00:00:00.0;10304.7744;6587.5249;3873.3523;2714.1726;5058.2656;6154.3696;3169.2029;2985.1670;4229.1958;0.9806
2021-03-06T00:00:00.0/2021-03-07T00:00:00.0;10317.4375;6673.4941;4058.1890;2615.3052;5293.2104;5602.2866;1913.1025;3689.1841;2617.9951;0.9861
2021-03-07T00:00:00.0/2021-03-08T00:00:00.0;10329.6602;6672.0781;3996.5049;2675.5732;5228.0376;5568.7227;2037.6631;3531.0598;3038.9834;0.9861
2021-03-08T00:00:00.0/2021-03-09T00:00:00.0;10341.4727;6625.7905;3875.6035;2750.1870;5051.8550;6242.3184;3288.2412;2954.0774;4252.7563;0.9858
2021-03-09T00:00:00.0/2021-03-10T00:00:00.0;10352.7275;6775.9297;4205.5596;2570.3704;5480.0889;5639.9658;2271.7651;3368.2007;2976.8745;0.9806
