Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,354149,-,-,-,5.65,-0.22,0,50,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2010,1,1,0,30,161.54,0.18,4.1000000000000005,0,0,0,0,24.700000000000003,94.10000000000001,1006,0,0,0,0,25.700000000000003,187,1.9000000000000001
2010,1,1,1,30,153,0.18,4.1000000000000005,0,0,0,0,24.700000000000003,95.32000000000001,1006,0,0,0,0,25.5,187,2
2010,1,1,2,30,140.83,0.18,4.1000000000000005,0,0,0,0,24.700000000000003,95.89,1006,0,0,0,0,25.400000000000002,188,2
2010,1,1,3,30,127.55,0.18,4,0,0,0,0,24.700000000000003,96.28,1006,0,0,0,0,25.3,189,2.1
2010,1,1,4,30,113.88,0.18,4,0,0,0,0,24.6,96.54,1006,0,0,0,0,25.200000000000003,190,2.1
2010,1,1,5,30,100.08,0.18,4,0,0,0,7,24.6,95.67,1007,0,0,0,0,25.3,190,2
2010,1,1,6,30,86.14,0.18,3.9000000000000004,15,20,16,7,24.5,90.94,1007,15,20,5,16,26.1,190,2
2010,1,1,7,30,72.73,0.18,3.9000000000000004,123,253,198,0,24.3,82.58,1008,123,253,0,198,27.5,190,2
2010,1,1,8,30,59.620000000000005,0.18,3.9000000000000004,192,447,418,0,23.5,72.10000000000001,1008,192,447,0,418,29,188,1.8
2010,1,1,9,30,47.33,0.18,3.9000000000000004,232,563,614,0,22.700000000000003,64,1008,232,563,0,614,30.3,183,1.7000000000000002
2010,1,1,10,30,36.76,0.18,4,256,628,759,0,22.6,59.94,1007,256,628,0,759,31.3,177,1.6
2010,1,1,11,30,29.84,0.18,4,264,664,840,2,22.200000000000003,56.28,1006,548,141,0,671,32,169,1.6
2010,1,1,12,30,29.3,0.18,4.1000000000000005,335,543,809,1,21.900000000000002,54.300000000000004,1005,335,543,0,809,32.300000000000004,162,1.7000000000000002
2010,1,1,13,30,35.44,0.18,4.1000000000000005,318,522,743,0,21.8,53.97,1005,318,522,0,743,32.300000000000004,160,2
2010,1,1,14,30,45.63,0.18,4.2,286,461,608,0,21.900000000000002,55.13,1004,286,461,0,608,32,163,2.4000000000000004
2010,1,1,15,30,57.74,0.18,4.3,233,353,422,0,22,57.94,1004,233,353,0,422,31.3,167,2.8000000000000003
2010,1,1,16,30,70.76,0.18,4.4,145,186,207,0,22.3,63.120000000000005,1005,145,186,0,207,30.1,171,3
2010,1,1,17,30,84.18,0.18,4.5,21,22,23,0,23.200000000000003,71.35000000000001,1006,21,22,0,23,28.900000000000002,176,3.1
2010,1,1,18,30,98.05,0.18,4.5,0,0,0,7,23.8,78,1007,0,0,0,0,28,180,3.1
2010,1,1,19,30,111.85000000000001,0.18,4.5,0,0,0,0,24.1,81.76,1008,0,0,0,0,27.5,183,2.9000000000000004
2010,1,1,20,30,125.56,0.18,4.5,0,0,0,0,24.3,84.69,1008,0,0,0,0,27.1,185,2.6
2010,1,1,21,30,138.94,0.18,4.5,0,0,0,0,24.5,87.09,1008,0,0,0,0,26.8,187,2.2
2010,1,1,22,30,151.38,0.18,4.5,0,0,0,0,24.6,89.18,1008,0,0,0,0,26.5,189,2
2010,1,1,23,30,160.79,0.18,4.5,0,0,0,0,24.6,91.02,1007,0,0,0,0,26.200000000000003,193,1.9000000000000001
2010,1,2,0,30,161.66,0.18,4.5,0,0,0,0,24.6,92.17,1007,0,0,0,0,26,199,1.8
2010,1,2,1,30,153.13,0.18,4.5,0,0,0,0,24.6,93.03,1006,0,0,0,0,25.8,202,1.7000000000000002
2010,1,2,2,30,140.97,0.18,4.5,0,0,0,0,24.6,94.07000000000001,1006,0,0,0,0,25.6,203,1.7000000000000002
2010,1,2,3,30,127.67,0.18,4.5,0,0,0,0,24.6,94.56,1006,0,0,0,0,25.5,203,1.8
2010,1,2,4,30,113.99000000000001,0.18,4.5,0,0,0,0,24.5,95.04,1007,0,0,0,0,25.400000000000002,204,1.8
2010,1,2,5,30,100.19,0.18,4.4,0,0,0,0,24.5,94.36,1007,0,0,0,0,25.5,207,1.8
2010,1,2,6,30,86.24,0.18,4.4,13,18,14,0,24.5,90.51,1008,13,18,0,14,26.200000000000003,211,2
2010,1,2,7,30,72.82000000000001,0.18,4.3,124,232,192,7,24.3,83.22,1009,170,57,7,186,27.400000000000002,212,2
2010,1,2,8,30,59.69,0.18,4.2,199,418,410,7,23.6,73.66,1009,199,418,5,410,28.8,212,1.6
2010,1,2,9,30,47.38,0.18,4.1000000000000005,252,506,595,7,22.900000000000002,65.37,1008,252,506,5,595,30.1,210,1.2000000000000002
2010,1,2,10,30,36.77,0.18,4,283,569,739,7,22.5,59.7,1007,283,564,0,735,31.3,200,0.9
2010,1,2,11,30,29.79,0.18,4,298,599,818,0,21.900000000000002,55,1006,298,599,0,818,32.1,182,1
2010,1,2,12,30,29.19,0.18,3.9000000000000004,310,584,819,7,21.6,52.77,1005,492,270,0,728,32.5,170,1.4000000000000001
2010,1,2,13,30,35.300000000000004,0.18,3.9000000000000004,295,561,753,7,21.5,52.02,1004,295,561,5,753,32.6,167,1.8
2010,1,2,14,30,45.49,0.18,4,266,503,618,7,21.5,52.68,1004,271,491,0,615,32.4,169,2.2
2010,1,2,15,30,57.61,0.18,4.1000000000000005,221,400,435,7,21.6,55.06,1004,221,400,5,435,31.700000000000003,173,2.5
2010,1,2,16,30,70.64,0.18,4.2,143,237,222,0,21.900000000000002,59.63,1005,143,237,0,222,30.6,179,2.7
2010,1,2,17,30,84.06,0.18,4.3,28,36,31,7,22.8,68.23,1006,28,36,5,31,29.3,185,2.8000000000000003
2010,1,2,18,30,97.94,0.18,4.3,0,0,0,7,23.5,75.21000000000001,1006,0,0,0,0,28.3,189,2.8000000000000003
2010,1,2,19,30,111.75,0.18,4.4,0,0,0,1,23.900000000000002,79.34,1007,0,0,0,0,27.8,191,2.6
2010,1,2,20,30,125.47,0.18,4.4,0,0,0,1,24.200000000000003,82.49,1008,0,0,0,0,27.400000000000002,193,2.4000000000000004
2010,1,2,21,30,138.87,0.18,4.5,0,0,0,0,24.3,85.26,1008,0,0,0,0,27,195,2.1
2010,1,2,22,30,151.34,0.18,4.5,0,0,0,0,24.400000000000002,87.31,1007,0,0,0,0,26.700000000000003,197,2
2010,1,2,23,30,160.83,0.18,4.5,0,0,0,0,24.5,89.52,1007,0,0,0,0,26.400000000000002,202,1.9000000000000001
2010,1,3,0,30,161.78,0.18,4.5,0,0,0,0,24.6,91.05,1006,0,0,0,0,26.200000000000003,209,1.8
2010,1,3,1,30,153.27,0.18,4.5,0,0,0,0,24.700000000000003,92.51,1006,0,0,0,0,26,218,1.7000000000000002
2010,1,3,2,30,141.1,0.18,4.5,0,0,0,0,24.700000000000003,93.92,1006,0,0,0,0,25.8,225,1.7000000000000002
2010,1,3,3,30,127.8,0.18,4.5,0,0,0,0,24.8,95.14,1006,0,0,0,0,25.6,229,1.6
2010,1,3,4,30,114.10000000000001,0.18,4.5,0,0,0,0,24.8,96.28,1006,0,0,0,0,25.400000000000002,231,1.6
2010,1,3,5,30,100.29,0.18,4.4,0,0,0,0,24.8,95.76,1007,0,0,0,0,25.5,231,1.6
2010,1,3,6,30,86.33,0.18,4.4,14,19,15,0,24.8,91.79,1007,14,19,0,15,26.200000000000003,229,1.8
2010,1,3,7,30,72.9,0.18,4.4,122,244,193,0,24.6,83.51,1008,122,244,0,193,27.6,220,1.8
2010,1,3,8,30,59.76,0.18,4.4,197,430,414,0,23.8,73.35000000000001,1008,197,430,0,414,29.1,207,1.5
2010,1,3,9,30,47.42,0.18,4.3,242,542,609,0,23.1,64.7,1008,242,542,0,609,30.5,194,1.3
2010,1,3,10,30,36.77,0.18,4.3,268,607,754,0,22.700000000000003,59.77,1007,268,607,0,754,31.5,185,1.4000000000000001
