Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 01:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 02:00:00+00:00,PT60M
24,0.09,4,32,7,3,5,18,6,4,2023-02-13 03:00:00+00:00,PT60M
24,0.09,40,536,149,98,76,184,114,94,2023-02-13 04:00:00+00:00,PT60M
25,0.09,59,775,383,331,82,677,369,322,2023-02-13 05:00:00+00:00,PT60M
26,0.09,70,880,612,575,70,880,612,575,2023-02-13 06:00:00+00:00,PT60M
26,0.09,81,930,808,786,81,930,808,786,2023-02-13 07:00:00+00:00,PT60M
27,0.09,85,961,952,944,85,961,952,944,2023-02-13 08:00:00+00:00,PT60M
27,0.09,87,977,1033,1031,87,977,1033,1031,2023-02-13 09:00:00+00:00,PT60M
27,0.09,88,980,1042,1041,88,980,1042,1041,2023-02-13 10:00:00+00:00,PT60M
28,0.09,87,968,979,972,87,968,979,972,2023-02-13 11:00:00+00:00,PT60M
28,0.09,89,932,846,828,96,917,842,824,2023-02-13 12:00:00+00:00,PT60M
27,0.09,88,867,657,624,118,794,639,608,2023-02-13 13:00:00+00:00,PT60M
27,0.09,81,754,430,383,95,707,421,376,2023-02-13 14:00:00+00:00,PT60M
26,0.09,58,533,192,144,62,510,190,142,2023-02-13 15:00:00+00:00,PT60M
26,0.09,12,77,19,10,12,77,19,10,2023-02-13 16:00:00+00:00,PT60M
26,0.09,0,0,0,0,0,0,0,0,2023-02-13 17:00:00+00:00,PT60M
25,0.09,0,0,0,0,0,0,0,0,2023-02-13 18:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 19:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 20:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 21:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 22:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-13 23:00:00+00:00,PT60M
24,0.09,0,0,0,0,0,0,0,0,2023-02-14 00:00:00+00:00,PT60M
23,0.09,0,0,0,0,0,0,0,0,2023-02-14 01:00:00+00:00,PT60M
23,0.09,0,0,0,0,0,0,0,0,2023-02-14 02:00:00+00:00,PT60M
23,0.09,4,26,6,3,4,26,6,3,2023-02-14 03:00:00+00:00,PT60M
23,0.09,42,514,147,99,64,270,122,95,2023-02-14 04:00:00+00:00,PT60M
25,0.09,64,767,383,333,66,756,381,332,2023-02-14 05:00:00+00:00,PT60M
26,0.09,75,877,614,579,75,877,614,579,2023-02-14 06:00:00+00:00,PT60M
26,0.09,82,936,812,793,82,936,812,793,2023-02-14 07:00:00+00:00,PT60M
27,0.09,86,967,957,950,86,967,957,950,2023-02-14 08:00:00+00:00,PT60M
27,0.09,88,981,1035,1036,88,981,1035,1036,2023-02-14 09:00:00+00:00,PT60M
27,0.09,89,981,1043,1044,89,981,1043,1044,2023-02-14 10:00:00+00:00,PT60M
28,0.09,92,962,977,973,92,962,977,973,2023-02-14 11:00:00+00:00,PT60M
27,0.09,89,930,844,828,89,930,844,828,2023-02-14 12:00:00+00:00,PT60M
27,0.09,84,874,656,625,84,874,656,625,2023-02-14 13:00:00+00:00,PT60M
27,0.09,76,764,428,383,76,764,428,383,2023-02-14 14:00:00+00:00,PT60M
