TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9691.9482,7710.0483,6868.3037,841.7448,10456.9092,6489.9092,4491.7988,1998.1105,6409.5493,0.9872,2023-09-28
9740.3955,7637.0977,6687.4014,949.696,10024.5381,7563.7202,6546.2002,1017.5198,9545.75,0.9868,2023-09-29
9788.5645,7415.2134,6114.8081,1300.405,8993.2607,6157.4219,3780.1658,2377.2561,5554.3213,0.9861,2023-09-30
9836.3291,7427.1187,6108.4624,1318.6561,8901.6055,5306.1289,3499.9216,1806.2073,4793.6646,0.9858,2023-10-01
9883.7666,7506.4624,6066.1147,1440.3477,9058.4385,3856.0183,1923.4277,1932.5906,3385.5398,0.9851,2023-10-02
9930.7988,8049.6641,7202.9736,846.6901,10918.8105,5945.7222,3478.7556,2466.9666,4953.5005,0.9847,2023-10-03
9977.4307,8144.7476,7475.0391,669.7086,11345.2207,8144.7476,7475.0391,669.7086,11345.2207,0.9844,2023-10-04
10023.709,8085.4189,7294.2148,791.2042,10942.8369,8085.4189,7294.2148,791.2042,10942.8369,0.9837,2023-10-05
10069.5352,8150.9609,7410.0576,740.9031,11106.8359,8088.5776,7311.1226,777.455,10505.832,0.9833,2023-10-06
10114.9238,8169.3584,7339.2324,830.126,10934.3447,8038.0356,7119.7061,918.3296,9962.373,0.983,2023-10-07
10159.9404,7996.7168,6875.1387,1121.578,10042.3271,7996.7168,6875.1387,1121.578,10042.3271,0.9823,2023-10-08
10204.4531,7763.625,6272.1074,1491.5175,8924.2568,7717.29,6199.8057,1517.4845,8578.0352,0.9819,2023-10-09
10248.5547,7851.8896,6523.7036,1328.1858,9405.1426,7583.5835,5936.6543,1646.9292,8103.4878,0.9812,2023-10-10
10292.1465,7598.5366,5694.0684,1904.4679,7971.6636,6633.2695,3833.3313,2799.9385,5055.333,0.9809,2023-10-11
10335.291,7780.0166,6224.9336,1555.0829,8822.3867,7285.2617,5516.1221,1769.14,7151.0781,0.9802,2023-10-12
10377.9189,7829.6021,6392.4199,1437.1821,9121.5195,6051.4438,3914.7598,2136.6841,4632.9971,0.9799,2023-10-13
10419.9863,7750.5605,5977.2886,1773.272,8420.8809,6194.3457,3317.3997,2876.9458,5023.2241,0.9799,2023-10-14
10461.6543,7520.6733,5341.1753,2179.4978,7254.8906,5987.9077,3259.457,2728.4507,4021.9807,0.9889,2023-10-15
10502.7471,7791.0791,5928.4023,1862.6766,8143.8735,4340.2104,804.8065,3535.4041,1155.8953,0.9885,2023-10-16
10543.3643,7737.2495,5940.3809,1796.8688,8328.3789,1710.4167,7.7958,1702.621,50.0359,0.9882,2023-10-17
10583.3945,7794.8823,6046.0747,1748.8077,8423.3408,3413.2512,597.4257,2815.8254,768.043,0.9878,2023-10-18
10622.9268,7781.9653,5833.8008,1948.1648,8158.8779,3103.0344,624.8893,2478.1453,1345.4447,0.9875,2023-10-19
10661.8613,8418.5098,7588.8892,829.621,11054.5273,7597.9663,5929.9761,1667.9897,7556.7466,0.9872,2023-10-20
10700.2773,8466.2725,7579.5791,886.6936,10983.1934,5933.9619,3489.7253,2444.2366,5126.6187,0.9865,2023-10-21
10738.0479,8309.0273,7247.0059,1062.0211,10355.5947,5574.5361,3172.2263,2402.3098,4439.3047,0.9865,2023-10-22
10775.3389,8371.1826,7251.5894,1119.5931,10270.4521,6921.3276,5017.7549,1903.5729,6151.5713,0.9858,2023-10-23
10812.0078,8055.3555,6179.479,1875.8763,8682.0488,4958.7412,1745.1685,3213.5728,2310.7969,0.9854,2023-10-24
10848.1348,8153.2266,6523.7773,1629.4496,9129.582,5467.7671,3209.6816,2258.0852,4280.604,0.9847,2023-10-25
10883.624,8256.3477,6718.229,1538.1184,9303.0312,6728.7861,3933.7393,2795.0466,5119.6514,0.9844,2023-10-26
10918.5459,8628.3115,7484.5034,1143.8085,10679.2842,6569.1562,3356.4316,3212.7249,3980.1445,0.984,2023-10-27
10952.8574,8625.0,7574.0693,1050.9305,10833.4004,4807.4741,1431.0114,3376.4626,2440.469,0.9837,2023-10-28
10986.6211,8436.8301,7240.3438,1196.4866,10268.2354,6217.5601,3388.8528,2828.707,4329.2905,0.983,2023-10-29
11019.7207,8452.707,7137.8672,1314.84,10055.8682,5924.4956,3398.0693,2526.4263,4283.9121,0.9826,2023-10-30
11052.25,8377.5674,6868.6074,1508.9602,9632.1836,4539.3877,1732.8644,2806.5232,2153.9797,0.9823,2023-10-31
11084.1914,8371.7412,6871.1113,1500.6299,9590.8535,3596.3992,506.5093,3089.8899,735.2338,0.9816,2023-11-01
11115.4424,8726.5635,7858.5566,868.0063,11185.1777,6859.4844,4610.0054,2249.479,5434.0703,0.9816,2023-11-02
11146.1787,8772.709,7720.9453,1051.7634,11058.0244,3526.8845,1111.1925,2415.6919,2357.4397,0.9809,2023-11-03
11176.2373,8794.5811,7710.3516,1084.229,11010.0908,4447.2358,1290.3053,3156.9307,1884.9617,0.9806,2023-11-04
11205.708,8844.4844,7886.1431,958.3416,11274.5117,4366.8042,602.5874,3764.217,1153.901,0.9802,2023-11-05
11234.5879,8674.7314,7537.3149,1137.4169,10674.2422,4625.8018,993.2891,3632.5127,1120.5164,0.9795,2023-11-06
11262.7686,8737.1797,7668.231,1068.9486,10884.5684,4487.6426,1078.3212,3409.3213,1454.1985,0.9795,2023-11-07
11290.4238,8775.1494,7700.481,1074.668,10886.4326,6054.3926,3834.8647,2219.5281,4297.2446,0.9792,2023-11-08
11317.4004,8639.5547,7337.5586,1301.9967,10225.3213,4740.6885,1249.174,3491.5146,1699.0947,0.9837,2023-11-09
11343.7744,8978.915,8026.9629,951.9525,11370.7031,6677.3354,3969.1379,2708.1978,5857.7002,0.9875,2023-11-10
11369.5225,9197.6621,8376.8428,820.8195,12032.2578,8841.7607,7478.7905,1362.9708,10178.3633,0.9875,2023-11-11
11394.6816,9164.6172,8243.9277,920.6893,11657.7568,8982.0342,7981.3335,1000.7011,10559.7422,0.9872,2023-11-12
11419.1572,8947.8984,7798.2129,1149.6855,11079.0898,8846.8857,7675.9111,1170.975,10459.7939,0.9872,2023-11-13
11443.0361,8860.3857,7494.0015,1366.3844,10396.1621,7593.5566,5380.2026,2213.354,6843.1167,0.9872,2023-11-14
11466.3467,8854.9922,7428.6162,1426.3761,10363.6279,1612.6824,11.1752,1601.5072,49.9452,0.9865,2023-11-15
11488.959,9029.9961,7874.0127,1155.9835,11130.1982,5828.3613,2086.8279,3741.5332,2639.9258,0.9865,2023-11-16
11510.9854,9137.9229,8116.9253,1020.9976,11440.834,5930.5049,2352.0886,3578.4165,3296.6428,0.9861,2023-11-17
11532.4463,9005.4482,7984.3936,1021.0543,11361.7891,6433.0864,3534.8289,2898.2576,4248.5024,0.9854,2023-11-18
11553.21,8924.1494,7862.1279,1062.0219,11087.3877,6767.4473,4200.0674,2567.3799,4861.1216,0.9854,2023-11-19
11573.4014,8896.4912,7688.8823,1207.6088,10745.5039,7602.2412,5262.0972,2340.1438,6306.083,0.9851,2023-11-20
11593.0137,8998.1162,7787.7012,1210.4152,10756.5186,8998.1162,7787.7012,1210.4152,10756.5186,0.9844,2023-11-21
11611.9473,9093.2686,7838.5151,1254.7537,11104.5977,8910.2256,7488.9102,1421.3157,9906.4902,0.9844,2023-11-22
11630.3242,9208.1504,8226.6182,981.5317,11683.1758,8844.4688,7514.3247,1330.1436,9721.0352,0.984,2023-11-23
11648.0869,9287.1846,8353.4033,933.7809,11925.4443,9118.4404,8043.5386,1074.9016,10750.6797,0.9788,2023-11-24
11665.2402,9306.1396,8350.582,955.557,11892.248,6819.6123,3936.1033,2883.509,5487.2153,0.9833,2023-11-25
11681.7725,9147.7676,8166.0137,981.7533,11562.6719,8134.6738,6473.6846,1660.9893,8516.3574,0.9833,2023-11-26
11697.7432,9231.1211,8250.0234,981.0972,11720.1279,9231.1211,8250.0234,981.0972,11720.1279,0.983,2023-11-27
11713.1133,9197.1611,8256.1836,940.9773,11676.877,8586.9932,7331.4355,1255.5576,9388.584,0.9826,2023-11-28
11727.8604,8998.4092,7783.9858,1214.4235,10887.9775,8826.4053,7495.2622,1331.1433,9661.8037,0.9826,2023-11-29
11742.0664,8705.8965,6801.562,1904.3345,9302.0059,3197.5063,564.2858,2633.2205,744.1352,0.9823,2023-11-30
11755.6807,8992.0859,7484.1509,1507.9348,10408.3604,2525.7771,91.0469,2434.7302,294.5099,0.9819,2023-12-01
11768.6719,9369.2354,8275.8145,1093.4211,11739.7148,6636.7622,3254.6731,3382.0894,4074.4875,0.9819,2023-12-02
11781.1367,9575.0596,8708.082,866.9777,12531.21,9429.2129,8294.9092,1134.3038,12006.4219,0.9816,2023-12-03
11793.0156,9556.0459,8734.8418,821.2036,12520.6768,9556.0459,8734.8418,821.2036,12520.6768,0.9812,2023-12-04
11804.2715,9383.1133,8413.4883,969.6243,11922.3008,8970.4443,7556.312,1414.1328,9465.877,0.9812,2023-12-05
11815.0107,9063.0361,7732.6367,1330.3997,10838.5059,8856.2568,7383.0894,1473.1674,9763.3027,0.9809,2023-12-06
11825.1689,9322.6162,8175.1348,1147.4816,11490.5645,7874.1519,4888.1533,2985.9985,6701.999,0.9806,2023-12-07
11834.7031,9221.9502,8099.3955,1122.5547,11361.5254,6265.7183,2374.8928,3890.8254,3285.9116,0.9806,2023-12-08
11843.6982,9137.1807,8127.3169,1009.8633,11566.9766,3786.228,1187.8726,2598.3555,1290.6525,0.9806,2023-12-09
11852.1611,9209.1104,8223.8662,985.2449,11696.0889,7523.0703,5243.0322,2280.0378,7599.1416,0.9802,2023-12-10
11860.0059,9285.2842,8302.0068,983.2782,11736.4395,8635.8994,6556.728,2079.1714,8888.541,0.9802,2023-12-11
