Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
19,0.19,0,0,0,0,0,0,0,0,2023-09-28 01:00:00+00:00,PT60M
19,0.19,0,0,0,0,0,0,0,0,2023-09-28 02:00:00+00:00,PT60M
18,0.19,2,9,3,2,2,5,2,2,2023-09-28 03:00:00+00:00,PT60M
19,0.19,43,482,134,137,43,478,134,137,2023-09-28 04:00:00+00:00,PT60M
22,0.19,73,763,377,402,73,763,377,402,2023-09-28 05:00:00+00:00,PT60M
25,0.19,91,870,610,657,91,870,610,657,2023-09-28 06:00:00+00:00,PT60M
27,0.19,111,907,798,863,111,907,798,863,2023-09-28 07:00:00+00:00,PT60M
28,0.19,119,933,927,1006,119,933,927,1006,2023-09-28 08:00:00+00:00,PT60M
29,0.19,122,942,987,1070,122,942,987,1070,2023-09-28 09:00:00+00:00,PT60M
31,0.19,121,937,971,1054,121,937,971,1054,2023-09-28 10:00:00+00:00,PT60M
33,0.19,118,915,883,956,118,915,883,956,2023-09-28 11:00:00+00:00,PT60M
32,0.19,113,866,727,784,113,866,727,784,2023-09-28 12:00:00+00:00,PT60M
32,0.19,99,784,519,556,99,784,519,556,2023-09-28 13:00:00+00:00,PT60M
31,0.19,77,615,280,295,77,615,280,295,2023-09-28 14:00:00+00:00,PT60M
30,0.19,29,215,61,60,29,215,61,60,2023-09-28 15:00:00+00:00,PT60M
29,0.19,0,0,0,0,0,0,0,0,2023-09-28 16:00:00+00:00,PT60M
29,0.19,0,0,0,0,0,0,0,0,2023-09-28 17:00:00+00:00,PT60M
27,0.19,0,0,0,0,0,0,0,0,2023-09-28 18:00:00+00:00,PT60M
24,0.19,0,0,0,0,0,0,0,0,2023-09-28 19:00:00+00:00,PT60M
23,0.19,0,0,0,0,0,0,0,0,2023-09-28 20:00:00+00:00,PT60M
22,0.19,0,0,0,0,0,0,0,0,2023-09-28 21:00:00+00:00,PT60M
21,0.19,0,0,0,0,0,0,0,0,2023-09-28 22:00:00+00:00,PT60M
20,0.19,0,0,0,0,0,0,0,0,2023-09-28 23:00:00+00:00,PT60M
20,0.19,0,0,0,0,0,0,0,0,2023-09-29 00:00:00+00:00,PT60M
19,0.19,0,0,0,0,0,0,0,0,2023-09-29 01:00:00+00:00,PT60M
19,0.19,0,0,0,0,0,0,0,0,2023-09-29 02:00:00+00:00,PT60M
19,0.19,2,8,3,2,2,8,3,2,2023-09-29 03:00:00+00:00,PT60M
20,0.19,47,419,128,130,47,419,128,130,2023-09-29 04:00:00+00:00,PT60M
23,0.19,80,710,365,387,80,710,365,387,2023-09-29 05:00:00+00:00,PT60M
26,0.19,97,831,596,639,97,831,596,639,2023-09-29 06:00:00+00:00,PT60M
27,0.19,104,898,786,848,104,898,786,848,2023-09-29 07:00:00+00:00,PT60M
29,0.19,110,929,917,992,110,929,917,992,2023-09-29 08:00:00+00:00,PT60M
31,0.19,116,936,977,1057,116,936,977,1057,2023-09-29 09:00:00+00:00,PT60M
32,0.19,117,930,963,1042,117,930,963,1042,2023-09-29 10:00:00+00:00,PT60M
32,0.19,117,903,874,944,117,903,874,944,2023-09-29 11:00:00+00:00,PT60M
32,0.19,115,847,718,772,222,579,643,680,2023-09-29 12:00:00+00:00,PT60M
32,0.19,116,722,505,538,294,99,348,345,2023-09-29 13:00:00+00:00,PT60M
32,0.19,91,527,266,277,159,153,207,206,2023-09-29 14:00:00+00:00,PT60M
30,0.19,32,158,56,55,37,2,38,36,2023-09-29 15:00:00+00:00,PT60M
29,0.19,0,0,0,0,0,0,0,0,2023-09-29 16:00:00+00:00,PT60M
28,0.19,0,0,0,0,0,0,0,0,2023-09-29 17:00:00+00:00,PT60M
25,0.19,0,0,0,0,0,0,0,0,2023-09-29 18:00:00+00:00,PT60M
23,0.19,0,0,0,0,0,0,0,0,2023-09-29 19:00:00+00:00,PT60M
22,0.19,0,0,0,0,0,0,0,0,2023-09-29 20:00:00+00:00,PT60M
21,0.19,0,0,0,0,0,0,0,0,2023-09-29 21:00:00+00:00,PT60M
21,0.19,0,0,0,0,0,0,0,0,2023-09-29 22:00:00+00:00,PT60M
20,0.19,0,0,0,0,0,0,0,0,2023-09-29 23:00:00+00:00,PT60M
19,0.19,0,0,0,0,0,0,0,0,2023-09-30 00:00:00+00:00,PT60M
19,0.19,0,0,0,0,0,0,0,0,2023-09-30 01:00:00+00:00,PT60M
18,0.19,0,0,0,0,0,0,0,0,2023-09-30 02:00:00+00:00,PT60M
19,0.19,2,4,3,3,2,4,3,3,2023-09-30 03:00:00+00:00,PT60M
20,0.19,58,305,119,120,73,170,107,105,2023-09-30 04:00:00+00:00,PT60M
23,0.19,107,593,349,366,115,555,344,360,2023-09-30 05:00:00+00:00,PT60M
26,0.19,135,734,578,615,135,734,578,615,2023-09-30 06:00:00+00:00,PT60M
27,0.19,160,792,764,818,162,786,762,816,2023-09-30 07:00:00+00:00,PT60M
29,0.19,174,824,893,959,174,824,893,959,2023-09-30 08:00:00+00:00,PT60M
31,0.19,180,839,954,1025,180,839,954,1025,2023-09-30 09:00:00+00:00,PT60M
33,0.19,182,830,939,1009,182,830,939,1009,2023-09-30 10:00:00+00:00,PT60M
