# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-09-28T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): -23.9900
# Longitude (positive East, ISO 19115): 46.9480
# Altitude (m): 1220.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-09-28T00:00:00.0/2023-09-29T00:00:00.0;9691.9482;7710.0483;6868.3037;841.7448;10456.9092;6489.9092;4491.7988;1998.1105;6409.5493;0.9872
2023-09-29T00:00:00.0/2023-09-30T00:00:00.0;9740.3955;7637.0977;6687.4014;949.6960;10024.5381;7563.7202;6546.2002;1017.5198;9545.7500;0.9868
2023-09-30T00:00:00.0/2023-10-01T00:00:00.0;9788.5645;7415.2134;6114.8081;1300.4050;8993.2607;6157.4219;3780.1658;2377.2561;5554.3213;0.9861
2023-10-01T00:00:00.0/2023-10-02T00:00:00.0;9836.3291;7427.1187;6108.4624;1318.6561;8901.6055;5306.1289;3499.9216;1806.2073;4793.6646;0.9858
2023-10-02T00:00:00.0/2023-10-03T00:00:00.0;9883.7666;7506.4624;6066.1147;1440.3477;9058.4385;3856.0183;1923.4277;1932.5906;3385.5398;0.9851
2023-10-03T00:00:00.0/2023-10-04T00:00:00.0;9930.7988;8049.6641;7202.9736;846.6901;10918.8105;5945.7222;3478.7556;2466.9666;4953.5005;0.9847
2023-10-04T00:00:00.0/2023-10-05T00:00:00.0;9977.4307;8144.7476;7475.0391;669.7086;11345.2207;8144.7476;7475.0391;669.7086;11345.2207;0.9844
2023-10-05T00:00:00.0/2023-10-06T00:00:00.0;10023.7090;8085.4189;7294.2148;791.2042;10942.8369;8085.4189;7294.2148;791.2042;10942.8369;0.9837
2023-10-06T00:00:00.0/2023-10-07T00:00:00.0;10069.5352;8150.9609;7410.0576;740.9031;11106.8359;8088.5776;7311.1226;777.4550;10505.8320;0.9833
2023-10-07T00:00:00.0/2023-10-08T00:00:00.0;10114.9238;8169.3584;7339.2324;830.1260;10934.3447;8038.0356;7119.7061;918.3296;9962.3730;0.9830
2023-10-08T00:00:00.0/2023-10-09T00:00:00.0;10159.9404;7996.7168;6875.1387;1121.5780;10042.3271;7996.7168;6875.1387;1121.5780;10042.3271;0.9823
2023-10-09T00:00:00.0/2023-10-10T00:00:00.0;10204.4531;7763.6250;6272.1074;1491.5175;8924.2568;7717.2900;6199.8057;1517.4845;8578.0352;0.9819
2023-10-10T00:00:00.0/2023-10-11T00:00:00.0;10248.5547;7851.8896;6523.7036;1328.1858;9405.1426;7583.5835;5936.6543;1646.9292;8103.4878;0.9812
