Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2394909,-,-,-,-25.07,46.94,0,7,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2012,1,1,0,30,109.14,0.09,4.800000000000001,0,0,0,0,21.200000000000003,85.21000000000001,1015,0,0,0,0,23.8,81,3.2
2012,1,1,1,30,97.89,0.09,4.9,0,0,0,1,21.200000000000003,85.04,1016,0,0,0,0,23.900000000000002,78,3.3000000000000003
2012,1,1,2,30,85.59,0.09,5,29,155,41,0,21.3,83.94,1016,29,155,0,41,24.200000000000003,76,3.5
2012,1,1,3,30,73.01,0.09,5.1000000000000005,77,540,234,3,21.400000000000002,81.83,1016,12,0,7,12,24.700000000000003,75,3.7
2012,1,1,4,30,59.96,0.09,5.1000000000000005,106,709,461,3,21.200000000000003,77.26,1016,284,82,0,325,25.5,73,3.8000000000000003
2012,1,1,5,30,46.64,0.09,5.1000000000000005,125,802,676,3,21.1,72.86,1015,331,62,0,373,26.400000000000002,74,3.8000000000000003
2012,1,1,6,30,33.160000000000004,0.09,5,149,838,851,3,21.200000000000003,69,1015,174,0,0,174,27.400000000000002,76,3.9000000000000004
2012,1,1,7,30,19.59,0.09,4.9,156,874,979,3,21.3,66.74,1014,363,2,0,365,28.1,79,4
2012,1,1,8,30,6.16,0.09,4.9,157,892,1044,3,21.5,65.32000000000001,1014,466,23,0,489,28.6,82,4.1000000000000005
2012,1,1,9,30,8.13,0.09,4.9,156,892,1040,3,21.5,65.16,1013,354,1,0,355,28.700000000000003,84,4.4
2012,1,1,10,30,21.63,0.09,5,153,872,964,1,21.6,66.7,1013,153,872,0,964,28.400000000000002,86,4.7
2012,1,1,11,30,35.19,0.09,5,147,833,828,8,21.700000000000003,69.33,1012,310,24,0,329,27.8,87,4.9
2012,1,1,12,30,48.660000000000004,0.09,5,159,713,630,6,21.700000000000003,72.89,1012,153,1,0,154,27,87,4.9
2012,1,1,13,30,61.95,0.09,5.1000000000000005,130,602,414,6,21.8,76.62,1013,9,0,0,9,26.200000000000003,87,4.800000000000001
2012,1,1,14,30,74.96000000000001,0.09,5.2,90,391,191,6,21.8,80.17,1014,4,0,0,4,25.5,87,4.6000000000000005
2012,1,1,15,30,87.4,0.09,5.2,18,28,19,7,21.900000000000002,83.69,1014,3,0,7,3,24.900000000000002,87,4.3
2012,1,1,16,30,99.68,0.09,5.300000000000001,0,0,0,8,22.200000000000003,85.81,1015,0,0,0,0,24.700000000000003,87,4.2
2012,1,1,17,30,110.76,0.09,5.300000000000001,0,0,0,8,22.200000000000003,86.24,1015,0,0,0,0,24.700000000000003,84,4.2
2012,1,1,18,30,120.36,0.09,5.4,0,0,0,7,22.3,85.84,1015,0,0,0,0,24.8,80,4.2
2012,1,1,19,30,127.64,0.09,5.4,0,0,0,7,22.3,85.84,1014,0,0,0,0,24.8,76,4.1000000000000005
2012,1,1,20,30,131.53,0.09,5.4,0,0,0,6,22.3,86.37,1014,0,0,0,0,24.700000000000003,72,4
2012,1,1,21,30,131.23,0.09,5.5,0,0,0,6,22.3,86.94,1013,0,0,0,0,24.6,69,3.9000000000000004
2012,1,1,22,30,126.79,0.09,5.5,0,0,0,7,22.3,87.2,1013,0,0,0,0,24.6,66,3.8000000000000003
2012,1,1,23,30,119.12,0.09,5.5,0,0,0,8,22.3,87.78,1013,0,0,0,0,24.5,63,3.7
2012,1,2,0,30,109.27,0.08,5.5,0,0,0,7,22.3,87.68,1013,0,0,0,0,24.5,60,3.5
2012,1,2,1,30,98.03,0.08,5.6000000000000005,0,0,0,6,22.3,87.13,1014,0,0,0,0,24.6,56,3.5
2012,1,2,2,30,85.72,0.08,5.7,30,59,35,7,22.3,85.72,1015,25,0,7,25,24.900000000000002,52,3.7
2012,1,2,3,30,73.14,0.08,5.800000000000001,104,391,217,7,22.400000000000002,82.51,1015,62,1,0,62,25.6,50,3.8000000000000003
2012,1,2,4,30,60.09,0.08,5.800000000000001,144,590,439,7,22.3,77.45,1015,244,162,0,325,26.6,49,3.8000000000000003
2012,1,2,5,30,46.77,0.08,5.9,167,707,652,7,22.200000000000003,72.24,1015,174,3,0,176,27.700000000000003,50,3.6
2012,1,2,6,30,33.28,0.08,5.9,183,774,830,7,22.3,70.26,1015,358,368,0,666,28.200000000000003,53,3.3000000000000003
2012,1,2,7,30,19.71,0.08,6,194,809,955,7,22.3,70.14,1014,375,276,0,635,28.3,58,3.1
2012,1,2,8,30,6.29,0.08,6.1000000000000005,201,821,1017,7,22.5,71.98,1014,386,372,0,755,28,63,3.1
2012,1,2,9,30,8.05,0.08,6.1000000000000005,180,849,1021,7,22.700000000000003,75.16,1014,392,15,1,406,27.5,67,3.1
2012,1,2,10,30,21.54,0.08,6.1000000000000005,173,834,949,7,23,78.32000000000001,1013,351,8,1,359,27.1,70,3.1
2012,1,2,11,30,35.1,0.08,6,162,799,816,6,23.3,81.55,1013,170,1,1,171,26.700000000000003,72,3.2
2012,1,2,12,30,48.58,0.08,5.800000000000001,144,740,634,6,23.5,84.12,1013,119,0,1,120,26.400000000000002,70,3.4000000000000004
2012,1,2,13,30,61.870000000000005,0.08,5.7,119,636,418,6,23.700000000000003,86.60000000000001,1013,10,0,0,10,26.1,63,3.5
2012,1,2,14,30,74.89,0.08,5.5,81,442,197,9,23.8,88.95,1014,4,0,0,4,25.8,57,3.6
2012,1,2,15,30,87.35000000000001,0.08,5.300000000000001,19,52,21,9,23.900000000000002,90.08,1014,2,0,7,2,25.6,56,3.6
2012,1,2,16,30,99.63,0.08,5.2,0,0,0,6,23.8,91.05,1014,0,0,0,0,25.400000000000002,59,3.5
2012,1,2,17,30,110.73,0.08,5.2,0,0,0,6,23.8,91.05,1014,0,0,0,0,25.400000000000002,61,3.6
2012,1,2,18,30,120.36,0.08,5.2,0,0,0,6,23.8,90.47,1014,0,0,0,0,25.5,64,3.6
2012,1,2,19,30,127.67,0.08,5.2,0,0,0,6,23.8,90.32000000000001,1014,0,0,0,0,25.5,67,3.6
2012,1,2,20,30,131.6,0.08,5.2,0,0,0,6,23.700000000000003,90.08,1013,0,0,0,0,25.400000000000002,66,3.5
2012,1,2,21,30,131.33,0.08,5.2,0,0,0,6,23.400000000000002,89.39,1013,0,0,0,0,25.3,63,3.4000000000000004
2012,1,2,22,30,126.92,0.08,5.2,0,0,0,8,23.200000000000003,88.69,1013,0,0,0,0,25.200000000000003,62,3.3000000000000003
2012,1,2,23,30,119.26,0.08,5.1000000000000005,0,0,0,8,23,88.77,1013,0,0,0,0,25,62,3.3000000000000003
2012,1,3,0,30,109.41,0.09,5.1000000000000005,0,0,0,7,22.8,88.32000000000001,1013,0,0,0,0,24.900000000000002,62,3.4000000000000004
2012,1,3,1,30,98.17,0.09,5.1000000000000005,0,0,0,7,22.700000000000003,87.9,1014,0,0,0,0,24.8,61,3.5
2012,1,3,2,30,85.85000000000001,0.09,5.1000000000000005,27,163,39,8,22.6,86.4,1015,28,2,7,28,25,60,3.7
2012,1,3,3,30,73.28,0.09,5.1000000000000005,76,538,230,0,22.6,83.60000000000001,1015,76,538,0,230,25.6,59,4
2012,1,3,4,30,60.22,0.09,5.1000000000000005,103,715,458,3,22.6,78.85000000000001,1015,270,191,0,365,26.6,59,4.3
2012,1,3,5,30,46.89,0.09,5,115,821,677,1,22.400000000000002,73.36,1015,115,821,0,677,27.6,60,4.4
2012,1,3,6,30,33.4,0.09,5,129,871,856,1,22.1,69.13,1015,129,871,0,856,28.3,61,4.4
2012,1,3,7,30,19.830000000000002,0.09,4.9,136,904,986,1,21.900000000000002,66.49,1015,136,904,0,986,28.8,64,4.4
2012,1,3,8,30,6.42,0.09,5,139,917,1050,0,21.8,64.5,1014,139,917,0,1050,29.200000000000003,67,4.5
2012,1,3,9,30,7.98,0.09,5,142,911,1044,0,21.700000000000003,63.78,1014,142,911,0,1044,29.3,70,4.5
2012,1,3,10,30,21.45,0.09,5,142,889,970,0,21.700000000000003,63.86,1014,142,889,0,970,29.200000000000003,73,4.7
2012,1,3,11,30,35.02,0.09,5,138,848,833,1,21.5,64.85,1013,138,848,0,833,28.8,75,4.7
2012,1,3,12,30,48.49,0.09,5,115,810,652,1,21.400000000000002,66.61,1013,115,810,0,652,28.200000000000003,76,4.800000000000001
2012,1,3,13,30,61.800000000000004,0.09,5,100,699,431,1,21.400000000000002,70.25,1014,100,699,0,431,27.3,77,4.7
2012,1,3,14,30,74.82000000000001,0.09,4.9,73,496,203,1,21.5,74.43,1015,73,496,0,203,26.400000000000002,77,4.6000000000000005
2012,1,3,15,30,87.29,0.09,4.800000000000001,20,75,23,1,21.6,78.81,1015,20,75,0,23,25.5,78,4.4
2012,1,3,16,30,99.59,0.09,4.7,0,0,0,1,21.6,81.08,1016,0,0,0,0,25.1,78,4.3
2012,1,3,17,30,110.71000000000001,0.09,4.5,0,0,0,0,21.6,81.97,1016,0,0,0,0,24.900000000000002,78,4.1000000000000005
2012,1,3,18,30,120.36,0.09,4.3,0,0,0,0,21.5,82.04,1016,0,0,0,0,24.8,78,3.9000000000000004
2012,1,3,19,30,127.71000000000001,0.09,4.1000000000000005,0,0,0,1,21.400000000000002,81.86,1016,0,0,0,0,24.700000000000003,78,3.7
2012,1,3,20,30,131.68,0.09,4,0,0,0,1,21.3,82.44,1016,0,0,0,0,24.5,79,3.4000000000000004
2012,1,3,21,30,131.44,0.09,3.9000000000000004,0,0,0,1,21.3,83.18,1015,0,0,0,0,24.3,79,3.2
2012,1,3,22,30,127.05,0.09,3.8000000000000003,0,0,0,0,21.200000000000003,83.56,1015,0,0,0,0,24.200000000000003,78,3
