TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 04:00:00
3.4468,0.6279,0.0089,0.619,0.2794,0.6279,0.0089,0.619,0.2794,0.9333,2020-02-19 05:00:00
223.5509,74.326,14.2998,60.0262,69.0686,74.326,14.2998,60.0262,69.0686,1.0,2020-02-19 06:00:00
555.85,273.8175,103.8126,170.0048,251.7494,273.8175,103.8126,170.0048,251.7494,1.0,2020-02-19 07:00:00
847.3214,504.6481,248.3396,256.3085,405.3622,504.6481,248.3396,256.3085,405.3622,1.0,2020-02-19 08:00:00
1078.0941,703.4119,390.512,312.8999,503.8693,690.1302,366.4102,323.7201,473.4477,1.0,2020-02-19 09:00:00
1232.4327,840.2054,494.6125,345.5929,559.2141,840.2054,494.6125,345.5929,559.2141,1.0,2020-02-19 10:00:00
1299.8114,900.6725,542.3096,358.3629,581.6362,875.1578,490.3059,384.8519,526.0891,1.0,2020-02-19 11:00:00
1275.6331,878.6107,525.0101,353.6006,573.6464,855.2172,476.882,378.3351,521.9811,1.0,2020-02-19 12:00:00
1161.5442,776.1304,445.4227,330.7078,533.9417,776.1304,445.4227,330.7078,533.9417,1.0,2020-02-19 13:00:00
965.3217,604.0334,317.9682,286.0652,457.1848,604.0334,317.9682,286.0652,457.1848,1.0,2020-02-19 14:00:00
700.3437,383.8735,169.2725,214.601,331.5106,331.0567,119.7204,211.3363,223.0112,1.0,2020-02-19 15:00:00
384.6757,159.0088,45.8076,113.2012,151.8453,156.3491,43.609,112.7401,146.1314,1.0,2020-02-19 16:00:00
66.1845,16.9381,1.4693,15.4688,13.0639,16.9381,1.4693,15.4688,13.0639,0.8167,2020-02-19 17:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 18:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 19:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 21:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-19 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 04:00:00
3.7084,0.7024,0.0111,0.6913,0.3168,0.7024,0.0111,0.6913,0.3168,0.9333,2020-02-20 05:00:00
225.6674,77.8719,14.7298,63.1421,69.9548,77.8719,14.7298,63.1421,69.9548,1.0,2020-02-20 06:00:00
558.1977,285.5507,110.9249,174.6258,267.577,285.5507,110.9249,174.6258,267.577,1.0,2020-02-20 07:00:00
849.8313,524.205,266.8471,257.3578,434.0832,524.205,266.8471,257.3578,434.0832,1.0,2020-02-20 08:00:00
1080.6862,730.0161,422.4892,307.5269,543.5073,730.0161,422.4892,307.5269,543.5073,1.0,2020-02-20 09:00:00
1235.0211,873.4357,541.0731,332.3627,610.1553,873.4357,541.0731,332.3627,610.1553,1.0,2020-02-20 10:00:00
1302.3108,939.447,601.0413,338.4056,643.1118,939.447,601.0413,338.4056,643.1118,1.0,2020-02-20 11:00:00
1277.9646,920.5892,590.087,330.5023,643.3514,920.5892,590.087,330.5023,643.3514,1.0,2020-02-20 12:00:00
1163.6404,818.7412,509.3812,309.36,609.4092,818.7412,509.3812,309.36,609.4092,1.0,2020-02-20 13:00:00
967.1319,645.0731,373.5584,271.5146,536.2547,645.0731,373.5584,271.5146,536.2547,1.0,2020-02-20 14:00:00
701.8371,418.5046,207.1931,211.3115,405.4909,411.9605,199.4745,212.4861,388.3398,1.0,2020-02-20 15:00:00
385.8435,178.2488,59.2123,119.0365,196.1316,137.1857,23.406,113.7797,80.1045,1.0,2020-02-20 16:00:00
66.7338,19.131,1.8582,17.2728,16.3689,19.131,1.8582,17.2728,16.3689,0.8167,2020-02-20 17:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 18:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 19:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 21:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-20 23:00:00
