TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 04:00:00
21.42,5.4566,0.4472,5.0095,7.0028,5.4566,0.4472,5.0095,7.0028,0.825,2024-11-15 05:00:00
287.4257,127.4674,47.4112,80.0562,200.2768,127.4674,47.4112,80.0562,200.2768,0.75,2024-11-15 06:00:00
601.2775,358.0127,204.7108,153.3019,465.3101,358.0127,204.7108,153.3019,465.3101,1.0,2024-11-15 07:00:00
870.2503,586.9148,396.9915,189.9233,632.1656,586.9148,396.9915,189.9233,632.1656,1.0,2024-11-15 08:00:00
1076.0159,766.7784,556.2587,210.5197,719.0925,766.7784,556.2587,210.5197,719.0925,1.0,2024-11-15 09:00:00
1204.5535,878.093,651.7121,226.3809,753.1711,823.1876,548.412,274.7756,636.4966,1.0,2024-11-15 10:00:00
1247.1067,914.3876,680.8898,233.4978,760.1733,907.2832,667.5118,239.7713,745.1789,1.0,2024-11-15 11:00:00
1200.7805,870.9849,638.6896,232.2952,740.363,870.9849,638.6896,232.2952,740.363,1.0,2024-11-15 12:00:00
1068.7385,751.6857,530.5118,221.174,690.2563,751.6857,530.5118,221.174,690.2563,1.0,2024-11-15 13:00:00
859.9858,568.8513,372.8922,195.9591,601.0336,568.8513,372.8922,195.9591,601.0336,1.0,2024-11-15 14:00:00
588.7546,343.4864,194.026,149.4604,450.7923,343.4864,194.026,149.4604,450.7923,1.0,2024-11-15 15:00:00
273.5325,118.9429,45.6095,73.3334,201.9218,118.9429,45.6095,73.3334,201.9218,1.0,2024-11-15 16:00:00
16.6302,4.0979,0.3541,3.7438,6.2652,4.0979,0.3541,3.7438,6.2652,0.9667,2024-11-15 17:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 18:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 19:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 21:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-15 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 04:00:00
20.7127,5.1057,0.372,4.7336,5.9603,5.1057,0.372,4.7336,5.9603,0.8333,2024-11-16 05:00:00
285.3161,121.3173,40.5288,80.7884,171.7856,121.3173,40.5288,80.7884,171.7856,0.75,2024-11-16 06:00:00
598.9381,346.1921,183.3416,162.8505,417.8848,346.1921,183.3416,162.8505,417.8848,1.0,2024-11-16 07:00:00
867.7899,573.5977,364.8597,208.7381,582.6486,573.5977,364.8597,208.7381,582.6486,1.0,2024-11-16 08:00:00
1073.5514,757.5265,529.0868,228.4397,685.3926,757.5265,529.0868,228.4397,685.3926,1.0,2024-11-16 09:00:00
1202.2028,876.8014,646.114,230.6874,748.3096,876.8014,646.114,230.6874,748.3096,1.0,2024-11-16 10:00:00
1244.98,920.6873,699.7618,220.9254,782.9106,920.6873,699.7618,220.9254,782.9106,1.0,2024-11-16 11:00:00
1198.9728,881.642,671.0865,210.5556,779.4473,881.642,671.0865,210.5556,779.4473,1.0,2024-11-16 12:00:00
1067.3229,763.199,561.8619,201.3371,732.4229,763.199,561.8619,201.3371,732.4229,1.0,2024-11-16 13:00:00
859.0085,580.4146,400.2258,180.1887,646.3762,580.4146,400.2258,180.1887,646.3762,1.0,2024-11-16 14:00:00
588.2319,353.6911,213.5336,140.1575,497.4969,353.6911,213.5336,140.1575,497.4969,1.0,2024-11-16 15:00:00
273.4491,124.0185,52.1314,71.8871,231.6115,124.0185,52.1314,71.8871,231.6115,1.0,2024-11-16 16:00:00
16.6848,4.2547,0.4198,3.8349,7.4657,4.2547,0.4198,3.8349,7.4657,0.9667,2024-11-16 17:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 18:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 19:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 21:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-16 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 04:00:00
20.0575,5.1504,0.5022,4.6483,8.1998,5.1504,0.5022,4.6483,8.1998,0.8333,2024-11-17 05:00:00
283.1517,125.6681,48.3317,77.3364,209.3215,125.6681,48.3317,77.3364,209.3215,0.75,2024-11-17 06:00:00
596.5538,350.6035,196.522,154.0814,451.348,345.6142,189.57,156.0442,438.0445,1.0,2024-11-17 07:00:00
865.2985,572.6879,370.8219,201.866,594.6672,353.0048,69.5813,283.4235,117.0968,1.0,2024-11-17 08:00:00
1071.0736,749.6373,520.3697,229.2676,676.1989,542.8976,176.2376,366.6601,227.0787,1.0,2024-11-17 09:00:00
1199.8583,861.5443,619.2163,242.328,718.9619,525.0509,95.4198,429.6311,111.0415,1.0,2024-11-17 10:00:00
1242.8798,898.6235,654.1548,244.4687,733.4212,578.0392,125.5582,452.481,140.7231,1.0,2024-11-17 11:00:00
1197.2113,857.518,617.8752,239.6428,718.9876,531.9155,109.3675,422.5479,126.3556,1.0,2024-11-17 12:00:00
1065.9712,741.974,515.1544,226.8195,672.6036,564.9672,244.0184,320.9488,328.5119,1.0,2024-11-17 13:00:00
858.1097,562.9027,363.199,199.7037,587.2148,398.3713,122.0908,276.2804,192.9804,1.0,2024-11-17 14:00:00
587.798,340.4807,188.8261,151.6546,439.6752,285.5605,124.0323,161.5282,271.0155,1.0,2024-11-17 15:00:00
273.4599,118.1123,44.0513,74.0611,195.0999,115.5696,41.468,74.1016,186.6044,1.0,2024-11-17 16:00:00
16.768,4.12,0.3388,3.7812,5.9582,4.12,0.3388,3.7812,5.9582,0.9667,2024-11-17 17:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 18:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 19:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 21:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-17 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-18 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-18 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-18 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-18 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-18 04:00:00
19.383,4.8245,0.4087,4.4159,6.7247,4.8245,0.4087,4.4159,6.7247,0.8333,2024-11-18 05:00:00
280.9336,120.9013,43.1937,77.7075,187.1528,120.9013,43.1937,77.7075,187.1528,0.75,2024-11-18 06:00:00
594.1262,344.2157,186.2104,158.0053,428.82,344.2157,186.2104,158.0053,428.82,1.0,2024-11-18 07:00:00
862.7784,568.5696,362.0216,206.548,582.1926,538.7245,316.3898,222.3347,505.8916,1.0,2024-11-18 08:00:00
1068.5847,750.2574,519.5206,230.7368,676.7345,750.2574,519.5206,230.7368,676.7345,1.0,2024-11-18 09:00:00
1197.5226,868.9611,631.4016,237.5595,734.7509,868.9611,631.4016,237.5595,734.7509,1.0,2024-11-18 10:00:00
1240.8086,913.0972,680.1601,232.9371,764.1625,913.0972,680.1601,232.9371,764.1625,1.0,2024-11-18 11:00:00
1195.4983,876.145,652.2812,223.8638,760.4732,876.145,652.2812,223.8638,760.4732,1.0,2024-11-18 12:00:00
1064.6854,761.307,551.1932,210.1138,720.9786,761.307,551.1932,210.1138,720.9786,1.0,2024-11-18 13:00:00
857.291,581.2849,396.8951,184.3898,642.9866,581.2849,396.8951,184.3898,642.9866,1.0,2024-11-18 14:00:00
