# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-11-15T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 7.3800
# Longitude (positive East, ISO 19115): 3.9700
# Altitude (m): 219.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-11-15T00:00:00.0/2024-11-15T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-11-15T01:00:00.0/2024-11-15T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-11-15T02:00:00.0/2024-11-15T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-11-15T03:00:00.0/2024-11-15T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-11-15T04:00:00.0/2024-11-15T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-11-15T05:00:00.0/2024-11-15T06:00:00.0;21.4200;5.4566;0.4472;5.0095;7.0028;5.4566;0.4472;5.0095;7.0028;0.8250
2024-11-15T06:00:00.0/2024-11-15T07:00:00.0;287.4257;127.4674;47.4112;80.0562;200.2768;127.4674;47.4112;80.0562;200.2768;0.7500
2024-11-15T07:00:00.0/2024-11-15T08:00:00.0;601.2775;358.0127;204.7108;153.3019;465.3101;358.0127;204.7108;153.3019;465.3101;1.0000
2024-11-15T08:00:00.0/2024-11-15T09:00:00.0;870.2503;586.9148;396.9915;189.9233;632.1656;586.9148;396.9915;189.9233;632.1656;1.0000
2024-11-15T09:00:00.0/2024-11-15T10:00:00.0;1076.0159;766.7784;556.2587;210.5197;719.0925;766.7784;556.2587;210.5197;719.0925;1.0000
2024-11-15T10:00:00.0/2024-11-15T11:00:00.0;1204.5535;878.0930;651.7121;226.3809;753.1711;823.1876;548.4120;274.7756;636.4966;1.0000
2024-11-15T11:00:00.0/2024-11-15T12:00:00.0;1247.1067;914.3876;680.8898;233.4978;760.1733;907.2832;667.5118;239.7713;745.1789;1.0000
2024-11-15T12:00:00.0/2024-11-15T13:00:00.0;1200.7805;870.9849;638.6896;232.2952;740.3630;870.9849;638.6896;232.2952;740.3630;1.0000
2024-11-15T13:00:00.0/2024-11-15T14:00:00.0;1068.7385;751.6857;530.5118;221.1740;690.2563;751.6857;530.5118;221.1740;690.2563;1.0000
2024-11-15T14:00:00.0/2024-11-15T15:00:00.0;859.9858;568.8513;372.8922;195.9591;601.0336;568.8513;372.8922;195.9591;601.0336;1.0000
