TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9868.5928,7349.4624,6138.0986,1211.364,9045.3301,7091.7261,5695.5347,1396.1912,7964.9839,0.9823,2024-01-27
9885.5117,7353.5063,6143.5854,1209.9208,9112.4141,7306.3013,6049.5732,1256.7283,8955.1475,0.9819,2024-01-28
9902.4814,7500.8989,6514.0327,986.8661,9678.1787,6914.9321,5361.7812,1553.1508,7836.7573,0.9819,2024-01-29
9919.5234,7326.2109,6104.5425,1221.6686,9032.7373,7036.8804,5477.0278,1559.8523,8018.2725,0.9819,2024-01-30
9936.6182,7327.2886,6068.1895,1259.0995,8827.0361,6555.6577,3982.7905,2572.8672,5702.0649,0.9819,2024-01-31
9953.8047,7380.1597,6141.5293,1238.6307,8927.7295,6229.3174,2987.8274,3241.4897,4274.7559,0.9816,2024-02-01
9970.9648,7403.9995,6263.2651,1140.7345,9209.4893,7158.2417,5644.5044,1513.7372,7908.2139,0.9816,2024-02-02
9988.1172,7439.0615,6312.438,1126.6233,9203.3652,6065.4214,3023.7312,3041.6902,3813.2346,0.9868,2024-02-03
10005.2422,7484.3623,6281.3384,1203.0238,9177.291,7289.2095,5931.562,1357.6472,8265.7305,0.9868,2024-02-04
10022.3193,7620.3081,6639.3408,980.9674,9760.2129,7034.7773,5364.9141,1669.8636,6885.3198,0.9868,2024-02-05
10039.3281,7331.2783,5850.2168,1481.0614,8340.5088,3204.1177,501.9839,2702.1338,623.1396,0.9868,2024-02-06
10056.3086,7419.2012,6071.1553,1348.0463,8733.4385,7104.3105,5428.8735,1675.4371,7711.9468,0.9865,2024-02-07
10073.1348,7555.1909,6612.4155,942.7756,9695.3281,7401.4028,6296.4819,1104.9208,9029.7441,0.9865,2024-02-08
10089.832,7604.1909,6719.7241,884.4669,9867.9395,7604.1909,6719.7241,884.4669,9867.9395,0.9865,2024-02-09
10106.3818,7626.8999,6441.6348,1185.265,9340.1416,7622.978,6435.8115,1187.1664,9282.0996,0.9865,2024-02-10
10122.7637,7669.2803,6509.1626,1160.1173,9417.6211,7669.2803,6509.1626,1160.1173,9417.6211,0.9865,2024-02-11
10138.959,7636.0127,6343.6982,1292.3145,9112.6992,7636.0127,6343.6982,1292.3145,9112.6992,0.9865,2024-02-12
10154.9492,7676.833,6457.0913,1219.7415,9268.9902,7598.9404,6236.2349,1362.7053,9030.085,0.9865,2024-02-13
10170.7158,7642.5791,6377.7671,1264.8121,9110.8633,7408.9287,5812.4707,1596.4581,8478.1914,0.9865,2024-02-14
10186.2393,7730.3218,6690.8008,1039.5209,9678.9893,7730.3218,6690.8008,1039.5209,9678.9893,0.9865,2024-02-15
10201.5039,7654.1426,6477.4653,1176.6771,9234.0928,7632.5322,6415.7827,1216.7494,9162.2578,0.9865,2024-02-16
10216.4922,7789.5962,6790.333,999.2633,9748.0928,7789.5962,6790.333,999.2633,9748.0928,0.9865,2024-02-17
10231.1855,7732.749,6667.2241,1065.5245,9617.4521,7356.501,5711.7344,1644.7667,8592.2354,0.9865,2024-02-18
10245.6328,7674.7939,6443.459,1231.3348,9132.2207,7259.9917,5803.0156,1456.976,7729.4155,0.9861,2024-02-19
10259.707,7712.6719,6566.7725,1145.8995,9338.6973,7642.4072,6438.8506,1203.5564,9035.7686,0.9861,2024-02-20
10273.4414,7871.7031,6843.7505,1027.953,9824.3857,7869.3018,6843.4204,1025.8815,9823.3418,0.9861,2024-02-21
10286.8203,7828.5381,6761.6245,1066.9137,9612.125,7675.1987,6452.5796,1222.6191,8991.2578,0.9861,2024-02-22
10299.8301,7708.7314,6470.6592,1238.0723,9106.0283,6948.9292,4778.8105,2170.1189,7071.3853,0.9809,2024-02-23
10312.5186,7777.3486,6548.4136,1228.9352,9258.5371,7639.624,6240.0156,1399.6083,8451.0547,0.9806,2024-02-24
10324.7695,7799.2939,6598.2251,1201.0692,9290.2227,7288.5947,5395.2817,1893.3125,7097.854,0.9806,2024-02-25
10336.6113,7680.543,6290.5586,1389.9841,8791.7363,6561.4834,4311.6274,2249.8557,5742.1162,0.9858,2024-02-26
10348.0303,7704.6641,6350.1553,1354.5089,8850.8545,7387.0708,5586.9756,1800.0952,7497.4438,0.9858,2024-02-27
10359.0762,7896.1162,6792.3467,1103.7692,9589.5137,7760.252,6447.6519,1312.5997,8773.8701,0.9854,2024-02-28
10369.6426,7901.0117,6836.0854,1064.9263,9654.6963,7742.4419,6526.2954,1216.1467,9080.501,0.9854,2024-02-29
10379.7539,8020.146,7077.3164,942.8294,10058.0918,7850.0278,6622.4331,1227.595,9364.0947,0.9854,2024-03-01
10389.3584,8009.9609,7150.8086,859.1525,10213.7168,8009.9609,7150.8086,859.1525,10213.7168,0.9858,2024-03-02
10398.6123,8018.2676,7126.1455,892.1222,10066.8896,8018.2676,7126.1455,892.1222,10066.8896,0.9854,2024-03-03
10407.3389,7833.3682,6684.5098,1148.8582,9314.667,7722.1396,6484.8369,1237.3029,8936.959,0.9854,2024-03-04
10415.5732,7823.0425,6555.7563,1267.2864,9091.1836,7186.0913,5113.2397,2072.8513,7263.2466,0.9854,2024-03-05
10423.3701,7782.2505,6487.2139,1295.0364,8959.7832,7441.0029,5699.2646,1741.7382,7932.6436,0.9851,2024-03-06
10430.626,7735.4673,6362.8916,1372.576,8826.7617,6805.6831,4577.2646,2228.4185,5943.6738,0.9851,2024-03-07
10437.3652,7950.8281,6964.5503,986.2778,9790.3604,7950.8281,6964.5503,986.2778,9790.3604,0.9851,2024-03-08
10443.6064,7960.188,6782.749,1177.4391,9445.959,7960.188,6782.749,1177.4391,9445.959,0.9851,2024-03-09
10449.3467,8056.4287,7059.6211,996.8073,9936.501,8056.4287,7059.6211,996.8073,9936.501,0.9851,2024-03-10
10454.5537,8070.7344,7175.4927,895.2416,10100.6143,8039.4248,7095.9541,943.4708,9987.0107,0.9851,2024-03-11
10459.2891,7945.6016,6987.2207,958.3804,9779.6875,7945.6016,6987.2207,958.3804,9779.6875,0.9847,2024-03-12
10463.4531,7869.8516,6852.063,1017.7886,9588.3623,6934.2583,4958.1074,1976.1506,7060.2681,0.9847,2024-03-13
10467.0244,7987.4141,6850.8101,1136.6039,9531.5293,7987.4141,6850.8101,1136.6039,9531.5293,0.9851,2024-03-14
10470.1895,8084.6328,7043.7373,1040.8956,9824.4854,8039.3306,7013.751,1025.5795,9594.3164,0.9847,2024-03-15
10472.7686,8075.0259,7000.4546,1074.5717,9802.2129,8075.0259,7000.4546,1074.5717,9802.2129,0.9847,2024-03-16
10474.7988,7907.5527,6583.2021,1324.3505,9044.7246,7669.1797,5877.644,1791.5358,8298.293,0.9899,2024-03-17
10476.3633,7864.3735,6430.4829,1433.8906,8803.082,7072.228,5435.2861,1636.942,6963.6953,0.9896,2024-03-18
10477.2822,7892.6094,6521.1118,1371.4976,8931.5059,7028.4644,4891.6406,2136.8237,6108.2529,0.9899,2024-03-19
10477.7803,7967.6338,6692.1724,1275.4614,9206.5518,7850.3853,6449.8154,1400.5701,8741.7793,0.9896,2024-03-20
10477.708,8037.8828,7020.7944,1017.0883,9801.3115,8037.8828,7020.7944,1017.0883,9801.3115,0.9896,2024-03-21
10477.0889,7862.7949,6642.98,1219.8152,9102.3223,7426.9268,5636.1138,1790.8131,7723.6655,0.9896,2024-03-22
10476.002,7889.7583,6864.8628,1024.8951,9507.3555,7664.4399,6292.2271,1372.213,8546.9102,0.9892,2024-03-23
10474.2969,7838.0308,6609.4463,1228.5846,9095.5635,7540.5459,6011.2183,1529.3276,8013.9126,0.9896,2024-03-24
10472.1699,7726.7852,6158.355,1568.4299,8248.4795,7664.835,6097.9028,1566.9319,8030.0015,0.9892,2024-03-25
10469.4941,7791.3311,6357.3022,1434.0288,8580.3389,7422.1445,5939.8091,1482.3351,7486.1611,0.9892,2024-03-26
10466.29,7825.4302,6581.3623,1244.0679,9003.6123,7713.6074,6361.1108,1352.4962,8616.0137,0.9892,2024-03-27
10462.6328,7758.8569,6482.2407,1276.6163,8904.917,5975.6802,3062.1077,2913.5725,4328.7676,0.9889,2024-03-28
10458.3955,7714.4058,6211.9937,1502.4122,8446.4658,7452.3101,5777.6963,1674.6138,7550.563,0.9892,2024-03-29
10453.6992,7743.7139,6145.564,1598.15,8253.8398,7300.8198,5174.98,2125.8396,6865.1377,0.9892,2024-03-30
10448.584,7636.8828,6021.6196,1615.2629,8069.8574,6187.3848,2415.4885,3771.8962,3375.3557,0.9889,2024-03-31
10442.9238,7670.2476,6311.3994,1358.8485,8634.4209,6264.4595,3584.9309,2679.5286,5186.9922,0.9889,2024-04-01
10436.79,7636.1982,6308.4009,1327.7974,8737.8994,6016.1685,3824.5925,2191.5759,4935.499,0.9889,2024-04-02
