Temperature (C),Albedo,Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Clearsky GTI (W/m2),DHI (W/m2),DNI (W/m2),GHI (W/m2),GTI (W/m2),Date,Period
23,0.15,0,0,0,0,0,0,0,0,2024-01-27 01:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-27 02:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-27 03:00:00+00:00,PT60M
24,0.15,16,118,30,47,16,118,30,47,2024-01-27 04:00:00+00:00,PT60M
25,0.15,62,588,229,305,105,357,197,244,2024-01-27 05:00:00+00:00,PT60M
26,0.15,79,792,475,562,183,448,404,457,2024-01-27 06:00:00+00:00,PT60M
28,0.15,85,888,693,780,106,832,680,762,2024-01-27 07:00:00+00:00,PT60M
30,0.15,86,939,859,942,86,939,859,942,2024-01-27 08:00:00+00:00,PT60M
32,0.15,88,960,956,1036,88,960,956,1036,2024-01-27 09:00:00+00:00,PT60M
33,0.15,83,969,978,1058,83,969,978,1058,2024-01-27 10:00:00+00:00,PT60M
34,0.15,81,958,923,1004,111,905,905,983,2024-01-27 11:00:00+00:00,PT60M
34,0.15,79,926,795,879,90,901,788,871,2024-01-27 12:00:00+00:00,PT60M
34,0.15,83,849,604,691,228,440,504,551,2024-01-27 13:00:00+00:00,PT60M
34,0.15,71,732,374,459,198,43,215,215,2024-01-27 14:00:00+00:00,PT60M
33,0.15,44,451,134,194,76,116,102,117,2024-01-27 15:00:00+00:00,PT60M
33,0.15,2,8,3,4,2,0,2,1,2024-01-27 16:00:00+00:00,PT60M
32,0.15,0,0,0,0,0,0,0,0,2024-01-27 17:00:00+00:00,PT60M
31,0.15,0,0,0,0,0,0,0,0,2024-01-27 18:00:00+00:00,PT60M
29,0.15,0,0,0,0,0,0,0,0,2024-01-27 19:00:00+00:00,PT60M
28,0.15,0,0,0,0,0,0,0,0,2024-01-27 20:00:00+00:00,PT60M
26,0.15,0,0,0,0,0,0,0,0,2024-01-27 21:00:00+00:00,PT60M
25,0.15,0,0,0,0,0,0,0,0,2024-01-27 22:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-27 23:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-28 00:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-28 01:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-28 02:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-28 03:00:00+00:00,PT60M
23,0.15,15,138,31,50,15,138,31,50,2024-01-28 04:00:00+00:00,PT60M
25,0.15,58,616,233,310,58,616,233,310,2024-01-28 05:00:00+00:00,PT60M
27,0.15,76,806,479,566,76,806,479,566,2024-01-28 06:00:00+00:00,PT60M
29,0.15,74,914,701,787,74,914,701,787,2024-01-28 07:00:00+00:00,PT60M
31,0.15,78,958,867,950,78,958,867,950,2024-01-28 08:00:00+00:00,PT60M
33,0.15,81,976,966,1045,81,976,966,1045,2024-01-28 09:00:00+00:00,PT60M
34,0.15,86,975,989,1067,90,969,987,1065,2024-01-28 10:00:00+00:00,PT60M
35,0.15,86,964,935,1015,103,933,925,1003,2024-01-28 11:00:00+00:00,PT60M
35,0.15,82,934,806,890,118,862,785,864,2024-01-28 12:00:00+00:00,PT60M
35,0.15,79,871,615,702,187,580,544,605,2024-01-28 13:00:00+00:00,PT60M
35,0.15,67,760,382,469,68,756,382,467,2024-01-28 14:00:00+00:00,PT60M
34,0.15,42,486,139,202,46,443,136,194,2024-01-28 15:00:00+00:00,PT60M
33,0.15,2,11,3,5,2,0,2,2,2024-01-28 16:00:00+00:00,PT60M
32,0.15,0,0,0,0,0,0,0,0,2024-01-28 17:00:00+00:00,PT60M
30,0.15,0,0,0,0,0,0,0,0,2024-01-28 18:00:00+00:00,PT60M
28,0.15,0,0,0,0,0,0,0,0,2024-01-28 19:00:00+00:00,PT60M
27,0.15,0,0,0,0,0,0,0,0,2024-01-28 20:00:00+00:00,PT60M
26,0.15,0,0,0,0,0,0,0,0,2024-01-28 21:00:00+00:00,PT60M
25,0.15,0,0,0,0,0,0,0,0,2024-01-28 22:00:00+00:00,PT60M
25,0.15,0,0,0,0,0,0,0,0,2024-01-28 23:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-29 00:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-29 01:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-29 02:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-29 03:00:00+00:00,PT60M
24,0.15,15,144,31,51,16,120,30,47,2024-01-29 04:00:00+00:00,PT60M
25,0.15,55,642,237,316,55,642,237,316,2024-01-29 05:00:00+00:00,PT60M
27,0.15,72,827,485,573,72,827,485,573,2024-01-29 06:00:00+00:00,PT60M
29,0.15,78,917,707,793,78,917,707,793,2024-01-29 07:00:00+00:00,PT60M
31,0.15,83,960,875,957,83,960,875,957,2024-01-29 08:00:00+00:00,PT60M
33,0.15,86,979,975,1053,86,979,975,1053,2024-01-29 09:00:00+00:00,PT60M
34,0.15,83,984,995,1072,94,965,989,1064,2024-01-29 10:00:00+00:00,PT60M
35,0.15,84,966,936,1015,259,639,825,879,2024-01-29 11:00:00+00:00,PT60M
36,0.15,83,932,807,888,324,406,641,677,2024-01-29 12:00:00+00:00,PT60M
36,0.15,88,850,613,697,323,165,426,437,2024-01-29 13:00:00+00:00,PT60M
36,0.15,75,730,379,462,177,244,288,314,2024-01-29 14:00:00+00:00,PT60M
35,0.15,46,448,137,195,52,9,53,52,2024-01-29 15:00:00+00:00,PT60M
34,0.15,2,9,3,4,1,0,1,1,2024-01-29 16:00:00+00:00,PT60M
33,0.15,0,0,0,0,0,0,0,0,2024-01-29 17:00:00+00:00,PT60M
32,0.15,0,0,0,0,0,0,0,0,2024-01-29 18:00:00+00:00,PT60M
30,0.15,0,0,0,0,0,0,0,0,2024-01-29 19:00:00+00:00,PT60M
28,0.15,0,0,0,0,0,0,0,0,2024-01-29 20:00:00+00:00,PT60M
26,0.15,0,0,0,0,0,0,0,0,2024-01-29 21:00:00+00:00,PT60M
25,0.15,0,0,0,0,0,0,0,0,2024-01-29 22:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-29 23:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-30 00:00:00+00:00,PT60M
23,0.15,0,0,0,0,0,0,0,0,2024-01-30 01:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-30 02:00:00+00:00,PT60M
24,0.15,0,0,0,0,0,0,0,0,2024-01-30 03:00:00+00:00,PT60M
24,0.15,17,103,29,43,17,103,29,43,2024-01-30 04:00:00+00:00,PT60M
25,0.15,69,553,227,296,69,553,227,296,2024-01-30 05:00:00+00:00,PT60M
27,0.15,89,769,475,556,89,769,475,556,2024-01-30 06:00:00+00:00,PT60M
29,0.15,87,891,699,781,87,891,699,781,2024-01-30 07:00:00+00:00,PT60M
31,0.15,91,939,867,945,91,939,867,945,2024-01-30 08:00:00+00:00,PT60M
32,0.15,99,954,966,1040,99,954,966,1040,2024-01-30 09:00:00+00:00,PT60M
34,0.15,100,957,988,1062,100,957,988,1062,2024-01-30 10:00:00+00:00,PT60M
34,0.15,98,944,933,1008,190,772,875,938,2024-01-30 11:00:00+00:00,PT60M
35,0.15,94,912,804,883,344,354,624,653,2024-01-30 12:00:00+00:00,PT60M
35,0.15,89,847,614,695,313,208,441,458,2024-01-30 13:00:00+00:00,PT60M
35,0.15,76,728,380,461,194,234,289,315,2024-01-30 14:00:00+00:00,PT60M
34,0.15,48,433,136,192,86,56,99,105,2024-01-30 15:00:00+00:00,PT60M
33,0.15,3,8,3,4,1,0,1,1,2024-01-30 16:00:00+00:00,PT60M
33,0.15,0,0,0,0,0,0,0,0,2024-01-30 17:00:00+00:00,PT60M
31,0.15,0,0,0,0,0,0,0,0,2024-01-30 18:00:00+00:00,PT60M
