# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-01-27T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 3.1072
# Longitude (positive East, ISO 19115): 43.6372
# Altitude (m): 454.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-01-27T00:00:00.0/2024-01-28T00:00:00.0;9868.5928;7349.4624;6138.0986;1211.3640;9045.3301;7091.7261;5695.5347;1396.1912;7964.9839;0.9823
2024-01-28T00:00:00.0/2024-01-29T00:00:00.0;9885.5117;7353.5063;6143.5854;1209.9208;9112.4141;7306.3013;6049.5732;1256.7283;8955.1475;0.9819
2024-01-29T00:00:00.0/2024-01-30T00:00:00.0;9902.4814;7500.8989;6514.0327;986.8661;9678.1787;6914.9321;5361.7812;1553.1508;7836.7573;0.9819
2024-01-30T00:00:00.0/2024-01-31T00:00:00.0;9919.5234;7326.2109;6104.5425;1221.6686;9032.7373;7036.8804;5477.0278;1559.8523;8018.2725;0.9819
2024-01-31T00:00:00.0/2024-02-01T00:00:00.0;9936.6182;7327.2886;6068.1895;1259.0995;8827.0361;6555.6577;3982.7905;2572.8672;5702.0649;0.9819
2024-02-01T00:00:00.0/2024-02-02T00:00:00.0;9953.8047;7380.1597;6141.5293;1238.6307;8927.7295;6229.3174;2987.8274;3241.4897;4274.7559;0.9816
2024-02-02T00:00:00.0/2024-02-03T00:00:00.0;9970.9648;7403.9995;6263.2651;1140.7345;9209.4893;7158.2417;5644.5044;1513.7372;7908.2139;0.9816
2024-02-03T00:00:00.0/2024-02-04T00:00:00.0;9988.1172;7439.0615;6312.4380;1126.6233;9203.3652;6065.4214;3023.7312;3041.6902;3813.2346;0.9868
2024-02-04T00:00:00.0/2024-02-05T00:00:00.0;10005.2422;7484.3623;6281.3384;1203.0238;9177.2910;7289.2095;5931.5620;1357.6472;8265.7305;0.9868
2024-02-05T00:00:00.0/2024-02-06T00:00:00.0;10022.3193;7620.3081;6639.3408;980.9674;9760.2129;7034.7773;5364.9141;1669.8636;6885.3198;0.9868
2024-02-06T00:00:00.0/2024-02-07T00:00:00.0;10039.3281;7331.2783;5850.2168;1481.0614;8340.5088;3204.1177;501.9839;2702.1338;623.1396;0.9868
2024-02-07T00:00:00.0/2024-02-08T00:00:00.0;10056.3086;7419.2012;6071.1553;1348.0463;8733.4385;7104.3105;5428.8735;1675.4371;7711.9468;0.9865
2024-02-08T00:00:00.0/2024-02-09T00:00:00.0;10073.1348;7555.1909;6612.4155;942.7756;9695.3281;7401.4028;6296.4819;1104.9208;9029.7441;0.9865
2024-02-09T00:00:00.0/2024-02-10T00:00:00.0;10089.8320;7604.1909;6719.7241;884.4669;9867.9395;7604.1909;6719.7241;884.4669;9867.9395;0.9865
2024-02-10T00:00:00.0/2024-02-11T00:00:00.0;10106.3818;7626.8999;6441.6348;1185.2650;9340.1416;7622.9780;6435.8115;1187.1664;9282.0996;0.9865
2024-02-11T00:00:00.0/2024-02-12T00:00:00.0;10122.7637;7669.2803;6509.1626;1160.1173;9417.6211;7669.2803;6509.1626;1160.1173;9417.6211;0.9865
2024-02-12T00:00:00.0/2024-02-13T00:00:00.0;10138.9590;7636.0127;6343.6982;1292.3145;9112.6992;7636.0127;6343.6982;1292.3145;9112.6992;0.9865
2024-02-13T00:00:00.0/2024-02-14T00:00:00.0;10154.9492;7676.8330;6457.0913;1219.7415;9268.9902;7598.9404;6236.2349;1362.7053;9030.0850;0.9865
2024-02-14T00:00:00.0/2024-02-15T00:00:00.0;10170.7158;7642.5791;6377.7671;1264.8121;9110.8633;7408.9287;5812.4707;1596.4581;8478.1914;0.9865
2024-02-15T00:00:00.0/2024-02-16T00:00:00.0;10186.2393;7730.3218;6690.8008;1039.5209;9678.9893;7730.3218;6690.8008;1039.5209;9678.9893;0.9865
2024-02-16T00:00:00.0/2024-02-17T00:00:00.0;10201.5039;7654.1426;6477.4653;1176.6771;9234.0928;7632.5322;6415.7827;1216.7494;9162.2578;0.9865
2024-02-17T00:00:00.0/2024-02-18T00:00:00.0;10216.4922;7789.5962;6790.3330;999.2633;9748.0928;7789.5962;6790.3330;999.2633;9748.0928;0.9865
2024-02-18T00:00:00.0/2024-02-19T00:00:00.0;10231.1855;7732.7490;6667.2241;1065.5245;9617.4521;7356.5010;5711.7344;1644.7667;8592.2354;0.9865
2024-02-19T00:00:00.0/2024-02-20T00:00:00.0;10245.6328;7674.7939;6443.4590;1231.3348;9132.2207;7259.9917;5803.0156;1456.9760;7729.4155;0.9861
2024-02-20T00:00:00.0/2024-02-21T00:00:00.0;10259.7070;7712.6719;6566.7725;1145.8995;9338.6973;7642.4072;6438.8506;1203.5564;9035.7686;0.9861
2024-02-21T00:00:00.0/2024-02-22T00:00:00.0;10273.4414;7871.7031;6843.7505;1027.9530;9824.3857;7869.3018;6843.4204;1025.8815;9823.3418;0.9861
2024-02-22T00:00:00.0/2024-02-23T00:00:00.0;10286.8203;7828.5381;6761.6245;1066.9137;9612.1250;7675.1987;6452.5796;1222.6191;8991.2578;0.9861
2024-02-23T00:00:00.0/2024-02-24T00:00:00.0;10299.8301;7708.7314;6470.6592;1238.0723;9106.0283;6948.9292;4778.8105;2170.1189;7071.3853;0.9809
2024-02-24T00:00:00.0/2024-02-25T00:00:00.0;10312.5186;7777.3486;6548.4136;1228.9352;9258.5371;7639.6240;6240.0156;1399.6083;8451.0547;0.9806
2024-02-25T00:00:00.0/2024-02-26T00:00:00.0;10324.7695;7799.2939;6598.2251;1201.0692;9290.2227;7288.5947;5395.2817;1893.3125;7097.8540;0.9806
2024-02-26T00:00:00.0/2024-02-27T00:00:00.0;10336.6113;7680.5430;6290.5586;1389.9841;8791.7363;6561.4834;4311.6274;2249.8557;5742.1162;0.9858
2024-02-27T00:00:00.0/2024-02-28T00:00:00.0;10348.0303;7704.6641;6350.1553;1354.5089;8850.8545;7387.0708;5586.9756;1800.0952;7497.4438;0.9858
