datetime,ghi,estimator,location
2023-09-01,7064.093,camsrad,egypt_location1
2023-09-02,7397.833,camsrad,egypt_location1
2023-09-03,7129.047,camsrad,egypt_location1
2023-09-04,7328.903,camsrad,egypt_location1
2023-09-05,7287.53,camsrad,egypt_location1
2023-09-06,7202.944,camsrad,egypt_location1
2023-09-07,7034.856,camsrad,egypt_location1
2023-09-08,6817.514,camsrad,egypt_location1
2023-09-09,6931.477,camsrad,egypt_location1
2023-09-10,6967.114,camsrad,egypt_location1
2023-09-11,6599.976,camsrad,egypt_location1
2023-09-12,4685.399,camsrad,egypt_location1
2023-09-13,4086.921,camsrad,egypt_location1
2023-09-14,7070.368,camsrad,egypt_location1
2023-09-15,7171.966,camsrad,egypt_location1
2023-09-16,7028.925,camsrad,egypt_location1
2023-09-17,7082.129,camsrad,egypt_location1
2023-09-18,6917.363,camsrad,egypt_location1
2023-09-19,6756.552,camsrad,egypt_location1
2023-09-20,6614.383,camsrad,egypt_location1
2023-09-21,6746.178,camsrad,egypt_location1
2023-09-22,6775.261,camsrad,egypt_location1
2023-09-23,6707.728,camsrad,egypt_location1
2023-09-24,6752.858,camsrad,egypt_location1
2023-09-25,6770.996,camsrad,egypt_location1
2023-09-26,6714.275,camsrad,egypt_location1
2023-09-27,6672.106,camsrad,egypt_location1
2023-09-28,6294.708,camsrad,egypt_location1
2023-09-29,6386.609,camsrad,egypt_location1
2023-09-30,5445.874,camsrad,egypt_location1
2023-10-01,3081.807,camsrad,egypt_location1
2023-10-02,2378.789,camsrad,egypt_location1
2023-10-03,2202.656,camsrad,egypt_location1
2023-10-04,4386.468,camsrad,egypt_location1
2023-10-05,4108.414,camsrad,egypt_location1
2023-10-06,5664.364,camsrad,egypt_location1
2023-10-07,4917.867,camsrad,egypt_location1
2023-10-08,5656.323,camsrad,egypt_location1
2023-10-09,3679.691,camsrad,egypt_location1
2023-10-10,5853.668,camsrad,egypt_location1
2023-10-11,5348.738,camsrad,egypt_location1
2023-10-12,5750.724,camsrad,egypt_location1
2023-10-13,5683.544,camsrad,egypt_location1
2023-10-14,4398.007,camsrad,egypt_location1
2023-10-15,4462.08,camsrad,egypt_location1
2023-10-16,5415.6,camsrad,egypt_location1
2023-10-17,4734.595,camsrad,egypt_location1
2023-10-18,4967.038,camsrad,egypt_location1
2023-10-19,5401.437,camsrad,egypt_location1
2023-10-20,5574.542,camsrad,egypt_location1
2023-10-21,5199.556,camsrad,egypt_location1
2023-10-22,5312.611,camsrad,egypt_location1
2023-10-23,5067.373,camsrad,egypt_location1
2023-10-24,4929.585,camsrad,egypt_location1
2023-10-25,5168.28,camsrad,egypt_location1
2023-10-26,5159.783,camsrad,egypt_location1
2023-10-27,1956.743,camsrad,egypt_location1
2023-10-28,4515.794,camsrad,egypt_location1
2023-10-29,4597.681,camsrad,egypt_location1
2023-10-30,4446.344,camsrad,egypt_location1
2023-10-31,4040.927,camsrad,egypt_location1
2023-11-01,4646.951,camsrad,egypt_location1
2023-11-02,4518.628,camsrad,egypt_location1
2023-11-03,4708.803,camsrad,egypt_location1
2023-11-04,4777.936,camsrad,egypt_location1
2023-11-05,4708.841,camsrad,egypt_location1
