datetime,ghi,estimator,location
2023-09-02,6944.0,solcast,egypt_location1
2023-09-03,6925.0,solcast,egypt_location1
2023-09-04,6831.0,solcast,egypt_location1
2023-09-05,7071.0,solcast,egypt_location1
2023-09-06,6983.0,solcast,egypt_location1
2023-09-07,6847.0,solcast,egypt_location1
2023-09-08,6320.0,solcast,egypt_location1
2023-09-09,6723.0,solcast,egypt_location1
2023-09-10,6724.0,solcast,egypt_location1
2023-09-11,6284.0,solcast,egypt_location1
2023-09-12,4432.0,solcast,egypt_location1
2023-09-13,5227.0,solcast,egypt_location1
2023-09-14,6550.0,solcast,egypt_location1
2023-09-15,6892.0,solcast,egypt_location1
2023-09-16,6760.0,solcast,egypt_location1
2023-09-17,6745.0,solcast,egypt_location1
2023-09-18,6556.0,solcast,egypt_location1
2023-09-19,6474.0,solcast,egypt_location1
2023-09-20,6423.0,solcast,egypt_location1
2023-09-21,6393.0,solcast,egypt_location1
2023-09-22,6368.0,solcast,egypt_location1
2023-09-23,6273.0,solcast,egypt_location1
2023-09-24,6371.0,solcast,egypt_location1
2023-09-25,6440.0,solcast,egypt_location1
2023-09-26,6311.0,solcast,egypt_location1
2023-09-27,6324.0,solcast,egypt_location1
2023-09-28,5971.0,solcast,egypt_location1
2023-09-29,5908.0,solcast,egypt_location1
2023-09-30,5429.0,solcast,egypt_location1
2023-10-01,3465.0,solcast,egypt_location1
2023-10-02,2267.0,solcast,egypt_location1
2023-10-03,3225.0,solcast,egypt_location1
2023-10-04,4851.0,solcast,egypt_location1
2023-10-05,4854.0,solcast,egypt_location1
2023-10-06,5461.0,solcast,egypt_location1
2023-10-07,5453.0,solcast,egypt_location1
2023-10-08,5360.0,solcast,egypt_location1
2023-10-09,4036.0,solcast,egypt_location1
2023-10-10,5427.0,solcast,egypt_location1
2023-10-11,5362.0,solcast,egypt_location1
2023-10-12,5542.0,solcast,egypt_location1
2023-10-13,5444.0,solcast,egypt_location1
2023-10-14,4730.0,solcast,egypt_location1
2023-10-15,5143.0,solcast,egypt_location1
2023-10-16,5421.0,solcast,egypt_location1
2023-10-17,4901.0,solcast,egypt_location1
2023-10-18,5158.0,solcast,egypt_location1
2023-10-19,5160.0,solcast,egypt_location1
2023-10-20,5388.0,solcast,egypt_location1
2023-10-21,5312.0,solcast,egypt_location1
2023-10-22,5078.0,solcast,egypt_location1
2023-10-23,4916.0,solcast,egypt_location1
2023-10-24,4554.0,solcast,egypt_location1
2023-10-25,4880.0,solcast,egypt_location1
2023-10-26,4775.0,solcast,egypt_location1
2023-10-27,2743.0,solcast,egypt_location1
2023-10-28,4009.0,solcast,egypt_location1
2023-10-29,4348.0,solcast,egypt_location1
2023-10-30,4517.0,solcast,egypt_location1
2023-10-31,4577.0,solcast,egypt_location1
2023-11-01,4567.0,solcast,egypt_location1
