datetime,ghi,estimator,location
2019-01-01,5302.415,camsrad,ghana_location1
2019-01-02,5200.787,camsrad,ghana_location1
2019-01-03,4245.395,camsrad,ghana_location1
2019-01-04,4823.754,camsrad,ghana_location1
2019-01-05,4970.017,camsrad,ghana_location1
2019-01-06,5088.74,camsrad,ghana_location1
2019-01-07,2437.785,camsrad,ghana_location1
2019-01-08,5236.385,camsrad,ghana_location1
2019-01-09,5037.932,camsrad,ghana_location1
2019-01-10,5018.698,camsrad,ghana_location1
2019-01-11,4774.596,camsrad,ghana_location1
2019-01-12,5255.932,camsrad,ghana_location1
2019-01-13,5173.168,camsrad,ghana_location1
2019-01-14,5536.371,camsrad,ghana_location1
2019-01-15,5482.138,camsrad,ghana_location1
2019-01-16,5049.333,camsrad,ghana_location1
2019-01-17,5799.506,camsrad,ghana_location1
2019-01-18,5498.278,camsrad,ghana_location1
2019-01-19,4889.978,camsrad,ghana_location1
2019-01-20,5384.087,camsrad,ghana_location1
2019-01-21,5613.251,camsrad,ghana_location1
2019-01-22,5712.189,camsrad,ghana_location1
2019-01-23,5382.829,camsrad,ghana_location1
2019-01-24,4887.288,camsrad,ghana_location1
2019-01-25,4906.798,camsrad,ghana_location1
2019-01-26,5997.421,camsrad,ghana_location1
2019-01-27,5566.945,camsrad,ghana_location1
2019-01-28,5549.894,camsrad,ghana_location1
2019-01-29,6128.648,camsrad,ghana_location1
2019-01-30,3902.334,camsrad,ghana_location1
2019-01-31,6005.394,camsrad,ghana_location1
2019-02-01,5966.781,camsrad,ghana_location1
2019-02-02,5176.435,camsrad,ghana_location1
2019-02-03,6063.32,camsrad,ghana_location1
2019-02-04,5876.96,camsrad,ghana_location1
2019-02-05,6088.116,camsrad,ghana_location1
2019-02-06,5161.985,camsrad,ghana_location1
2019-02-07,5817.336,camsrad,ghana_location1
2019-02-08,5865.95,camsrad,ghana_location1
2019-02-09,4845.938,camsrad,ghana_location1
2019-02-10,5134.474,camsrad,ghana_location1
2019-02-11,5431.005,camsrad,ghana_location1
2019-02-12,5332.98,camsrad,ghana_location1
2019-02-13,5472.432,camsrad,ghana_location1
2019-02-14,4728.544,camsrad,ghana_location1
2019-02-15,4432.278,camsrad,ghana_location1
2019-02-16,5098.133,camsrad,ghana_location1
2019-02-17,4912.24,camsrad,ghana_location1
2019-02-18,4978.319,camsrad,ghana_location1
2019-02-19,1774.719,camsrad,ghana_location1
2019-02-20,5485.576,camsrad,ghana_location1
2019-02-21,5803.378,camsrad,ghana_location1
2019-02-22,5481.223,camsrad,ghana_location1
2019-02-23,5465.339,camsrad,ghana_location1
