datetime,ghi,estimator,location
2019-01-02,4934.0,solcast,ghana_location1
2019-01-03,4850.0,solcast,ghana_location1
2019-01-04,4989.0,solcast,ghana_location1
2019-01-05,4909.0,solcast,ghana_location1
2019-01-06,5033.0,solcast,ghana_location1
2019-01-07,2357.0,solcast,ghana_location1
2019-01-08,5056.0,solcast,ghana_location1
2019-01-09,4875.0,solcast,ghana_location1
2019-01-10,4723.0,solcast,ghana_location1
2019-01-11,4338.0,solcast,ghana_location1
2019-01-12,4719.0,solcast,ghana_location1
2019-01-13,5111.0,solcast,ghana_location1
2019-01-14,5369.0,solcast,ghana_location1
2019-01-15,5399.0,solcast,ghana_location1
2019-01-16,5301.0,solcast,ghana_location1
2019-01-17,5534.0,solcast,ghana_location1
2019-01-18,4829.0,solcast,ghana_location1
2019-01-19,4753.0,solcast,ghana_location1
2019-01-20,4884.0,solcast,ghana_location1
2019-01-21,5759.0,solcast,ghana_location1
2019-01-22,5736.0,solcast,ghana_location1
2019-01-23,5468.0,solcast,ghana_location1
2019-01-24,4972.0,solcast,ghana_location1
2019-01-25,4815.0,solcast,ghana_location1
2019-01-26,5748.0,solcast,ghana_location1
2019-01-27,5604.0,solcast,ghana_location1
2019-01-28,5163.0,solcast,ghana_location1
2019-01-29,6016.0,solcast,ghana_location1
2019-01-30,3655.0,solcast,ghana_location1
2019-01-31,5888.0,solcast,ghana_location1
2019-02-01,5442.0,solcast,ghana_location1
2019-02-02,5183.0,solcast,ghana_location1
2019-02-03,5674.0,solcast,ghana_location1
2019-02-04,5716.0,solcast,ghana_location1
2019-02-05,5867.0,solcast,ghana_location1
2019-02-06,5368.0,solcast,ghana_location1
2019-02-07,5743.0,solcast,ghana_location1
2019-02-08,5683.0,solcast,ghana_location1
2019-02-09,5003.0,solcast,ghana_location1
2019-02-10,4987.0,solcast,ghana_location1
2019-02-11,5254.0,solcast,ghana_location1
2019-02-12,5223.0,solcast,ghana_location1
2019-02-13,4509.0,solcast,ghana_location1
2019-02-14,4442.0,solcast,ghana_location1
2019-02-15,4262.0,solcast,ghana_location1
2019-02-16,4871.0,solcast,ghana_location1
2019-02-17,4752.0,solcast,ghana_location1
2019-02-18,4703.0,solcast,ghana_location1
2019-02-19,2520.0,solcast,ghana_location1
2019-02-20,5113.0,solcast,ghana_location1
2019-02-21,5248.0,solcast,ghana_location1
2019-02-22,4702.0,solcast,ghana_location1
2019-02-23,5571.0,solcast,ghana_location1
2019-02-24,4761.0,solcast,ghana_location1
2019-02-25,4474.0,solcast,ghana_location1
2019-02-26,5846.0,solcast,ghana_location1
2019-02-27,5218.0,solcast,ghana_location1
2019-02-28,3406.0,solcast,ghana_location1
2019-03-01,2247.0,solcast,ghana_location1
2019-03-02,6444.0,solcast,ghana_location1
2019-03-03,6194.0,solcast,ghana_location1
2019-03-04,5425.0,solcast,ghana_location1
2019-03-05,6130.0,solcast,ghana_location1
2019-03-06,5831.0,solcast,ghana_location1
2019-03-07,6146.0,solcast,ghana_location1
