datetime,ghi,estimator,location
2023-02-13,8087.001,camsrad,madagascar_location1
2023-02-14,8157.261,camsrad,madagascar_location1
2023-02-15,8033.37,camsrad,madagascar_location1
2023-02-16,7384.61,camsrad,madagascar_location1
2023-02-17,6561.561,camsrad,madagascar_location1
2023-02-18,7363.551,camsrad,madagascar_location1
2023-02-19,7448.034,camsrad,madagascar_location1
2023-02-20,7904.27,camsrad,madagascar_location1
2023-02-21,7344.458,camsrad,madagascar_location1
2023-02-22,5543.108,camsrad,madagascar_location1
2023-02-23,5402.099,camsrad,madagascar_location1
2023-02-24,7301.915,camsrad,madagascar_location1
2023-02-25,7716.176,camsrad,madagascar_location1
2023-02-26,7884.414,camsrad,madagascar_location1
2023-02-27,7717.301,camsrad,madagascar_location1
2023-02-28,7511.527,camsrad,madagascar_location1
2023-03-01,6380.719,camsrad,madagascar_location1
2023-03-02,6678.394,camsrad,madagascar_location1
2023-03-03,2365.888,camsrad,madagascar_location1
2023-03-04,1618.643,camsrad,madagascar_location1
2023-03-05,1443.332,camsrad,madagascar_location1
2023-03-06,1325.166,camsrad,madagascar_location1
2023-03-07,2939.179,camsrad,madagascar_location1
2023-03-08,2917.439,camsrad,madagascar_location1
2023-03-09,2730.374,camsrad,madagascar_location1
2023-03-10,4570.599,camsrad,madagascar_location1
2023-03-11,6658.918,camsrad,madagascar_location1
2023-03-12,7312.955,camsrad,madagascar_location1
2023-03-13,5582.997,camsrad,madagascar_location1
2023-03-14,5115.41,camsrad,madagascar_location1
2023-03-15,2194.3,camsrad,madagascar_location1
2023-03-16,4057.465,camsrad,madagascar_location1
2023-03-17,7102.322,camsrad,madagascar_location1
2023-03-18,7034.044,camsrad,madagascar_location1
2023-03-19,6535.589,camsrad,madagascar_location1
2023-03-20,5684.166,camsrad,madagascar_location1
2023-03-21,3534.742,camsrad,madagascar_location1
2023-03-22,5634.786,camsrad,madagascar_location1
2023-03-23,5497.104,camsrad,madagascar_location1
2023-03-24,6620.381,camsrad,madagascar_location1
