datetime,ghi,estimator,location
2023-02-14,8085.0,solcast,madagascar_location1
2023-02-15,8017.0,solcast,madagascar_location1
2023-02-16,7501.0,solcast,madagascar_location1
2023-02-17,6500.0,solcast,madagascar_location1
2023-02-18,7451.0,solcast,madagascar_location1
2023-02-19,7441.0,solcast,madagascar_location1
2023-02-20,7727.0,solcast,madagascar_location1
2023-02-21,7196.0,solcast,madagascar_location1
2023-02-22,5497.0,solcast,madagascar_location1
2023-02-23,5247.0,solcast,madagascar_location1
2023-02-24,7255.0,solcast,madagascar_location1
2023-02-25,7570.0,solcast,madagascar_location1
2023-02-26,7802.0,solcast,madagascar_location1
2023-02-27,7688.0,solcast,madagascar_location1
2023-02-28,7494.0,solcast,madagascar_location1
2023-03-01,6676.0,solcast,madagascar_location1
2023-03-02,6682.0,solcast,madagascar_location1
2023-03-03,2568.0,solcast,madagascar_location1
2023-03-04,1955.0,solcast,madagascar_location1
2023-03-05,1610.0,solcast,madagascar_location1
2023-03-06,1313.0,solcast,madagascar_location1
2023-03-07,3438.0,solcast,madagascar_location1
2023-03-08,2695.0,solcast,madagascar_location1
2023-03-09,2654.0,solcast,madagascar_location1
2023-03-10,4084.0,solcast,madagascar_location1
2023-03-11,5751.0,solcast,madagascar_location1
2023-03-12,7216.0,solcast,madagascar_location1
2023-03-13,5673.0,solcast,madagascar_location1
2023-03-14,5152.0,solcast,madagascar_location1
2023-03-15,2211.0,solcast,madagascar_location1
2023-03-16,3724.0,solcast,madagascar_location1
2023-03-17,6836.0,solcast,madagascar_location1
2023-03-18,6820.0,solcast,madagascar_location1
2023-03-19,6430.0,solcast,madagascar_location1
2023-03-20,5330.0,solcast,madagascar_location1
2023-03-21,3446.0,solcast,madagascar_location1
2023-03-22,5017.0,solcast,madagascar_location1
2023-03-23,5532.0,solcast,madagascar_location1
2023-03-24,6539.0,solcast,madagascar_location1
2023-03-25,1655.0,solcast,madagascar_location1
2023-03-26,3414.0,solcast,madagascar_location1
2023-03-27,5491.0,solcast,madagascar_location1
2023-03-28,6010.0,solcast,madagascar_location1
2023-03-29,6636.0,solcast,madagascar_location1
2023-03-30,5454.0,solcast,madagascar_location1
2023-03-31,2864.0,solcast,madagascar_location1
2023-04-01,4333.0,solcast,madagascar_location1
2023-04-02,5236.0,solcast,madagascar_location1
2023-04-03,5389.0,solcast,madagascar_location1
2023-04-04,6006.0,solcast,madagascar_location1
2023-04-05,5639.0,solcast,madagascar_location1
2023-04-06,3833.0,solcast,madagascar_location1
2023-04-07,5670.0,solcast,madagascar_location1
2023-04-08,4516.0,solcast,madagascar_location1
2023-04-09,5911.0,solcast,madagascar_location1
2023-04-10,5973.0,solcast,madagascar_location1
2023-04-11,6015.0,solcast,madagascar_location1
2023-04-12,4415.0,solcast,madagascar_location1
2023-04-13,5597.0,solcast,madagascar_location1
2023-04-14,5774.0,solcast,madagascar_location1
2023-04-15,5650.0,solcast,madagascar_location1
2023-04-16,2521.0,solcast,madagascar_location1
2023-04-17,3841.0,solcast,madagascar_location1
2023-04-18,3709.0,solcast,madagascar_location1
2023-04-19,3923.0,solcast,madagascar_location1
2023-04-20,4156.0,solcast,madagascar_location1
2023-04-21,5499.0,solcast,madagascar_location1
2023-04-22,4527.0,solcast,madagascar_location1
2023-04-23,5382.0,solcast,madagascar_location1
2023-04-24,3898.0,solcast,madagascar_location1
2023-04-25,4480.0,solcast,madagascar_location1
2023-04-26,5319.0,solcast,madagascar_location1
2023-04-27,5080.0,solcast,madagascar_location1
2023-04-28,4079.0,solcast,madagascar_location1
2023-04-29,4171.0,solcast,madagascar_location1
2023-04-30,4997.0,solcast,madagascar_location1
2023-05-01,3861.0,solcast,madagascar_location1
2023-05-02,3804.0,solcast,madagascar_location1
2023-05-03,2301.0,solcast,madagascar_location1
2023-05-04,4758.0,solcast,madagascar_location1
2023-05-05,4882.0,solcast,madagascar_location1
2023-05-06,1967.0,solcast,madagascar_location1
2023-05-07,4840.0,solcast,madagascar_location1
2023-05-08,4834.0,solcast,madagascar_location1
2023-05-09,4323.0,solcast,madagascar_location1
2023-05-10,3023.0,solcast,madagascar_location1
2023-05-11,2667.0,solcast,madagascar_location1
2023-05-12,2976.0,solcast,madagascar_location1
2023-05-13,4727.0,solcast,madagascar_location1
2023-05-14,4667.0,solcast,madagascar_location1
2023-05-15,3327.0,solcast,madagascar_location1
2023-05-16,3154.0,solcast,madagascar_location1
2023-05-17,4465.0,solcast,madagascar_location1
2023-05-18,4384.0,solcast,madagascar_location1
2023-05-19,4560.0,solcast,madagascar_location1
2023-05-20,4287.0,solcast,madagascar_location1
2023-05-21,4369.0,solcast,madagascar_location1
2023-05-22,4208.0,solcast,madagascar_location1
