datetime,ghi,estimator,location
2020-02-19,5998.638,camsrad,nigeria_location1
2020-02-20,6383.91,camsrad,nigeria_location1
2020-02-21,6376.009,camsrad,nigeria_location1
2020-02-22,6622.759,camsrad,nigeria_location1
2020-02-23,7032.825,camsrad,nigeria_location1
2020-02-24,6821.035,camsrad,nigeria_location1
2020-02-25,6785.066,camsrad,nigeria_location1
2020-02-26,6300.717,camsrad,nigeria_location1
2020-02-27,5517.669,camsrad,nigeria_location1
2020-02-28,4024.695,camsrad,nigeria_location1
2020-02-29,4868.968,camsrad,nigeria_location1
2020-03-01,4928.688,camsrad,nigeria_location1
2020-03-02,5120.522,camsrad,nigeria_location1
2020-03-03,4833.122,camsrad,nigeria_location1
2020-03-04,5912.588,camsrad,nigeria_location1
2020-03-05,6381.525,camsrad,nigeria_location1
2020-03-06,6519.299,camsrad,nigeria_location1
2020-03-07,5141.059,camsrad,nigeria_location1
2020-03-08,6063.838,camsrad,nigeria_location1
2020-03-09,6139.009,camsrad,nigeria_location1
2020-03-10,6450.67,camsrad,nigeria_location1
2020-03-11,5949.71,camsrad,nigeria_location1
2020-03-12,5253.162,camsrad,nigeria_location1
2020-03-13,5533.636,camsrad,nigeria_location1
2020-03-14,6612.323,camsrad,nigeria_location1
2020-03-15,6770.278,camsrad,nigeria_location1
2020-03-16,6566.626,camsrad,nigeria_location1
2020-03-17,6449.579,camsrad,nigeria_location1
2020-03-18,6131.03,camsrad,nigeria_location1
2020-03-19,5721.315,camsrad,nigeria_location1
2020-03-20,6092.497,camsrad,nigeria_location1
2020-03-21,5796.753,camsrad,nigeria_location1
2020-03-22,5556.909,camsrad,nigeria_location1
2020-03-23,5456.976,camsrad,nigeria_location1
2020-03-24,5933.517,camsrad,nigeria_location1
2020-03-25,5862.046,camsrad,nigeria_location1
2020-03-26,5022.933,camsrad,nigeria_location1
2020-03-27,6831.63,camsrad,nigeria_location1
2020-03-28,6920.381,camsrad,nigeria_location1
2020-03-29,6301.71,camsrad,nigeria_location1
2020-03-30,5396.68,camsrad,nigeria_location1
2020-03-31,4962.793,camsrad,nigeria_location1
2020-04-01,4837.08,camsrad,nigeria_location1
2020-04-02,6378.932,camsrad,nigeria_location1
2020-04-03,6640.49,camsrad,nigeria_location1
2020-04-04,5856.171,camsrad,nigeria_location1
2020-04-05,6109.276,camsrad,nigeria_location1
2020-04-06,5928.929,camsrad,nigeria_location1
2020-04-07,6960.073,camsrad,nigeria_location1
2020-04-08,6037.844,camsrad,nigeria_location1
2020-04-09,4376.73,camsrad,nigeria_location1
2020-04-10,4711.883,camsrad,nigeria_location1
2020-04-11,5318.762,camsrad,nigeria_location1
2020-04-12,6788.336,camsrad,nigeria_location1
2020-04-13,6508.255,camsrad,nigeria_location1
2020-04-14,6703.708,camsrad,nigeria_location1
2020-04-15,6080.621,camsrad,nigeria_location1
2020-04-16,7055.804,camsrad,nigeria_location1
2020-04-17,5545.909,camsrad,nigeria_location1
