datetime,ghi,estimator,location
2024-01-27,7091.726,camsrad,somalia_location1
2024-01-28,7306.301,camsrad,somalia_location1
2024-01-29,6914.932,camsrad,somalia_location1
2024-01-30,7036.88,camsrad,somalia_location1
2024-01-31,6555.658,camsrad,somalia_location1
2024-02-01,6229.317,camsrad,somalia_location1
2024-02-02,7158.242,camsrad,somalia_location1
2024-02-03,6065.421,camsrad,somalia_location1
2024-02-04,7289.21,camsrad,somalia_location1
2024-02-05,7034.777,camsrad,somalia_location1
2024-02-06,3204.118,camsrad,somalia_location1
2024-02-07,7104.31,camsrad,somalia_location1
2024-02-08,7401.403,camsrad,somalia_location1
2024-02-09,7604.191,camsrad,somalia_location1
2024-02-10,7622.978,camsrad,somalia_location1
2024-02-11,7669.28,camsrad,somalia_location1
2024-02-12,7636.013,camsrad,somalia_location1
2024-02-13,7598.94,camsrad,somalia_location1
2024-02-14,7408.929,camsrad,somalia_location1
2024-02-15,7730.322,camsrad,somalia_location1
2024-02-16,7632.532,camsrad,somalia_location1
2024-02-17,7789.596,camsrad,somalia_location1
2024-02-18,7356.501,camsrad,somalia_location1
2024-02-19,7259.992,camsrad,somalia_location1
2024-02-20,7642.407,camsrad,somalia_location1
2024-02-21,7869.302,camsrad,somalia_location1
2024-02-22,7675.199,camsrad,somalia_location1
2024-02-23,6948.929,camsrad,somalia_location1
2024-02-24,7639.624,camsrad,somalia_location1
2024-02-25,7288.595,camsrad,somalia_location1
2024-02-26,6561.483,camsrad,somalia_location1
2024-02-27,7387.071,camsrad,somalia_location1
2024-02-28,7760.252,camsrad,somalia_location1
2024-02-29,7742.442,camsrad,somalia_location1
2024-03-01,7850.028,camsrad,somalia_location1
2024-03-02,8009.961,camsrad,somalia_location1
2024-03-03,8018.268,camsrad,somalia_location1
2024-03-04,7722.14,camsrad,somalia_location1
2024-03-05,7186.091,camsrad,somalia_location1
2024-03-06,7441.003,camsrad,somalia_location1
2024-03-07,6805.683,camsrad,somalia_location1
2024-03-08,7950.828,camsrad,somalia_location1
2024-03-09,7960.188,camsrad,somalia_location1
2024-03-10,8056.429,camsrad,somalia_location1
2024-03-11,8039.425,camsrad,somalia_location1
2024-03-12,7945.602,camsrad,somalia_location1
2024-03-13,6934.258,camsrad,somalia_location1
2024-03-14,7987.414,camsrad,somalia_location1
2024-03-15,8039.331,camsrad,somalia_location1
2024-03-16,8075.026,camsrad,somalia_location1
2024-03-17,7669.18,camsrad,somalia_location1
2024-03-18,7072.228,camsrad,somalia_location1
2024-03-19,7028.464,camsrad,somalia_location1
2024-03-20,7850.385,camsrad,somalia_location1
2024-03-21,8037.883,camsrad,somalia_location1
2024-03-22,7426.927,camsrad,somalia_location1
2024-03-23,7664.44,camsrad,somalia_location1
2024-03-24,7540.546,camsrad,somalia_location1
2024-03-25,7664.835,camsrad,somalia_location1
2024-03-26,7422.144,camsrad,somalia_location1
2024-03-27,7713.607,camsrad,somalia_location1
2024-03-28,5975.68,camsrad,somalia_location1
2024-03-29,7452.31,camsrad,somalia_location1
2024-03-30,7300.82,camsrad,somalia_location1
2024-03-31,6187.385,camsrad,somalia_location1
2024-04-01,6264.46,camsrad,somalia_location1
2024-04-02,6016.168,camsrad,somalia_location1
2024-04-03,4301.915,camsrad,somalia_location1
2024-04-04,6055.322,camsrad,somalia_location1
2024-04-05,6355.121,camsrad,somalia_location1
2024-04-06,6500.332,camsrad,somalia_location1
2024-04-07,6807.742,camsrad,somalia_location1
2024-04-08,6104.294,camsrad,somalia_location1
2024-04-09,6283.949,camsrad,somalia_location1
2024-04-10,7168.221,camsrad,somalia_location1
2024-04-11,5650.865,camsrad,somalia_location1
2024-04-12,5931.504,camsrad,somalia_location1
2024-04-13,6363.614,camsrad,somalia_location1
2024-04-14,6924.875,camsrad,somalia_location1
2024-04-15,4626.784,camsrad,somalia_location1
2024-04-16,5036.419,camsrad,somalia_location1
2024-04-17,7520.718,camsrad,somalia_location1
2024-04-18,4679.778,camsrad,somalia_location1
2024-04-19,6819.64,camsrad,somalia_location1
2024-04-20,6364.351,camsrad,somalia_location1
2024-04-21,1939.947,camsrad,somalia_location1
2024-04-22,6962.134,camsrad,somalia_location1
2024-04-23,4556.056,camsrad,somalia_location1
2024-04-24,5661.765,camsrad,somalia_location1
2024-04-25,4677.893,camsrad,somalia_location1
2024-04-26,2040.746,camsrad,somalia_location1
2024-04-27,4126.057,camsrad,somalia_location1
2024-04-28,4070.396,camsrad,somalia_location1
2024-04-29,5826.764,camsrad,somalia_location1
2024-04-30,7174.611,camsrad,somalia_location1
2024-05-01,5517.617,camsrad,somalia_location1
