Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1788603,-,-,-,0.33,32.58,,1200,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2005,1,1,0,30,135.67000000000002,0.16,3.4000000000000004,0,0,0,3,18.400000000000002,88.82000000000001,881,0,0,0,0,20.3,143,1.1
2005,1,1,1,30,122.72,0.16,3.5,0,0,0,0,18.400000000000002,90.39,882,0,0,0,0,20,125,1.1
2005,1,1,2,30,109.21000000000001,0.16,3.5,0,0,0,1,18.3,92.49,882,0,0,0,0,19.6,112,1.2000000000000002
2005,1,1,3,30,95.46000000000001,0.16,3.4000000000000004,0,0,0,6,18.3,90.79,883,0,0,0,0,19.900000000000002,103,1.4000000000000001
2005,1,1,4,30,81.58,0.16,3.4000000000000004,48,329,96,0,18.900000000000002,86.19,883,48,329,0,96,21.3,100,2.1
2005,1,1,5,30,67.94,0.16,3.3000000000000003,92,636,330,0,19,78.86,884,92,636,0,330,22.900000000000002,103,2.7
2005,1,1,6,30,54.57,0.16,3.3000000000000003,114,782,567,0,18.8,71.71000000000001,884,114,782,0,567,24.200000000000003,105,2.9000000000000004
2005,1,1,7,30,41.89,0.16,3.2,124,865,769,0,18.5,66.93,883,124,865,0,769,25.1,105,2.8000000000000003
2005,1,1,8,30,30.87,0.16,3.1,129,914,913,3,18.2,62.77,883,503,184,0,661,25.8,105,2.5
2005,1,1,9,30,23.98,0.16,3,113,964,994,0,17.8,59.11,882,113,964,0,994,26.400000000000002,108,2.1
2005,1,1,10,30,24.95,0.16,3,112,963,985,6,17.3,56.11,881,435,42,0,473,26.8,114,1.6
2005,1,1,11,30,33.09,0.16,2.9000000000000004,109,947,902,6,16.900000000000002,54.45,881,35,0,0,35,26.900000000000002,123,1.2000000000000002
2005,1,1,12,30,44.62,0.16,2.8000000000000003,94,925,752,8,16.6,53.6,880,251,552,0,643,26.8,135,1
