Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1843201,-,-,-,1.73,33.66,3,1091,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2020,1,1,0,30,158.24,0.21,4,0,0,0,5,19.400000000000002,100,890,0,0,0,0,19.400000000000002,11,1.6
2020,1,1,1,30,156.49,0.21,4,0,0,0,4,19.200000000000003,100,890,0,0,0,0,19.200000000000003,14,1.4000000000000001
2020,1,1,2,30,147.52,0.21,3.9000000000000004,0,0,0,4,18.900000000000002,100,889,0,0,0,0,18.900000000000002,14,1.1
2020,1,1,3,30,135.43,0.2,2.5,0,0,0,0,15.100000000000001,78.81,890,0,0,0,0,18.900000000000002,71,2.2
2020,1,1,4,30,122.3,0.2,2.5,0,0,0,0,15.200000000000001,81.37,891,0,0,0,0,18.400000000000002,75,2.1
2020,1,1,5,30,108.71000000000001,0.2,2.4000000000000004,0,0,0,0,15.100000000000001,83.29,891,0,0,0,0,18,81,2
2020,1,1,6,30,94.94,0.2,2.4000000000000004,0,0,0,0,15.100000000000001,79.61,892,0,0,0,0,18.7,86,2.4000000000000004
2020,1,1,7,30,81.08,0.2,2.4000000000000004,40,513,119,0,15.5,70.54,893,40,513,0,119,21.1,88,3.1
2020,1,1,8,30,67.5,0.2,2.4000000000000004,66,787,367,0,16,59.59,893,66,787,0,367,24.400000000000002,83,4
2020,1,1,9,30,54.26,0.2,2.4000000000000004,81,900,607,0,15.8,49.53,893,81,900,0,607,27.3,76,4.7
2020,1,1,10,30,41.84,0.2,2.4000000000000004,91,958,805,0,15.4,43.17,892,91,958,0,805,29.200000000000003,74,4.800000000000001
