Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1727824,-,-,-,2.73,31.38,0,653,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2021,1,1,0,30,137.99,0.16,4.4,0,0,0,4,18.8,90.18,933,0,0,0,0,20.5,265,1.1
2021,1,1,1,30,124.88000000000001,0.16,4.4,0,0,0,4,18.400000000000002,87.89,934,0,0,0,0,20.5,263,1
2021,1,1,2,30,111.28,0.16,4.4,0,0,0,4,18.2,85.41,934,0,0,0,0,20.700000000000003,266,0.8
2021,1,1,3,30,97.51,0.16,4.4,0,0,0,5,17.900000000000002,80.58,935,0,0,0,0,21.400000000000002,276,0.7000000000000001
2021,1,1,4,30,83.60000000000001,0.16,4.5,37,215,61,0,18.5,76.97,936,37,215,0,61,22.8,179,0.6000000000000001
2021,1,1,5,30,70.05,0.16,4.5,95,537,278,5,19,70.8,936,42,0,0,42,24.700000000000003,81,1.2000000000000002
2021,1,1,6,30,56.79,0.16,4.6000000000000005,132,681,505,5,19.6,68.19,937,188,1,0,188,25.900000000000002,88,2.1
2021,1,1,7,30,44.28,0.16,4.7,159,753,698,5,20,67.76,936,368,48,0,402,26.400000000000002,90,2.6
2021,1,1,8,30,33.480000000000004,0.16,4.800000000000001,180,789,838,0,20.400000000000002,68.92,936,180,789,0,838,26.6,88,3.1
2021,1,1,9,30,26.59,0.16,4.9,194,800,909,0,20.6,69.76,935,194,800,0,909,26.6,86,3.3000000000000003
2021,1,1,10,30,26.84,0.16,4.9,187,810,909,7,20.6,69.57000000000001,934,328,535,0,806,26.6,85,3.3000000000000003
2021,1,1,11,30,34.07,0.16,4.9,166,812,838,0,20.6,69.5,934,166,812,0,838,26.6,85,3.2
2021,1,1,12,30,45.03,0.16,4.9,139,793,699,6,20.5,70.66,934,304,36,0,330,26.3,85,2.8000000000000003
2021,1,1,13,30,57.6,0.16,4.9,110,735,503,9,20.6,73.57000000000001,934,40,0,0,40,25.700000000000003,82,2.1
2021,1,1,14,30,70.89,0.16,4.800000000000001,79,594,274,6,21,79.88,934,10,0,0,10,24.700000000000003,73,1.3
2021,1,1,15,30,84.45,0.16,4.800000000000001,32,237,55,6,21.6,87.77,935,8,0,7,8,23.700000000000003,51,0.8
2021,1,1,16,30,98.38,0.16,4.7,0,0,0,6,21.1,88.73,935,0,0,0,0,23.1,20,0.6000000000000001
2021,1,1,17,30,112.15,0.16,4.6000000000000005,0,0,0,6,21,90.59,936,0,0,0,0,22.6,173,0.5
2021,1,1,18,30,125.74000000000001,0.16,4.5,0,0,0,7,20.8,91.07000000000001,936,0,0,0,0,22.3,332,0.6000000000000001
2021,1,1,19,30,138.81,0.16,4.4,0,0,0,7,20.5,91.69,936,0,0,0,0,21.900000000000002,316,0.6000000000000001
2021,1,1,20,30,150.58,0.16,4.3,0,0,0,5,20.200000000000003,91.91,935,0,0,0,0,21.6,306,0.7000000000000001
2021,1,1,21,30,158.67000000000002,0.16,4.2,0,0,0,4,20,92.7,935,0,0,0,0,21.200000000000003,300,0.7000000000000001
2021,1,1,22,30,158.41,0.16,4.2,0,0,0,4,19.6,93.10000000000001,935,0,0,0,0,20.8,299,0.7000000000000001
2021,1,1,23,30,150,0.16,4.2,0,0,0,4,19.400000000000002,92.95,935,0,0,0,0,20.6,301,0.7000000000000001
2021,1,2,0,30,138.12,0.16,4.2,0,0,0,4,19.3,93.18,935,0,0,0,0,20.400000000000002,304,0.6000000000000001
2021,1,2,1,30,125,0.16,4.1000000000000005,0,0,0,4,19.1,93.49,935,0,0,0,0,20.200000000000003,304,0.4
2021,1,2,2,30,111.4,0.16,4.1000000000000005,0,0,0,4,19,94.64,936,0,0,0,0,19.900000000000002,295,0.4
