air_temp,albedo,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,period_end,period
20,0.13,0,0,0,0,0,0,0,0,2021-01-01T01:00:00Z,PT60M
20,0.13,0,0,0,0,0,0,0,0,2021-01-01T02:00:00Z,PT60M
20,0.13,0,0,0,0,0,0,0,0,2021-01-01T03:00:00Z,PT60M
20,0.13,1,1,1,1,0,0,0,0,2021-01-01T04:00:00Z,PT60M
20,0.13,39,378,106,169,36,0,36,34,2021-01-01T05:00:00Z,PT60M
20,0.13,70,703,337,437,67,0,67,65,2021-01-01T06:00:00Z,PT60M
21,0.13,85,829,566,668,166,0,166,160,2021-01-01T07:00:00Z,PT60M
21,0.13,94,893,758,854,313,0,313,302,2021-01-01T08:00:00Z,PT60M
21,0.13,99,927,893,984,370,0,370,357,2021-01-01T09:00:00Z,PT60M
22,0.13,101,943,959,1048,104,0,104,100,2021-01-01T10:00:00Z,PT60M
22,0.13,96,948,951,1041,100,0,100,96,2021-01-01T11:00:00Z,PT60M
21,0.13,92,932,869,963,83,0,83,80,2021-01-01T12:00:00Z,PT60M
21,0.13,86,897,720,819,101,0,101,98,2021-01-01T13:00:00Z,PT60M
21,0.13,72,835,519,623,111,0,111,108,2021-01-01T14:00:00Z,PT60M
21,0.13,57,693,284,384,135,4,136,132,2021-01-01T15:00:00Z,PT60M
21,0.13,24,275,63,109,36,0,36,35,2021-01-01T16:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-01T17:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-01T18:00:00Z,PT60M
20,0.13,0,0,0,0,0,0,0,0,2021-01-01T19:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-01T20:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-01T21:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-01T22:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-01T23:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-02T00:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-02T01:00:00Z,PT60M
19,0.13,0,0,0,0,0,0,0,0,2021-01-02T02:00:00Z,PT60M
20,0.13,0,0,0,0,0,0,0,0,2021-01-02T03:00:00Z,PT60M
20,0.13,0,1,1,1,0,0,0,0,2021-01-02T04:00:00Z,PT60M
20,0.13,43,326,101,155,48,0,48,46,2021-01-02T05:00:00Z,PT60M
20,0.13,81,656,330,424,184,42,203,204,2021-01-02T06:00:00Z,PT60M
20,0.13,100,793,560,658,186,546,501,571,2021-01-02T07:00:00Z,PT60M
