air_temp,albedo,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,period_end,period
23,0.13,0,0,0,0,0,0,0,0,2021-01-01T01:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-01T02:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-01T03:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-01T04:00:00Z,PT60M
23,0.13,37,173,66,95,35,0,35,34,2021-01-01T05:00:00Z,PT60M
25,0.13,97,500,272,351,128,0,128,123,2021-01-01T06:00:00Z,PT60M
26,0.13,137,649,494,586,182,0,182,176,2021-01-01T07:00:00Z,PT60M
27,0.13,166,722,682,776,324,0,324,313,2021-01-01T08:00:00Z,PT60M
29,0.13,184,762,817,909,317,468,713,766,2021-01-01T09:00:00Z,PT60M
30,0.13,194,778,886,977,263,647,838,914,2021-01-01T10:00:00Z,PT60M
30,0.13,186,788,886,978,384,409,747,795,2021-01-01T11:00:00Z,PT60M
29,0.13,168,786,815,909,246,620,760,836,2021-01-01T12:00:00Z,PT60M
26,0.13,140,766,678,776,292,121,383,392,2021-01-01T13:00:00Z,PT60M
25,0.13,112,704,487,585,106,0,106,102,2021-01-01T14:00:00Z,PT60M
24,0.13,81,547,261,347,88,0,88,85,2021-01-01T15:00:00Z,PT60M
24,0.13,30,178,56,87,26,0,26,25,2021-01-01T16:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-01T17:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-01T18:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-01T19:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-01T20:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-01T21:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-01T22:00:00Z,PT60M
22,0.14,0,0,0,0,0,0,0,0,2021-01-01T23:00:00Z,PT60M
22,0.14,0,0,0,0,0,0,0,0,2021-01-02T00:00:00Z,PT60M
22,0.14,0,0,0,0,0,0,0,0,2021-01-02T01:00:00Z,PT60M
22,0.14,0,0,0,0,0,0,0,0,2021-01-02T02:00:00Z,PT60M
22,0.14,0,0,0,0,0,0,0,0,2021-01-02T03:00:00Z,PT60M
23,0.14,0,0,0,0,0,0,0,0,2021-01-02T04:00:00Z,PT60M
23,0.14,35,213,69,105,31,0,31,30,2021-01-02T05:00:00Z,PT60M
23,0.14,80,584,283,373,79,0,79,77,2021-01-02T06:00:00Z,PT60M
23,0.14,99,749,510,612,84,0,84,81,2021-01-02T07:00:00Z,PT60M
25,0.14,111,827,702,805,242,0,242,234,2021-01-02T08:00:00Z,PT60M
27,0.14,122,862,839,939,355,285,598,627,2021-01-02T09:00:00Z,PT60M
28,0.14,146,851,904,1001,416,327,708,743,2021-01-02T10:00:00Z,PT60M
29,0.14,148,847,901,998,264,633,826,900,2021-01-02T11:00:00Z,PT60M
30,0.14,139,833,827,925,182,91,261,268,2021-01-02T12:00:00Z,PT60M
30,0.14,126,795,686,786,94,0,94,90,2021-01-02T13:00:00Z,PT60M
30,0.14,110,712,491,589,176,18,184,181,2021-01-02T14:00:00Z,PT60M
30,0.14,81,553,265,351,133,244,222,260,2021-01-02T15:00:00Z,PT60M
28,0.14,30,180,57,88,38,39,44,51,2021-01-02T16:00:00Z,PT60M
27,0.14,0,0,0,0,0,0,0,0,2021-01-02T17:00:00Z,PT60M
25,0.14,0,0,0,0,0,0,0,0,2021-01-02T18:00:00Z,PT60M
24,0.14,0,0,0,0,0,0,0,0,2021-01-02T19:00:00Z,PT60M
23,0.14,0,0,0,0,0,0,0,0,2021-01-02T20:00:00Z,PT60M
23,0.14,0,0,0,0,0,0,0,0,2021-01-02T21:00:00Z,PT60M
23,0.14,0,0,0,0,0,0,0,0,2021-01-02T22:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-02T23:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-03T00:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-03T01:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-03T02:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-03T03:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-03T04:00:00Z,PT60M
21,0.13,33,234,70,110,45,51,55,63,2021-01-03T05:00:00Z,PT60M
25,0.13,74,617,288,382,76,601,286,377,2021-01-03T06:00:00Z,PT60M
28,0.13,90,780,517,622,90,780,517,622,2021-01-03T07:00:00Z,PT60M
29,0.13,100,857,712,817,100,857,712,817,2021-01-03T08:00:00Z,PT60M
30,0.13,103,900,851,954,103,900,851,954,2021-01-03T09:00:00Z,PT60M
31,0.13,113,906,921,1021,113,906,921,1021,2021-01-03T10:00:00Z,PT60M
32,0.13,110,910,920,1020,110,910,920,1020,2021-01-03T11:00:00Z,PT60M
32,0.13,108,891,844,946,108,891,844,946,2021-01-03T12:00:00Z,PT60M
32,0.13,114,827,698,800,114,827,698,800,2021-01-03T13:00:00Z,PT60M
32,0.13,105,732,499,599,105,732,499,599,2021-01-03T14:00:00Z,PT60M
31,0.13,82,558,268,355,93,484,260,335,2021-01-03T15:00:00Z,PT60M
30,0.13,31,190,59,92,36,27,41,45,2021-01-03T16:00:00Z,PT60M
29,0.13,0,0,0,0,0,0,0,0,2021-01-03T17:00:00Z,PT60M
27,0.13,0,0,0,0,0,0,0,0,2021-01-03T18:00:00Z,PT60M
26,0.13,0,0,0,0,0,0,0,0,2021-01-03T19:00:00Z,PT60M
25,0.13,0,0,0,0,0,0,0,0,2021-01-03T20:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-03T21:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-03T22:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-03T23:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-04T00:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-04T01:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-04T02:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-04T03:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-04T04:00:00Z,PT60M
24,0.13,31,258,71,114,46,41,53,59,2021-01-04T05:00:00Z,PT60M
25,0.13,71,636,289,385,115,411,257,321,2021-01-04T06:00:00Z,PT60M
26,0.13,90,785,519,624,127,651,492,580,2021-01-04T07:00:00Z,PT60M
27,0.13,101,860,714,819,101,860,714,819,2021-01-04T08:00:00Z,PT60M
29,0.13,111,892,853,955,137,844,836,933,2021-01-04T09:00:00Z,PT60M
31,0.13,139,872,917,1015,252,660,842,917,2021-01-04T10:00:00Z,PT60M
31,0.13,138,873,916,1013,208,741,870,954,2021-01-04T11:00:00Z,PT60M
32,0.13,129,861,842,941,296,525,731,795,2021-01-04T12:00:00Z,PT60M
32,0.13,120,818,699,801,355,230,519,545,2021-01-04T13:00:00Z,PT60M
32,0.13,106,735,502,603,220,371,416,467,2021-01-04T14:00:00Z,PT60M
32,0.13,81,571,272,360,85,539,269,352,2021-01-04T15:00:00Z,PT60M
31,0.13,31,196,61,94,40,64,50,61,2021-01-04T16:00:00Z,PT60M
30,0.13,0,0,0,0,0,0,0,0,2021-01-04T17:00:00Z,PT60M
28,0.13,0,0,0,0,0,0,0,0,2021-01-04T18:00:00Z,PT60M
26,0.13,0,0,0,0,0,0,0,0,2021-01-04T19:00:00Z,PT60M
26,0.13,0,0,0,0,0,0,0,0,2021-01-04T20:00:00Z,PT60M
25,0.13,0,0,0,0,0,0,0,0,2021-01-04T21:00:00Z,PT60M
25,0.13,0,0,0,0,0,0,0,0,2021-01-04T22:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-04T23:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-05T00:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-05T01:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-05T02:00:00Z,PT60M
21,0.13,0,0,0,0,0,0,0,0,2021-01-05T03:00:00Z,PT60M
20,0.13,0,0,0,0,0,0,0,0,2021-01-05T04:00:00Z,PT60M
21,0.13,33,228,68,107,48,18,51,53,2021-01-05T05:00:00Z,PT60M
24,0.13,78,604,286,378,113,403,260,322,2021-01-05T06:00:00Z,PT60M
27,0.13,95,777,519,623,95,777,519,623,2021-01-05T07:00:00Z,PT60M
30,0.13,105,856,716,820,105,856,716,820,2021-01-05T08:00:00Z,PT60M
31,0.13,113,894,857,959,113,894,857,959,2021-01-05T09:00:00Z,PT60M
32,0.13,126,899,928,1027,126,899,928,1027,2021-01-05T10:00:00Z,PT60M
33,0.13,132,890,926,1024,318,541,801,863,2021-01-05T11:00:00Z,PT60M
34,0.13,133,863,849,948,322,480,721,779,2021-01-05T12:00:00Z,PT60M
34,0.13,129,811,704,805,203,639,653,734,2021-01-05T13:00:00Z,PT60M
34,0.13,116,718,504,603,158,597,476,559,2021-01-05T14:00:00Z,PT60M
34,0.13,87,550,273,358,146,258,228,268,2021-01-05T15:00:00Z,PT60M
32,0.13,33,182,61,92,35,129,57,78,2021-01-05T16:00:00Z,PT60M
30,0.13,0,0,0,0,0,0,0,0,2021-01-05T17:00:00Z,PT60M
29,0.13,0,0,0,0,0,0,0,0,2021-01-05T18:00:00Z,PT60M
27,0.13,0,0,0,0,0,0,0,0,2021-01-05T19:00:00Z,PT60M
25,0.13,0,0,0,0,0,0,0,0,2021-01-05T20:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-05T21:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-05T22:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-05T23:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-06T00:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-06T01:00:00Z,PT60M
22,0.13,0,0,0,0,0,0,0,0,2021-01-06T02:00:00Z,PT60M
23,0.13,0,0,0,0,0,0,0,0,2021-01-06T03:00:00Z,PT60M
24,0.13,0,0,0,0,0,0,0,0,2021-01-06T04:00:00Z,PT60M
24,0.13,34,203,65,100,47,11,49,49,2021-01-06T05:00:00Z,PT60M
25,0.13,81,589,283,373,129,331,248,300,2021-01-06T06:00:00Z,PT60M
27,0.13,98,771,519,622,99,767,518,621,2021-01-06T07:00:00Z,PT60M
28,0.13,106,860,719,823,106,860,719,823,2021-01-06T08:00:00Z,PT60M
30,0.13,113,900,862,963,113,900,862,963,2021-01-06T09:00:00Z,PT60M
32,0.13,125,906,934,1033,125,906,934,1033,2021-01-06T10:00:00Z,PT60M
34,0.13,127,904,934,1033,127,904,934,1033,2021-01-06T11:00:00Z,PT60M
34,0.13,130,876,858,958,130,876,858,958,2021-01-06T12:00:00Z,PT60M
34,0.13,136,806,709,809,136,806,709,809,2021-01-06T13:00:00Z,PT60M
34,0.13,123,709,508,605,123,709,508,605,2021-01-06T14:00:00Z,PT60M
34,0.13,92,539,275,358,92,539,275,358,2021-01-06T15:00:00Z,PT60M
32,0.13,34,184,62,93,33,124,55,75,2021-01-06T16:00:00Z,PT60M
30,0.13,0,0,0,0,0,0,0,0,2021-01-06T17:00:00Z,PT60M
28,0.13,0,0,0,0,0,0,0,0,2021-01-06T18:00:00Z,PT60M
26,0.13,0,0,0,0,0,0,0,0,2021-01-06T19:00:00Z,PT60M
