,datetime,ghi,location,T2M,ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2MDEW,T2M_MAX,T2M_MIN,PS,T2MWET,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SRF_ALB,CLOUD_AMT,PRECTOTCORR,TOA_SW_DWN,GWETPROF,TS,ALLSKY_SFC_PAR_TOT,QV2M,T2M_RANGE,ALLSKY_KT,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_KT,CLRSKY_SFC_PAR_TOT,PW,AIRMASS,ALLSKY_NKT,ALLSKY_SFC_LW_UP,ALLSKY_SFC_PAR_DIFF,ALLSKY_SFC_PAR_DIRH,ALLSKY_SFC_SW_DIRH,ALLSKY_SFC_SW_UP,AOD_55_ADJ,AOD_84,CLOUD_OD,CLRSKY_DAYS,CLRSKY_NKT,CLRSKY_SFC_LW_DWN,CLRSKY_SFC_LW_UP,CLRSKY_SFC_PAR_DIFF,CLRSKY_SFC_PAR_DIRH,CLRSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DIRH,CLRSKY_SFC_SW_DNI,CLRSKY_SFC_SW_UP,CLRSKY_SRF_ALB,DISPH,EVLAND,EVPTRNS,FRSEAICE,PBLTOP,PSH,RHOA,SRF_ALB_ADJ,TO3,TQV,U2M,V2M,Z0M,altitude,error,sq_error,DoY,ghi_extr_cams,ghi_clear_cams,bhi_clear_cams,dhi_clear_cams,dni_clear_cams,ghi_cams,bhi_cams,dhi_cams,dni_cams
0,2019-05-28,4.5895,kenya_location3,20.24,5.85,75.35,1.89,15.4,25.6,15.51,83.17,17.82,8.46,1.9,5.62,0.14,67.85,3.07,9.37,0.74,21.73,2.66,13.21,10.09,0.62,7.02,0.75,0.77,0.37,0.01,2.44,0.75,3.18,2.48,4.69,0.85,10.1,1.23,1.43,3.96,0.76,0.11,0.07,3.11,0.0,1.02,7.71,10.07,0.56,2.61,0.94,6.08,9.13,0.91,0.15,0.18,4.53,0.84,0.0,72.7,0.14,0.98,0.14,260.16,32.59,-0.87,0.83,0.03,1874.0,-1.2604999999999995,-1.5889,148.0,9382.6738,7028.707999999999,5860.6655,1168.0425,8644.8447,5709.2358,3214.8335000000006,2494.4021,5085.8491
1,2019-05-29,6.4772,kenya_location3,19.79,5.87,79.56,1.69,15.93,24.54,16.12,83.2,17.86,8.6,2.26,5.13,0.15,73.31,6.36,9.36,0.74,21.06,2.66,13.66,8.42,0.63,7.02,0.74,0.77,0.37,0.01,2.36,0.75,3.17,2.37,4.7,0.85,9.96,1.39,1.27,3.61,0.83,0.1,0.07,4.45,0.0,1.02,7.69,9.92,0.54,2.63,0.91,6.11,9.26,0.98,0.16,0.18,3.59,0.51,0.0,74.16,0.14,0.98,0.15,255.44,34.83,-0.83,0.58,0.03,1874.0,0.6071999999999997,0.3687,149.0,9368.8496,6983.8623,5600.8086,1383.0536,8156.0479,5820.1196,3751.4502,2068.6694,5344.3003
2,2019-05-30,4.0908,kenya_location3,20.29,5.81,77.34,2.23,15.9,25.47,15.59,83.15,18.09,8.55,1.7,5.61,0.15,74.19,9.22,9.34,0.74,21.74,2.64,13.65,9.88,0.62,6.97,0.75,0.78,0.37,0.01,2.37,0.75,3.16,2.47,4.7,0.84,10.39,1.06,1.58,4.12,0.87,0.11,0.08,6.45,0.0,1.01,7.63,10.36,0.57,2.58,0.96,6.01,9.08,1.04,0.16,0.18,4.48,0.8,0.0,73.91,0.14,0.98,0.15,257.78,32.9,-0.34,0.57,0.03,1874.0,-1.7191999999999998,-2.9556,150.0,9355.5039,7108.9385,6082.7812,1026.1572,9049.8369,4649.3599,2996.543,1652.8168,4057.3139999999994
3,2019-05-31,5.9658,kenya_location3,20.34,5.61,79.87,1.31,16.53,24.5,17.26,83.13,18.43,8.57,2.28,4.46,0.15,70.45,7.85,9.33,0.74,21.54,2.56,14.2,7.24,0.6,6.89,0.75,0.79,0.35,0.01,2.3,0.74,3.13,2.62,4.71,0.82,10.13,1.52,1.04,3.34,0.85,0.14,0.1,5.91,0.0,1.0,7.63,10.1,0.68,2.45,1.14,5.75,8.6,1.01,0.16,0.18,3.62,0.6,0.0,72.5,0.13,0.98,0.15,255.89,33.86,0.39,0.58,0.03,1874.0,0.3557999999999994,0.1266,151.0,9342.5625,6939.8794,5645.0093,1294.8701,8293.1592,5853.104,4095.9358,1757.1682,5564.8662
4,2019-06-01,3.7295,kenya_location3,18.56,4.12,87.3,1.57,16.37,21.07,16.83,83.16,17.47,8.91,2.27,1.8,0.16,90.41,10.2,9.32,0.75,19.31,1.89,14.05,4.24,0.44,6.88,0.76,0.8,0.27,0.01,1.79,0.74,3.1,2.52,4.72,0.6,9.98,1.6,0.29,1.86,0.64,0.18,0.12,7.04,0.0,1.0,7.67,9.95,0.71,2.39,1.18,5.69,8.43,1.04,0.17,0.18,1.97,0.17,0.0,75.31,0.1,0.99,0.16,257.83,36.5,1.14,-0.12,0.03,1874.0,-0.3905000000000003,-0.1525,152.0,9330.0723,6752.1332999999995,5060.3564,1691.7769000000003,7281.5659,3706.7802999999994,1383.796,2322.9841,1843.5648
5,2019-06-02,4.0235,kenya_location3,19.89,4.16,80.82,1.53,16.27,24.12,15.99,83.22,18.08,8.47,2.07,2.19,0.16,91.72,10.44,9.31,0.75,21.34,1.92,13.95,8.13,0.45,6.65,0.76,0.8,0.27,0.01,1.72,0.71,2.99,2.83,4.72,0.61,10.01,1.45,0.47,2.09,0.62,0.28,0.19,5.46,0.0,0.97,7.6,9.98,0.98,2.01,1.65,5.0,7.3,0.99,0.17,0.18,4.12,0.54,0.0,75.73,0.1,0.98,0.16,253.9,35.12,1.13,-0.05,0.03,1874.0,-0.1364999999999998,-0.0186,153.0,9318.0469,6872.815400000001,5518.9678,1353.8477,8046.3496,4871.4307,2625.4104,2246.0203,3748.2960999999996
6,2019-06-03,1.9372,kenya_location3,18.29,3.38,88.47,1.13,16.3,20.88,15.7,83.31,17.29,8.74,2.09,1.19,0.16,97.43,18.23,9.3,0.75,18.84,1.54,13.97,5.18,0.36,6.56,0.78,0.82,0.22,0.01,1.46,0.71,2.92,2.57,4.72,0.49,9.9,1.41,0.13,1.3,0.54,0.35,0.24,8.9,0.0,0.96,7.63,9.87,1.03,1.89,1.74,4.81,6.93,1.01,0.17,0.18,1.62,0.18,0.0,76.71,0.08,0.99,0.16,252.75,36.14,0.77,-0.07,0.03,1874.0,-1.4428,-2.0817,154.0,9306.4609,6674.9692,4966.1509,1708.8188,7103.2915,1732.6331,23.0441,1709.589,40.7898
7,2019-06-04,5.3185,kenya_location3,18.86,4.57,81.31,2.12,15.4,23.35,15.31,83.29,17.13,8.78,2.39,2.16,0.15,93.81,4.0,9.29,0.76,20.08,2.07,13.19,8.04,0.49,6.51,0.78,0.8,0.29,0.01,1.89,0.7,2.91,2.94,4.73,0.67,9.91,1.71,0.36,2.18,0.66,0.4,0.27,5.01,0.0,0.95,7.8,9.89,1.05,1.87,1.77,4.74,6.81,0.92,0.16,0.18,4.19,0.66,0.0,75.77,0.11,0.99,0.15,251.53,32.46,0.56,0.68,0.03,1874.0,0.7484999999999999,0.5603,155.0,9295.4082,6811.4995,5439.0562,1372.4434,7912.5444,5768.3306,3102.8835,2665.447,4470.5542
8,2019-06-05,5.7982,kenya_location3,19.15,4.54,82.19,1.52,15.86,23.17,15.92,83.25,17.51,8.45,2.44,2.02,0.16,94.22,4.74,9.28,0.76,20.48,2.07,13.58,7.25,0.49,6.68,0.77,0.8,0.29,0.01,1.95,0.72,3.01,2.85,4.73,0.67,10.02,1.71,0.36,2.1,0.7,0.31,0.21,4.35,0.0,0.98,7.67,10.0,0.89,2.12,1.5,5.18,7.45,1.0,0.17,0.18,3.95,0.61,0.0,76.47,0.11,0.99,0.16,255.74,34.55,1.2,-0.46,0.03,1874.0,1.2581999999999995,1.5831,156.0,9284.8496,6841.6626,5602.8652,1238.7975,8242.8418,5214.4038,2836.2976,2378.1064,3799.2537
9,2019-06-06,5.6028,kenya_location3,19.23,5.23,82.27,1.58,15.96,23.2,16.15,83.26,17.6,8.63,2.21,3.73,0.16,82.84,4.28,9.27,0.76,20.64,2.38,13.66,7.05,0.56,6.77,0.77,0.79,0.33,0.01,2.13,0.73,3.07,2.8,4.73,0.77,10.01,1.44,0.94,3.02,0.8,0.19,0.13,5.23,0.0,0.99,7.57,9.97,0.72,2.35,1.21,5.56,8.26,1.02,0.17,0.18,3.49,0.38,0.0,75.89,0.13,0.99,0.16,254.65,35.47,1.25,0.18,0.03,1874.0,0.3727999999999998,0.139,157.0,9274.8516,6647.2588,4975.4282,1671.8303999999998,7118.8755,6336.918,4359.6045,1977.3135000000002,5945.3594
