datetime,location,estimator_x,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_LW_DWN,T2M,RH2M,PS,WS2M,AOD_55_ADJ,CLOUD_AMT,PW,T2M_RANGE,PRECTOTCORR,Z0M,V2M,AIRMASS,DISPH,EVPTRNS,PBLTOP,TO3,RHOA,SRF_ALB_ADJ,EVLAND,GWETTOP,ALLSKY_KT,Observation period,ghi_extra_cams,ghi_clear_cams,bhi_clear_cams,dhi_clear_cams,dni_clear_cams,ghi_cams,bhi_cams,dhi_cams,dni_cams,Reliability,estimator_y,kt_cams,latitude,longitude,day_of_year,Month,altitude,dayofyear_sin,dayofyear_cos
2021-01-01,Aii-vu,nasa_power,4.74,2.57,1.87,9.06,22.28,84.95,91.63,1.5,0.21,94.1,3.88,6.6,22.46,0.05,0.1,2.98,0.26,0.37,86.84,245.5,1.07,0.15,3.44,0.79,0.5,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.529668,6.433319300000001,4.3261436,2.1071758,6.188585,4.950915,2.4238074000000003,2.5271074,3.01901,0.9826,cams,0.7695739585007073,3.159782,31.01098,1,1,950.0,0.017213356155834685,0.9998518392091162
2021-01-01,Arua Ad,nasa_power,4.73,2.73,2.15,9.08,20.49,85.17,88.38,1.9,0.36,94.8,3.86,7.67,12.89,0.06,0.15,2.98,0.3,0.61,83.76,244.94,1.04,0.14,3.81,0.85,0.5,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.5434463,6.5357192,4.4973114999999995,2.038408,6.4718784,4.9881117999999995,2.6932559,2.2948557000000003,3.4305749999999997,0.983,cams,0.7632077889760013,3.04679,30.9135,1,1,1202.0,0.017213356155834685,0.9998518392091162
2021-01-01,Bugema U,nasa_power,2.13,1.46,0.36,8.64,20.13,86.7,88.52,1.34,0.32,98.66,3.87,4.85,11.51,0.2,-0.59,2.73,0.99,0.46,83.95,244.13,1.04,0.16,2.14,0.83,0.22,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.839268599999999,6.9451592,5.2340181,1.7111409000000002,7.6676348,1.2402476,0.1039674,1.1362801999999999,0.12456969999999998,0.9847,cams,0.17857727436975096,0.5715,32.64165,1,1,1146.0,0.017213356155834685,0.9998518392091162
2021-01-01,Bukalasa AC,nasa_power,2.13,1.46,0.36,8.64,20.13,86.7,88.52,1.34,0.32,98.66,3.87,4.85,11.51,0.2,-0.59,2.73,0.99,0.46,83.95,244.13,1.04,0.16,2.14,0.83,0.22,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8228047,6.933438,5.2163696,1.7170681999999997,7.634728500000001,1.0760954999999999,0.0115931,1.0645024,0.014719099999999997,0.9851,cams,0.15520373875125154,0.712526,32.51243,1,1,1146.0,0.017213356155834685,0.9998518392091162
2021-01-01,Bukasa SS,nasa_power,2.13,1.46,0.36,8.64,20.13,86.7,88.52,1.34,0.32,98.66,3.87,4.85,11.51,0.2,-0.59,2.73,0.99,0.46,83.95,244.13,1.04,0.16,2.14,0.83,0.22,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8528447,6.979886200000001,5.3416934000000005,1.6381930000000002,7.8580103,1.1871693,0.0394661,1.1477032,0.06356269999999999,0.9851,cams,0.17008433461279066,0.45427,32.49455,1,1,1174.0,0.017213356155834685,0.9998518392091162
2021-01-01,Bulindi,nasa_power,3.33,2.03,1.25,9.25,22.54,75.68,90.09,2.17,0.32,94.27,4.2,5.75,6.04,0.06,-0.78,2.79,0.3,0.11,83.62,244.29,1.05,0.12,2.15,0.5,0.34,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.730167,6.7538442,4.8312471,1.9225969,6.915760700000001,2.8573701000000002,0.8015627,2.0558074,1.1670585,0.9809,cams,0.4230731440325497,1.498891,31.49754,1,1,1174.0,0.017213356155834685,0.9998518392091162
2021-01-01,Busitema UN,nasa_power,4.93,2.66,2.77,8.26,21.6,83.01,89.11,1.16,0.23,95.49,3.41,8.54,29.72,0.06,0.33,2.86,0.32,0.97,81.65,244.75,1.04,0.16,4.05,0.81,0.5,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8175918,7.031689,5.476015599999999,1.5556730000000003,7.894541,4.6934507000000005,2.8969614000000004,1.796489,3.82352,0.9851,cams,0.6674713145021062,0.756919,34.04617,1,1,1146.0,0.017213356155834685,0.9998518392091162
2021-01-01,Busoga C,nasa_power,3.94,2.1,1.69,8.77,20.65,85.29,88.6,1.49,0.23,95.8,3.94,4.26,14.6,0.38,-0.33,2.79,1.91,0.56,84.47,244.06,1.04,0.15,2.52,0.85,0.4,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8475908,6.946011699999999,5.1794282,1.7665834,7.5558394,1.5734979000000002,0.18125129999999998,1.3922466,0.26092730000000003,0.9851,cams,0.22653257264164994,0.499446,33.2634,1,1,1174.0,0.017213356155834685,0.9998518392091162
2021-01-01,Butambala,nasa_power,2.13,1.46,0.36,8.64,19.93,87.21,88.08,2.16,0.32,98.66,3.87,5.13,10.69,0.06,-1.26,2.73,0.31,0.53,83.82,244.01,1.04,0.16,2.67,0.71,0.22,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8841807,7.0984799999999995,5.6153296,1.4831503,8.2866992,1.9636969999999998,0.08434430000000001,1.8793528,0.216916,0.9847,cams,0.27663626579211326,0.18395,32.13239,1,1,1202.0,0.017213356155834685,0.9998518392091162
2021-01-01,Buvuma HQ,nasa_power,3.94,2.1,1.69,8.77,21.89,78.01,88.42,3.85,0.23,95.8,3.94,1.74,8.98,0.62,-1.66,2.79,3.15,0.74,80.48,243.2,1.04,0.15,3.15,0.95,0.4,2021-01-01T00:00:00.0/2021-01-02T00:00:00.0,9.8827139,6.9970951999999995,5.3520361,1.6450589999999998,7.8391294,4.408270000000001,1.4173562,2.9909136,1.7087455,0.9844,cams,0.6300142950749049,0.19692,33.27136,1,1,1174.0,0.017213356155834685,0.9998518392091162
