# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 1.7153
# Longitude (positive East, ISO 19115): 33.6186
# Altitude (m): 1131.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T00:00:00.0/2020-01-02T00:00:00.0;9699.1562;7331.0845;6334.4102;996.6746;9667.6328;7331.0845;6334.4102;996.6746;9667.6328;0.9865
2020-01-02T00:00:00.0/2020-01-03T00:00:00.0;9706.1738;7274.8804;6143.7466;1131.1338;9320.6133;7140.4941;5840.6284;1299.8656;8913.0938;0.9865
2020-01-03T00:00:00.0/2020-01-04T00:00:00.0;9713.6855;7270.6318;6295.7139;974.9179;9631.1201;6998.1650;5363.7163;1634.4491;8324.0645;0.9865
2020-01-04T00:00:00.0/2020-01-05T00:00:00.0;9721.7324;7184.0562;5942.0752;1241.9811;8932.4854;6153.7080;4306.4048;1847.3035;6437.6226;0.9861
2020-01-05T00:00:00.0/2020-01-06T00:00:00.0;9730.1680;7244.6416;6240.5664;1004.0753;9501.7539;6680.6758;4899.8359;1780.8398;6718.1606;0.9865
2020-01-06T00:00:00.0/2020-01-07T00:00:00.0;9739.1611;6922.9370;5180.2129;1742.7241;7573.3633;6179.2173;3752.9436;2426.2734;5748.2969;0.9861
2020-01-07T00:00:00.0/2020-01-08T00:00:00.0;9748.5137;7060.6396;5580.9790;1479.6609;8205.0664;6080.8071;3777.3396;2303.4678;6046.0068;0.9865
2020-01-08T00:00:00.0/2020-01-09T00:00:00.0;9758.4033;6975.6719;5267.2520;1708.4199;7700.9380;6746.7729;4752.6289;1994.1440;6984.7822;0.9861
2020-01-09T00:00:00.0/2020-01-10T00:00:00.0;9768.6182;7131.7300;5905.2446;1226.4858;8887.2793;7101.3647;5845.6318;1255.7329;8788.2871;0.9865
2020-01-10T00:00:00.0/2020-01-11T00:00:00.0;9779.3496;6992.1348;5481.8296;1510.3051;8077.2705;6976.7090;5463.1865;1513.5225;7954.5000;0.9861
2020-01-11T00:00:00.0/2020-01-12T00:00:00.0;9790.4297;7184.0630;5903.3042;1280.7588;8756.6553;6479.3325;4453.5591;2025.7738;7033.1226;0.9861
2020-01-12T00:00:00.0/2020-01-13T00:00:00.0;9801.8379;6132.5249;3560.1580;2572.3669;4927.5039;5908.0742;3312.2261;2595.8481;4414.4404;0.9865
2020-01-13T00:00:00.0/2020-01-14T00:00:00.0;9813.7266;6388.9746;3970.5652;2418.4092;5562.6519;5555.7007;2585.5898;2970.1108;3610.2910;0.9865
