TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9703.3779,6924.5151,5348.9751,1575.54,7844.1323,2899.7854,872.6318,2027.1537,976.3567,0.9861,2021-01-01
9710.7305,7071.8867,5553.4219,1518.465,8340.8477,6828.4688,5033.2959,1795.173,7708.3745,0.9865,2021-01-02
9718.6592,7214.1045,5875.7427,1338.3616,8709.7109,7071.1421,5546.0151,1525.127,8250.0068,0.9861,2021-01-03
9726.9834,7327.9458,6176.6104,1151.3353,9314.7461,6885.5967,4807.1934,2078.4031,7317.3408,0.9865,2021-01-04
9735.8662,7304.4209,6028.0254,1276.3959,9145.0518,6962.7104,5194.1777,1768.5327,8091.7383,0.9861,2021-01-05
9745.1152,7508.3999,6482.0405,1026.3597,9879.917,7502.2144,6470.6997,1031.5148,9813.3916,0.9865,2021-01-06
9754.8584,7407.6411,6269.3423,1138.2992,9527.5449,7165.9683,5589.6445,1576.3241,8428.3203,0.9865,2021-01-07
9765.0859,7275.1968,5925.5718,1349.6249,8853.0498,7096.9346,5465.1475,1631.7875,8289.8545,0.9861,2021-01-08
9775.6318,6478.4272,4026.2832,2452.144,5669.4546,5997.2471,3113.4312,2883.8162,4378.6372,0.9865,2021-01-09
9786.6787,6107.6553,3322.3149,2785.3403,4555.7388,5282.5234,2403.656,2878.8672,3030.2554,0.9757,2021-01-10
9798.0098,6502.7593,4090.4036,2412.3557,5702.7358,6034.2056,3119.2017,2915.0042,4478.9683,0.9865,2021-01-11
9809.8203,6750.1138,4576.2651,2173.8486,6533.5791,5930.291,3140.4797,2789.8115,4418.6143,0.9865,2021-01-12
9821.9404,7044.7979,5298.145,1746.653,7727.5928,6985.6846,5139.6597,1846.0248,7543.1172,0.9865,2021-01-13
9834.333,7171.0352,5598.7725,1572.2629,8353.2578,5898.8794,3657.6135,2241.2656,5280.4155,0.9868,2021-01-14
9847.167,7048.8979,5414.1772,1634.7207,7827.5859,6326.7354,3973.8469,2352.8884,5930.0952,0.9861,2021-01-15
9860.2412,6975.2725,5145.4722,1829.7999,7199.624,4419.2729,2164.7402,2254.533,3247.8552,0.9861,2021-01-16
9873.584,6924.1387,4882.5352,2041.6033,6897.6069,6551.9106,4203.0024,2348.9082,5908.6094,0.9861,2021-01-17
9887.2275,6919.6602,4760.1201,2159.54,6912.6343,5218.873,2467.147,2751.7263,3526.4639,0.9861,2021-01-18
9901.0967,7071.6191,5214.9575,1856.662,7617.5503,5622.5234,2862.1135,2760.4099,4750.4282,0.9861,2021-01-19
9915.2227,7296.1333,5776.5889,1519.5443,8371.3418,7067.8096,5064.2524,2003.5573,7323.5952,0.9701,2021-01-20
9929.4902,7387.3086,5943.2847,1444.0238,8773.3936,6838.7642,4195.7847,2642.9795,6507.5464,0.9861,2021-01-21
9943.9844,7326.98,5806.6436,1520.3363,8419.0107,6613.3149,4052.7556,2560.5591,5399.5176,0.9392,2021-01-22
9958.6309,7456.1079,6206.584,1249.5242,9172.6426,6697.1304,4901.0801,1796.0507,7398.9609,0.9861,2021-01-23
9973.4766,7381.4883,5803.6777,1577.8104,8491.2441,7279.6763,5467.3584,1812.3177,8075.3032,0.9858,2021-01-24
9988.3555,7508.9468,6264.5342,1244.4125,9213.7734,7196.937,5372.9023,1824.0347,8228.6631,0.9861,2021-01-25
10003.3926,7554.6943,6290.4375,1264.2567,9200.3301,7394.8403,5817.3682,1577.4722,8564.5908,0.9861,2021-01-26
10018.5049,7554.2476,6257.4204,1296.8268,9185.0322,7418.6436,6009.2534,1409.3901,8725.7529,0.9861,2021-01-27
10033.7373,7513.3828,6131.7622,1381.6206,8977.709,7480.3169,6060.1133,1420.2032,8861.5938,0.9858,2021-01-28
10048.9668,7584.8052,6398.4678,1186.3373,9285.5459,7443.9858,6100.7627,1343.223,8804.0273,0.9858,2021-01-29
10064.2148,7578.7148,6340.7222,1237.9927,9195.4473,6667.2861,4123.3877,2543.8979,6576.7593,0.9858,2021-01-30
10079.4619,7737.7842,6561.0083,1176.7759,9560.7578,7664.6479,6377.3794,1287.2683,9247.3574,0.9858,2021-01-31
10094.6475,7911.3462,6782.8911,1128.4551,9977.7891,7793.416,6379.564,1413.8518,9516.2295,0.9861,2021-02-01
10109.8984,7575.4746,6198.979,1376.4957,8895.9902,7555.9292,6161.9858,1393.9432,8780.8594,0.9858,2021-02-02
10125.0527,7551.4551,6194.7437,1356.7114,9017.7373,7551.4551,6194.7437,1356.7114,9017.7373,0.9858,2021-02-03
10140.1279,7573.8843,6202.6787,1371.2056,8863.9492,7532.5361,6075.9199,1456.6161,8728.0547,0.9806,2021-02-04
10155.1045,7192.5977,5262.9731,1929.6245,7245.0825,5631.4302,2753.1201,2878.3098,4114.7495,0.9858,2021-02-05
10169.9639,6482.9268,3645.3562,2837.5706,4858.0664,6422.2163,3612.8613,2809.3547,4733.8403,0.9858,2021-02-06
10184.6875,6990.9014,4798.2764,2192.625,6441.6411,6765.7651,4249.103,2516.6619,5753.3232,0.9858,2021-02-07
10199.2559,6703.6235,4095.3879,2608.2356,5487.0713,6637.52,3955.9822,2681.5381,5312.5229,0.9858,2021-02-08
10213.6504,7167.041,5096.835,2070.2058,6833.4189,7087.2969,4939.7397,2147.5571,6601.8447,0.9858,2021-02-09
10227.8535,7358.5879,5542.0806,1816.5073,7681.6255,6592.1758,4134.479,2457.6968,6075.9365,0.9858,2021-02-10
