Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1841203,-,-,-,1.73,33.62,0,1120,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2021,1,1,0,30,135.56,0.2,3.9000000000000004,0,0,0,4,18.5,100,886,0,0,0,0,18.5,14,1.2000000000000002
2021,1,1,1,30,122.43,0.2,3.9000000000000004,0,0,0,4,18.6,100,887,0,0,0,0,18.6,20,1.4000000000000001
2021,1,1,2,30,108.83,0.2,3.9000000000000004,0,0,0,4,18.6,100,888,0,0,0,0,18.6,30,1.6
2021,1,1,3,30,95.06,0.2,3.9000000000000004,0,0,0,4,18.8,98.48,888,0,0,0,0,19,41,1.8
2021,1,1,4,30,81.19,0.2,3.9000000000000004,40,465,111,4,19,94.38,889,4,0,0,4,19.900000000000002,53,2.3000000000000003
2021,1,1,5,30,67.6,0.2,3.9000000000000004,66,749,352,5,19.1,86.21000000000001,890,14,0,0,14,21.5,66,3
2021,1,1,6,30,54.35,0.2,3.9000000000000004,82,866,586,5,18.7,74.81,890,117,0,0,117,23.400000000000002,74,3.7
2021,1,1,7,30,41.910000000000004,0.2,3.9000000000000004,92,925,781,7,18,64.54,889,148,1,0,149,25.200000000000003,76,3.7
2021,1,1,8,30,31.32,0.2,3.9000000000000004,99,956,915,8,17.8,58.75,888,367,45,0,406,26.5,74,3.3000000000000003
2021,1,1,9,30,25.13,0.2,3.9000000000000004,102,968,979,8,17.6,55.88,887,343,492,0,789,27.200000000000003,71,2.7
