index,Date,Solar Zenith Angle (Degrees),Surface Albedo,Precipitable Water (cm),Clearsky DHI (W/m2),Clearsky DNI (W/m2),Clearsky GHI (W/m2),Cloud Type,Dew Point (C),Relative Humidity (%),Pressure (mbar),DHI (W/m2),DNI (W/m2),Fill Flag,GHI (W/m2),Temperature (C),Wind Direction (Degrees),Wind Speed (m/s)
0,2021-01-01 00:30:00,135.56,0.2,3.9,0,0,0,4,18.5,100.0,886,0,0,0,0,18.5,14,1.2000000000000002
1,2021-01-01 01:30:00,122.43,0.2,3.9,0,0,0,4,18.6,100.0,887,0,0,0,0,18.6,20,1.4
2,2021-01-01 02:30:00,108.83,0.2,3.9,0,0,0,4,18.6,100.0,888,0,0,0,0,18.6,30,1.6
3,2021-01-01 03:30:00,95.06,0.2,3.9,0,0,0,4,18.8,98.48,888,0,0,0,0,19.0,41,1.8
4,2021-01-01 04:30:00,81.19,0.2,3.9,40,465,111,4,19.0,94.38,889,4,0,0,4,19.9,53,2.3000000000000003
5,2021-01-01 05:30:00,67.6,0.2,3.9,66,749,352,5,19.1,86.21000000000001,890,14,0,0,14,21.5,66,3.0
6,2021-01-01 06:30:00,54.35,0.2,3.9,82,866,586,5,18.7,74.81,890,117,0,0,117,23.4,74,3.7
7,2021-01-01 07:30:00,41.91,0.2,3.9,92,925,781,7,18.0,64.54,889,148,1,0,149,25.200000000000003,76,3.7
8,2021-01-01 08:30:00,31.32,0.2,3.9,99,956,915,8,17.8,58.75,888,367,45,0,406,26.5,74,3.3000000000000003
9,2021-01-01 09:30:00,25.13,0.2,3.9,102,968,979,8,17.6,55.88,887,343,492,0,789,27.200000000000003,71,2.7
10,2021-01-01 10:30:00,26.62,0.2,3.9,103,964,965,8,17.5,54.71,886,276,610,0,822,27.4,65,2.2
11,2021-01-01 11:30:00,34.81,0.2,3.9,100,943,875,6,17.3,54.370000000000005,886,305,11,0,314,27.3,52,1.9
12,2021-01-01 12:30:00,46.26,0.2,3.9,93,900,715,6,17.2,55.25,885,56,0,0,56,26.9,26,1.6
13,2021-01-01 13:30:00,59.08,0.2,4.0,80,822,503,6,17.3,58.78,886,13,0,0,13,26.0,157,1.3
14,2021-01-01 14:30:00,72.49,0.2,4.0,61,668,262,6,18.1,66.77,886,5,0,0,5,24.700000000000003,294,1.0
15,2021-01-01 15:30:00,86.08,0.2,4.0,23,246,40,6,19.3,78.10000000000001,887,4,0,7,4,23.3,291,0.8
16,2021-01-01 16:30:00,100.05,0.2,3.9,0,0,0,6,19.5,83.69,888,0,0,0,0,22.4,169,0.8
17,2021-01-01 17:30:00,113.79,0.2,3.9,0,0,0,6,19.6,87.25,888,0,0,0,0,21.8,43,1.0
