air_temp,albedo,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,period_end,period
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T01:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T02:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T03:00:00Z,PT60M
20,0.14,1,2,1,1,1,0,1,1,2021-01-01T04:00:00Z,PT60M
21,0.14,40,403,113,180,44,0,44,43,2021-01-01T05:00:00Z,PT60M
22,0.14,69,713,344,448,114,0,114,110,2021-01-01T06:00:00Z,PT60M
24,0.14,84,834,571,678,196,0,196,189,2021-01-01T07:00:00Z,PT60M
24,0.14,93,895,758,862,194,0,194,188,2021-01-01T08:00:00Z,PT60M
25,0.14,98,925,887,987,353,19,370,361,2021-01-01T09:00:00Z,PT60M
26,0.14,106,930,945,1042,375,426,760,806,2021-01-01T10:00:00Z,PT60M
27,0.14,106,926,930,1027,382,396,736,778,2021-01-01T11:00:00Z,PT60M
27,0.14,102,905,841,942,364,21,382,373,2021-01-01T12:00:00Z,PT60M
26,0.14,95,861,687,790,87,0,87,84,2021-01-01T13:00:00Z,PT60M
24,0.14,84,778,481,586,68,0,68,66,2021-01-01T14:00:00Z,PT60M
22,0.14,64,608,248,341,66,0,66,64,2021-01-01T15:00:00Z,PT60M
21,0.14,21,174,44,74,20,0,20,19,2021-01-01T16:00:00Z,PT60M
21,0.14,0,0,0,0,0,0,0,0,2021-01-01T17:00:00Z,PT60M
21,0.14,0,0,0,0,0,0,0,0,2021-01-01T18:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T19:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T20:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T21:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T22:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-01T23:00:00Z,PT60M
20,0.14,0,0,0,0,0,0,0,0,2021-01-02T00:00:00Z,PT60M
19,0.14,0,0,0,0,0,0,0,0,2021-01-02T01:00:00Z,PT60M
19,0.14,0,0,0,0,0,0,0,0,2021-01-02T02:00:00Z,PT60M
19,0.14,0,0,0,0,0,0,0,0,2021-01-02T03:00:00Z,PT60M
19,0.14,1,2,1,1,1,2,1,1,2021-01-02T04:00:00Z,PT60M
20,0.14,41,395,112,178,41,395,112,178,2021-01-02T05:00:00Z,PT60M
21,0.14,69,723,347,452,69,723,347,452,2021-01-02T06:00:00Z,PT60M
22,0.14,83,847,576,685,83,847,576,685,2021-01-02T07:00:00Z,PT60M
24,0.14,92,909,767,872,92,909,767,872,2021-01-02T08:00:00Z,PT60M
26,0.14,97,942,899,1000,97,942,899,1000,2021-01-02T09:00:00Z,PT60M
27,0.14,99,955,961,1060,248,684,863,937,2021-01-02T10:00:00Z,PT60M
28,0.14,99,952,946,1046,357,467,773,824,2021-01-02T11:00:00Z,PT60M
29,0.14,96,931,857,960,289,542,731,796,2021-01-02T12:00:00Z,PT60M
29,0.14,94,882,701,807,239,535,604,672,2021-01-02T13:00:00Z,PT60M
29,0.14,84,801,494,601,84,801,494,601,2021-01-02T14:00:00Z,PT60M
28,0.14,64,633,257,354,64,633,257,354,2021-01-02T15:00:00Z,PT60M
26,0.14,21,189,46,79,25,92,39,54,2021-01-02T16:00:00Z,PT60M
25,0.14,0,0,0,0,0,0,0,0,2021-01-02T17:00:00Z,PT60M
24,0.14,0,0,0,0,0,0,0,0,2021-01-02T18:00:00Z,PT60M
