TAO (Wh/m2/day),Clear sky GHI (Wh/m2/day),Clear sky BHI (Wh/m2/day),Clear sky DHI (Wh/m2/day),Clear sky DNI (Wh/m2/day),GHI (Wh/m2/day),BHI (Wh/m2/day),DHI (Wh/m2/day),DNI (Wh/m2/day),Reliability,Time
9581.7656,6398.6064,4230.2056,2168.4014,6098.5112,4497.8589,2393.6155,2104.2437,2831.3972,0.9823,2021-01-01
9589.5039,6700.6152,5006.5669,1694.0486,7347.6323,3293.4856,1354.7646,1938.7208,1782.984,0.9826,2021-01-02
9597.9102,6836.0972,5281.2158,1554.8813,7729.6616,6836.0972,5281.2158,1554.8813,7729.6616,0.9823,2021-01-03
9606.749,6935.2319,5457.813,1477.4189,8164.7734,6320.5254,4341.0859,1979.4396,6390.98,0.9823,2021-01-04
9616.125,6986.0884,5586.4258,1399.6627,8387.5566,6788.2109,5030.6963,1757.5146,7626.6558,0.9823,2021-01-05
9625.9746,7067.9937,5749.7944,1318.1993,8606.7207,7067.9937,5749.7944,1318.1993,8606.7207,0.9823,2021-01-06
9636.3154,7016.604,5637.6021,1379.0021,8354.9932,6895.3638,5356.9873,1538.3761,8005.0908,0.9823,2021-01-07
9647.126,6377.189,4188.0088,2189.1804,5959.6455,6306.6831,4042.1479,2264.5354,5765.6733,0.9823,2021-01-08
9658.4277,6130.3403,3655.6211,2474.7195,5233.231,5865.6177,3134.051,2731.5667,4407.144,0.9819,2021-01-09
9670.085,6318.7041,4062.4717,2256.2327,5741.8569,6303.8218,4052.6501,2251.1719,5700.5586,0.9719,2021-01-10
9682.251,6200.6406,3821.5388,2379.1021,5327.623,6199.3442,3821.3179,2378.0266,5325.9497,0.9819,2021-01-11
9694.7314,6011.1572,3430.3823,2580.7751,4792.7964,5898.6108,3280.0486,2618.5623,4490.9448,0.9823,2021-01-12
9707.6533,6255.2354,3829.1284,2426.1069,5423.8394,6220.1699,3811.4392,2408.731,5331.6523,0.9823,2021-01-13
9721.002,6276.9258,3913.7666,2363.1594,5454.5308,5418.6992,2660.4949,2758.2041,3638.4812,0.9819,2021-01-14
9734.5908,6055.9634,3489.3704,2566.5933,4796.8545,3231.9685,1083.4038,2148.5647,1652.2637,0.9823,2021-01-15
