Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1788603,-,-,-,0.33,32.58,,1200,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2018,1,1,0,30,135.65,0.15,3.4000000000000004,0,0,0,3,17.2,83.51,880,0,0,0,0,20.1,295,1.2000000000000002
2018,1,1,1,30,122.69,0.15,3.4000000000000004,0,0,0,0,17.3,86.17,880,0,0,0,0,19.700000000000003,299,1.2000000000000002
2018,1,1,2,30,109.18,0.15,3.4000000000000004,0,0,0,6,17.3,88.28,880,0,0,0,0,19.3,301,1.3
2018,1,1,3,30,95.44,0.15,3.4000000000000004,0,0,0,6,17.3,87.10000000000001,881,0,0,0,0,19.5,302,1.7000000000000002
2018,1,1,4,30,81.56,0.15,3.4000000000000004,55,155,78,6,17.400000000000002,81.11,881,3,0,0,3,20.8,303,2.5
2018,1,1,5,30,67.92,0.15,3.4000000000000004,138,428,299,7,17.5,73.16,882,209,107,0,249,22.6,310,3.1
2018,1,1,6,30,54.550000000000004,0.15,3.5,178,606,529,7,17.1,64.15,882,307,142,0,389,24.3,318,3.3000000000000003
2018,1,1,7,30,41.88,0.15,3.5,198,711,727,6,16.3,56.050000000000004,882,397,128,0,492,25.700000000000003,327,3.4000000000000004
2018,1,1,8,30,30.86,0.15,3.5,211,767,870,6,15.5,49.58,881,464,147,0,590,26.900000000000002,337,3.2
2018,1,1,9,30,23.98,0.15,3.5,219,789,940,6,14.700000000000001,45.12,880,497,151,0,634,27.700000000000003,346,3
2018,1,1,10,30,24.97,0.15,3.5,229,770,927,7,14.100000000000001,41.97,879,491,166,0,642,28.200000000000003,351,2.5
2018,1,1,11,30,33.11,0.15,3.4000000000000004,220,744,844,7,13.5,40.29,878,443,263,0,664,28.3,352,1.9000000000000001
2018,1,1,12,30,44.64,0.15,3.4000000000000004,173,747,705,7,13.200000000000001,40.49,877,361,277,0,558,27.900000000000002,349,1.3
2018,1,1,13,30,57.53,0.15,3.4000000000000004,150,646,497,7,13.5,42.800000000000004,878,255,340,0,437,27.200000000000003,286,0.7000000000000001
2018,1,1,14,30,70.99,0.15,3.4000000000000004,110,465,261,7,14.700000000000001,50.47,878,113,8,0,115,25.8,207,0.8
2018,1,1,15,30,84.64,0.15,3.4000000000000004,35,127,47,7,17.8,68.84,879,21,0,7,21,23.900000000000002,186,1.5
2018,1,1,16,30,98.57000000000001,0.15,3.4000000000000004,0,0,0,7,17.8,73.46000000000001,879,0,0,0,0,22.8,185,2
2018,1,1,17,30,112.28,0.15,3.4000000000000004,0,0,0,1,17.6,75.10000000000001,880,0,0,0,0,22.200000000000003,189,2.4000000000000004
2018,1,1,18,30,125.71000000000001,0.15,3.4000000000000004,0,0,0,0,17.7,77.99,880,0,0,0,0,21.700000000000003,195,2.4000000000000004
2018,1,1,19,30,138.47,0.15,3.4000000000000004,0,0,0,0,17.8,80.4,880,0,0,0,0,21.3,201,2.2
2018,1,1,20,30,149.63,0.15,3.4000000000000004,0,0,0,0,17.8,82.69,880,0,0,0,0,20.900000000000002,210,1.9000000000000001
2018,1,1,21,30,156.68,0.15,3.4000000000000004,0,0,0,0,17.900000000000002,84.67,880,0,0,0,0,20.6,221,1.6
2018,1,1,22,30,155.71,0.15,3.4000000000000004,0,0,0,0,18,86.27,879,0,0,0,0,20.400000000000002,234,1.5
2018,1,1,23,30,147.43,0.15,3.4000000000000004,0,0,0,0,18.1,87.79,879,0,0,0,0,20.200000000000003,243,1.5
2018,1,2,0,30,135.78,0.15,3.4000000000000004,0,0,0,4,18.1,89.64,879,0,0,0,0,19.900000000000002,247,1.6
2018,1,2,1,30,122.82000000000001,0.15,3.4000000000000004,0,0,0,3,18.2,91.37,880,0,0,0,0,19.6,247,1.7000000000000002
2018,1,2,2,30,109.3,0.15,3.3000000000000003,0,0,0,0,18,92.45,880,0,0,0,0,19.3,247,1.7000000000000002
2018,1,2,3,30,95.55,0.15,3.3000000000000003,0,0,0,7,17.900000000000002,91.73,881,0,0,0,0,19.3,245,1.9000000000000001
2018,1,2,4,30,81.66,0.15,3.3000000000000003,55,156,77,6,17.900000000000002,86.64,882,3,0,0,3,20.200000000000003,244,2.4000000000000004
2018,1,2,5,30,68.01,0.15,3.3000000000000003,138,427,297,7,17.6,77.33,882,214,61,0,237,21.700000000000003,247,2.6
2018,1,2,6,30,54.63,0.15,3.3000000000000003,188,582,524,7,16.8,67,882,316,137,0,395,23.3,258,2.5
2018,1,2,7,30,41.93,0.15,3.3000000000000003,216,677,720,7,16.1,59.29,882,405,118,0,492,24.6,272,2.3000000000000003
2018,1,2,8,30,30.87,0.15,3.3000000000000003,232,731,859,7,15.4,53.63,881,474,181,0,630,25.5,283,2.1
2018,1,2,9,30,23.93,0.15,3.3000000000000003,247,745,928,7,14.600000000000001,49.54,880,432,400,0,797,26,285,1.7000000000000002
2018,1,2,10,30,24.84,0.15,3.3000000000000003,244,746,921,7,14,46.53,879,431,427,0,818,26.400000000000002,275,1.2000000000000002
2018,1,2,11,30,32.97,0.15,3.2,231,726,840,7,13.700000000000001,45.35,878,394,395,0,726,26.5,251,1
