Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1727824,-,-,-,2.73,31.38,3,653,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2020,1,1,0,30,158.63,0.17,4.6000000000000005,0,0,0,8,20.1,90.8,934,0,0,0,0,21.700000000000003,293,0.7000000000000001
2020,1,1,1,30,158.29,0.17,4.5,0,0,0,7,19.8,91.38,934,0,0,0,0,21.3,274,0.9
2020,1,1,2,30,149.86,0.17,4.4,0,0,0,4,19.400000000000002,91.59,933,0,0,0,0,20.8,269,1.1
2020,1,1,3,30,137.89000000000001,0.16,3,0,0,0,0,18.1,81.87,934,0,0,0,0,21.3,181,0.9
2020,1,1,4,30,124.79,0.16,2.9000000000000004,0,0,0,0,17.6,82.61,935,0,0,0,0,20.700000000000003,7,0.9
2020,1,1,5,30,111.2,0.16,2.9000000000000004,0,0,0,0,17.2,81.49,935,0,0,0,0,20.5,5,0.7000000000000001
2020,1,1,6,30,97.43,0.16,2.9000000000000004,0,0,0,0,17,78.71000000000001,936,0,0,0,0,20.8,161,0.6000000000000001
2020,1,1,7,30,83.53,0.16,3,37,301,71,0,17.5,73.89,937,37,301,0,71,22.400000000000002,324,0.4
2020,1,1,8,30,69.98,0.16,3.1,76,664,303,0,17.6,62.22,937,76,664,0,303,25.3,201,1
2020,1,1,9,30,56.730000000000004,0.16,3.2,93,819,542,0,17.6,51.03,937,93,819,0,542,28.700000000000003,76,2.5
2020,1,1,10,30,44.25,0.16,3.3000000000000003,101,898,745,0,17.5,44.39,936,101,898,0,745,31,75,3.4000000000000004
2020,1,1,11,30,33.47,0.16,3.3000000000000003,105,943,892,0,17.8,42.38,935,105,943,0,892,32.2,75,3.4000000000000004
2020,1,1,12,30,26.63,0.16,3.4000000000000004,96,978,970,0,18.1,41.34,934,96,978,0,970,33,74,3.4000000000000004
2020,1,1,13,30,26.92,0.16,3.4000000000000004,94,980,968,0,18.2,40.6,933,94,980,0,968,33.4,74,3.3000000000000003
2020,1,1,14,30,34.17,0.16,3.5,91,962,887,0,18.1,40.2,932,91,962,0,887,33.5,74,3.2
