datetime,ghi,estimator,location
2015-01-01,398942.868,cams,soroti
2015-01-02,422432.976,cams,soroti
2015-01-03,434112.408,cams,soroti
2015-01-04,380132.322,cams,soroti
2015-01-05,377428.842,cams,soroti
2015-01-06,321249.084,cams,soroti
2015-01-07,387766.176,cams,soroti
2015-01-08,390963.198,cams,soroti
2015-01-09,406396.848,cams,soroti
2015-01-10,378290.532,cams,soroti
2015-01-11,367418.874,cams,soroti
2015-01-12,373528.434,cams,soroti
2015-01-13,398827.068,cams,soroti
2015-01-14,422201.946,cams,soroti
2015-01-15,440906.412,cams,soroti
2015-01-16,424558.134,cams,soroti
2015-01-17,406597.428,cams,soroti
2015-01-18,428615.052,cams,soroti
2015-01-19,401245.278,cams,soroti
2015-01-20,386863.164,cams,soroti
2015-01-21,266054.46,cams,soroti
2015-01-22,364317.354,cams,soroti
2015-01-23,439680.78,cams,soroti
2015-01-24,388677.708,cams,soroti
2015-01-25,370718.04,cams,soroti
2015-01-26,343529.754,cams,soroti
2015-01-27,459058.272,cams,soroti
2015-01-28,334251.156,cams,soroti
2015-01-29,353587.812,cams,soroti
2015-01-30,368463.174,cams,soroti
2015-01-31,352452.486,cams,soroti
2015-02-01,408893.844,cams,soroti
2015-02-02,404217.198,cams,soroti
2015-02-03,308186.988,cams,soroti
2015-02-04,436056.498,cams,soroti
2015-02-05,427519.986,cams,soroti
2015-02-06,418375.17,cams,soroti
2015-02-07,436880.4,cams,soroti
2015-02-08,341181.828,cams,soroti
2015-02-09,370558.62,cams,soroti
2015-02-10,344513.91,cams,soroti
2015-02-11,429400.728,cams,soroti
2015-02-12,361998.522,cams,soroti
2015-02-13,281297.958,cams,soroti
2015-02-14,417905.652,cams,soroti
2015-02-15,123419.688,cams,soroti
2015-02-16,358890.822,cams,soroti
2015-02-17,110730.276,cams,soroti
2015-02-18,427654.626,cams,soroti
2015-02-19,471128.592,cams,soroti
2015-02-20,401346.684,cams,soroti
2015-02-21,302130.45,cams,soroti
2015-02-22,396519.354,cams,soroti
2015-02-23,330864.78,cams,soroti
2015-02-24,263832.798,cams,soroti
2015-02-25,294918.498,cams,soroti
2015-02-26,353808.93,cams,soroti
2015-02-27,454931.802,cams,soroti
2015-02-28,387701.292,cams,soroti
2015-03-01,363267.69,cams,soroti
2015-03-02,397352.058,cams,soroti
2015-03-03,304914.138,cams,soroti
2015-03-04,451855.458,cams,soroti
2015-03-05,361434.612,cams,soroti
2015-03-06,429025.062,cams,soroti
