datetime,ghi,estimator,location
2020-02-01,3850.0,nasa_power,soroti
2020-02-02,6090.0,nasa_power,soroti
2020-02-03,4520.0,nasa_power,soroti
2020-02-04,6580.0,nasa_power,soroti
2020-02-05,6270.0,nasa_power,soroti
2020-02-06,5480.0,nasa_power,soroti
2020-02-07,7370.0,nasa_power,soroti
2020-02-08,7570.0,nasa_power,soroti
2020-02-09,7610.0,nasa_power,soroti
2020-02-10,7800.0,nasa_power,soroti
2020-02-11,7530.0,nasa_power,soroti
2020-02-12,7310.0,nasa_power,soroti
2020-02-13,6600.0,nasa_power,soroti
2020-02-14,6530.0,nasa_power,soroti
2020-02-15,7280.0,nasa_power,soroti
2020-02-16,6980.0,nasa_power,soroti
2020-02-17,7220.0,nasa_power,soroti
2020-02-18,7150.0,nasa_power,soroti
2020-02-19,7050.0,nasa_power,soroti
2020-02-20,7320.0,nasa_power,soroti
2020-02-21,6500.0,nasa_power,soroti
2020-02-22,6720.0,nasa_power,soroti
2020-02-23,7160.0,nasa_power,soroti
2020-02-24,7180.0,nasa_power,soroti
2020-02-25,5570.0,nasa_power,soroti
2020-02-26,6520.0,nasa_power,soroti
2020-02-27,5970.0,nasa_power,soroti
2020-02-28,5670.0,nasa_power,soroti
2020-02-29,6370.0,nasa_power,soroti
2020-03-01,6360.0,nasa_power,soroti
2020-03-02,5090.0,nasa_power,soroti
2020-03-03,5550.0,nasa_power,soroti
2020-03-04,3420.0,nasa_power,soroti
2020-03-05,7190.0,nasa_power,soroti
2020-03-06,7440.0,nasa_power,soroti
2020-03-07,7470.0,nasa_power,soroti
2020-03-08,6070.0,nasa_power,soroti
2020-03-09,3960.0,nasa_power,soroti
2020-03-10,6560.0,nasa_power,soroti
2020-03-11,6540.0,nasa_power,soroti
2020-03-12,6050.0,nasa_power,soroti
2020-03-13,6630.0,nasa_power,soroti
2020-03-14,6820.0,nasa_power,soroti
2020-03-15,6300.0,nasa_power,soroti
2020-03-16,4490.0,nasa_power,soroti
2020-03-17,5910.0,nasa_power,soroti
2020-03-18,5990.0,nasa_power,soroti
2020-03-19,6700.0,nasa_power,soroti
2020-03-20,7090.0,nasa_power,soroti
2020-03-21,6310.0,nasa_power,soroti
2020-03-22,6710.0,nasa_power,soroti
2020-03-23,6920.0,nasa_power,soroti
2020-03-24,7010.0,nasa_power,soroti
2020-03-25,6430.0,nasa_power,soroti
2020-03-26,6110.0,nasa_power,soroti
2020-03-27,4990.0,nasa_power,soroti
2020-03-28,5310.0,nasa_power,soroti
2020-03-29,5140.0,nasa_power,soroti
2020-03-30,7440.0,nasa_power,soroti
2020-03-31,6630.0,nasa_power,soroti
2020-04-01,6810.0,nasa_power,soroti
2020-04-02,7590.0,nasa_power,soroti
2020-04-03,7090.0,nasa_power,soroti
2020-04-04,6490.0,nasa_power,soroti
2020-04-05,6280.0,nasa_power,soroti
2020-04-06,6370.0,nasa_power,soroti
2020-04-07,7390.0,nasa_power,soroti
2020-04-08,7350.0,nasa_power,soroti
2020-04-09,6360.0,nasa_power,soroti
2020-04-10,6230.0,nasa_power,soroti
2020-04-11,6680.0,nasa_power,soroti
2020-04-12,5830.0,nasa_power,soroti
2020-04-13,4700.0,nasa_power,soroti
2020-04-14,5680.0,nasa_power,soroti
2020-04-15,6260.0,nasa_power,soroti
2020-04-16,6690.0,nasa_power,soroti
2020-04-17,6520.0,nasa_power,soroti
2020-04-18,4500.0,nasa_power,soroti
2020-04-19,5720.0,nasa_power,soroti
2020-04-20,3200.0,nasa_power,soroti
2020-04-21,4270.0,nasa_power,soroti
2020-04-22,5090.0,nasa_power,soroti
2020-04-23,4900.0,nasa_power,soroti
2020-04-24,5720.0,nasa_power,soroti
2020-04-25,6050.0,nasa_power,soroti
2020-04-26,6500.0,nasa_power,soroti
2020-04-27,6330.0,nasa_power,soroti
2020-04-28,5400.0,nasa_power,soroti
2020-04-29,6840.0,nasa_power,soroti
2020-04-30,5780.0,nasa_power,soroti
2020-05-01,6520.0,nasa_power,soroti
2020-05-02,3000.0,nasa_power,soroti
2020-05-03,5980.0,nasa_power,soroti
2020-05-04,6480.0,nasa_power,soroti
2020-05-05,6160.0,nasa_power,soroti
2020-05-06,6600.0,nasa_power,soroti
2020-05-07,6800.0,nasa_power,soroti
2020-05-08,5110.0,nasa_power,soroti
2020-05-09,6090.0,nasa_power,soroti
2020-05-10,5660.0,nasa_power,soroti
2020-05-11,6420.0,nasa_power,soroti
2020-05-12,5990.0,nasa_power,soroti
2020-05-13,6880.0,nasa_power,soroti
2020-05-14,6680.0,nasa_power,soroti
2020-05-15,5440.0,nasa_power,soroti
2020-05-16,6460.0,nasa_power,soroti
2020-05-17,6220.0,nasa_power,soroti
2020-05-18,5910.0,nasa_power,soroti
2020-05-19,5610.0,nasa_power,soroti
2020-05-20,6530.0,nasa_power,soroti
2020-05-21,5790.0,nasa_power,soroti
2020-05-22,3440.0,nasa_power,soroti
