datetime,ghi,estimator,location
2020-01-01,6995,solcast,soroti
2020-01-02,6360,solcast,soroti
2020-01-03,6401,solcast,soroti
2020-01-04,5833,solcast,soroti
2020-01-05,6005,solcast,soroti
2020-01-06,5720,solcast,soroti
2020-01-07,5503,solcast,soroti
2020-01-08,6352,solcast,soroti
2020-01-09,6657,solcast,soroti
2020-01-10,6895,solcast,soroti
2020-01-11,6131,solcast,soroti
2020-01-12,6297,solcast,soroti
2020-01-13,5021,solcast,soroti
2020-01-14,6754,solcast,soroti
2020-01-15,6773,solcast,soroti
2020-01-16,6359,solcast,soroti
2020-01-17,6640,solcast,soroti
2020-01-18,6616,solcast,soroti
2020-01-19,6679,solcast,soroti
2020-01-20,6919,solcast,soroti
2020-01-21,7052,solcast,soroti
2020-01-22,6911,solcast,soroti
2020-01-23,6715,solcast,soroti
2020-01-24,6560,solcast,soroti
2020-01-25,5752,solcast,soroti
2020-01-26,4360,solcast,soroti
2020-01-27,3788,solcast,soroti
2020-01-28,4440,solcast,soroti
2020-01-29,4651,solcast,soroti
2020-01-30,4612,solcast,soroti
2020-01-31,4647,solcast,soroti
2020-02-01,2681,solcast,soroti
2020-02-02,5854,solcast,soroti
2020-02-03,4442,solcast,soroti
2020-02-04,6384,solcast,soroti
2020-02-05,5838,solcast,soroti
2020-02-06,5370,solcast,soroti
2020-02-07,7323,solcast,soroti
2020-02-08,7348,solcast,soroti
2020-02-09,7460,solcast,soroti
2020-02-10,7519,solcast,soroti
2020-02-11,7498,solcast,soroti
2020-02-12,6947,solcast,soroti
2020-02-13,6036,solcast,soroti
2020-02-14,6396,solcast,soroti
2020-02-15,7140,solcast,soroti
2020-02-16,6695,solcast,soroti
2020-02-17,7277,solcast,soroti
2020-02-18,7339,solcast,soroti
2020-02-19,6861,solcast,soroti
2020-02-20,7003,solcast,soroti
2020-02-21,6130,solcast,soroti
2020-02-22,6543,solcast,soroti
2020-02-23,7382,solcast,soroti
2020-02-24,6933,solcast,soroti
2020-02-25,5108,solcast,soroti
2020-02-26,6525,solcast,soroti
2020-02-27,5718,solcast,soroti
2020-02-28,5745,solcast,soroti
2020-02-29,5999,solcast,soroti
2020-03-01,5697,solcast,soroti
2020-03-02,4032,solcast,soroti
2020-03-03,5021,solcast,soroti
2020-03-04,2249,solcast,soroti
2020-03-05,6824,solcast,soroti
2020-03-06,7451,solcast,soroti
2020-03-07,7113,solcast,soroti
2020-03-08,6428,solcast,soroti
2020-03-09,2973,solcast,soroti
2020-03-10,6177,solcast,soroti
2020-03-11,6516,solcast,soroti
2020-03-12,6438,solcast,soroti
2020-03-13,6181,solcast,soroti
2020-03-14,6274,solcast,soroti
2020-03-15,5605,solcast,soroti
2020-03-16,5170,solcast,soroti
2020-03-17,5096,solcast,soroti
2020-03-18,5498,solcast,soroti
2020-03-19,7121,solcast,soroti
2020-03-20,7466,solcast,soroti
2020-03-21,6353,solcast,soroti
2020-03-22,6959,solcast,soroti
2020-03-23,6744,solcast,soroti
2020-03-24,6363,solcast,soroti
2020-03-25,5764,solcast,soroti
2020-03-26,6138,solcast,soroti
2020-03-27,3974,solcast,soroti
2020-03-28,4154,solcast,soroti
2020-03-29,4533,solcast,soroti
2020-03-30,7254,solcast,soroti
2020-03-31,6948,solcast,soroti
