,datetime,ghi,location,latitude,longitude
0,2020-01-01,7012.917,wadelai,2.7333,31.4
1,2020-01-02,7075.4785,wadelai,2.7333,31.4
2,2020-01-03,6828.0933,wadelai,2.7333,31.4
3,2020-01-04,6129.6538,wadelai,2.7333,31.4
4,2020-01-05,6581.5469,wadelai,2.7333,31.4
5,2020-01-06,6347.7158,wadelai,2.7333,31.4
6,2020-01-07,5123.8472,wadelai,2.7333,31.4
7,2020-01-08,5297.9985,wadelai,2.7333,31.4
8,2020-01-09,6974.5278,wadelai,2.7333,31.4
9,2020-01-10,6862.3975,wadelai,2.7333,31.4
10,2020-01-11,6937.2925,wadelai,2.7333,31.4
11,2020-01-12,6565.7378,wadelai,2.7333,31.4
12,2020-01-13,5754.5752,wadelai,2.7333,31.4
13,2020-01-14,6496.5566,wadelai,2.7333,31.4
14,2020-01-15,6532.7046,wadelai,2.7333,31.4
15,2020-01-16,7232.7725,wadelai,2.7333,31.4
16,2020-01-17,6674.1782,wadelai,2.7333,31.4
17,2020-01-18,6293.5024,wadelai,2.7333,31.4
18,2020-01-19,5859.1709,wadelai,2.7333,31.4
19,2020-01-20,6635.0151,wadelai,2.7333,31.4
20,2020-01-21,6418.7036,wadelai,2.7333,31.4
21,2020-01-22,6737.4033,wadelai,2.7333,31.4
22,2020-01-23,6391.0864,wadelai,2.7333,31.4
23,2020-01-24,6293.4272,wadelai,2.7333,31.4
24,2020-01-25,6360.5967,wadelai,2.7333,31.4
25,2020-01-26,6203.3535,wadelai,2.7333,31.4
26,2020-01-27,6445.3154,wadelai,2.7333,31.4
27,2020-01-28,2406.1951,wadelai,2.7333,31.4
28,2020-01-29,4566.4058,wadelai,2.7333,31.4
29,2020-01-30,5912.3267,wadelai,2.7333,31.4
30,2020-01-31,2462.4568,wadelai,2.7333,31.4
31,2020-02-01,3848.0684,wadelai,2.7333,31.4
32,2020-02-02,6852.2866,wadelai,2.7333,31.4
33,2020-02-03,4075.01,wadelai,2.7333,31.4
34,2020-02-04,4625.1562,wadelai,2.7333,31.4
35,2020-02-05,3415.6978,wadelai,2.7333,31.4
36,2020-02-06,6639.5928,wadelai,2.7333,31.4
37,2020-02-07,6951.0859,wadelai,2.7333,31.4
38,2020-02-08,7084.0645,wadelai,2.7333,31.4
39,2020-02-09,7379.1235,wadelai,2.7333,31.4
40,2020-02-10,7234.8311,wadelai,2.7333,31.4
41,2020-02-11,7374.8369,wadelai,2.7333,31.4
42,2020-02-12,7170.2402,wadelai,2.7333,31.4
43,2020-02-13,6772.2178,wadelai,2.7333,31.4
44,2020-02-14,4775.6284,wadelai,2.7333,31.4
45,2020-02-15,7490.6406,wadelai,2.7333,31.4
46,2020-02-16,7186.1216,wadelai,2.7333,31.4
47,2020-02-17,6740.9077,wadelai,2.7333,31.4
