datetime,ghi,estimator,location
2020-02-01,3770.0,nasa_power,wadelai
2020-02-02,6330.0,nasa_power,wadelai
2020-02-03,3600.0,nasa_power,wadelai
2020-02-04,5000.0,nasa_power,wadelai
2020-02-05,3780.0,nasa_power,wadelai
2020-02-06,5400.0,nasa_power,wadelai
2020-02-07,6840.0,nasa_power,wadelai
2020-02-08,7110.0,nasa_power,wadelai
2020-02-09,7400.0,nasa_power,wadelai
2020-02-10,7390.0,nasa_power,wadelai
2020-02-11,7310.0,nasa_power,wadelai
2020-02-12,7050.0,nasa_power,wadelai
2020-02-13,6750.0,nasa_power,wadelai
2020-02-14,4620.0,nasa_power,wadelai
2020-02-15,7020.0,nasa_power,wadelai
2020-02-16,7220.0,nasa_power,wadelai
2020-02-17,6710.0,nasa_power,wadelai
2020-02-18,6250.0,nasa_power,wadelai
2020-02-19,5940.0,nasa_power,wadelai
2020-02-20,6960.0,nasa_power,wadelai
2020-02-21,6990.0,nasa_power,wadelai
2020-02-22,6160.0,nasa_power,wadelai
2020-02-23,5950.0,nasa_power,wadelai
2020-02-24,6750.0,nasa_power,wadelai
2020-02-25,6120.0,nasa_power,wadelai
2020-02-26,6760.0,nasa_power,wadelai
2020-02-27,5930.0,nasa_power,wadelai
2020-02-28,3540.0,nasa_power,wadelai
2020-02-29,6070.0,nasa_power,wadelai
2020-03-01,4440.0,nasa_power,wadelai
2020-03-02,5680.0,nasa_power,wadelai
2020-03-03,5970.0,nasa_power,wadelai
2020-03-04,5770.0,nasa_power,wadelai
2020-03-05,6770.0,nasa_power,wadelai
2020-03-06,6860.0,nasa_power,wadelai
2020-03-07,6550.0,nasa_power,wadelai
2020-03-08,5380.0,nasa_power,wadelai
2020-03-09,5100.0,nasa_power,wadelai
2020-03-10,7050.0,nasa_power,wadelai
2020-03-11,5520.0,nasa_power,wadelai
2020-03-12,6590.0,nasa_power,wadelai
2020-03-13,5920.0,nasa_power,wadelai
2020-03-14,5750.0,nasa_power,wadelai
2020-03-15,5310.0,nasa_power,wadelai
2020-03-16,5700.0,nasa_power,wadelai
2020-03-17,5930.0,nasa_power,wadelai
2020-03-18,3240.0,nasa_power,wadelai
2020-03-19,6550.0,nasa_power,wadelai
2020-03-20,6620.0,nasa_power,wadelai
2020-03-21,6220.0,nasa_power,wadelai
2020-03-22,6040.0,nasa_power,wadelai
2020-03-23,6370.0,nasa_power,wadelai
2020-03-24,5230.0,nasa_power,wadelai
2020-03-25,5170.0,nasa_power,wadelai
2020-03-26,6690.0,nasa_power,wadelai
2020-03-27,4440.0,nasa_power,wadelai
2020-03-28,6180.0,nasa_power,wadelai
2020-03-29,4650.0,nasa_power,wadelai
2020-03-30,7130.0,nasa_power,wadelai
2020-03-31,5130.0,nasa_power,wadelai
2020-04-01,6740.0,nasa_power,wadelai
2020-04-02,6970.0,nasa_power,wadelai
2020-04-03,5620.0,nasa_power,wadelai
2020-04-04,6640.0,nasa_power,wadelai
