datetime,ghi,estimator,location
2020-01-01,6630,solcast,wadelai
2020-01-02,6586,solcast,wadelai
2020-01-03,6385,solcast,wadelai
2020-01-04,5702,solcast,wadelai
2020-01-05,5960,solcast,wadelai
2020-01-06,5845,solcast,wadelai
2020-01-07,4624,solcast,wadelai
2020-01-08,4808,solcast,wadelai
2020-01-09,6506,solcast,wadelai
2020-01-10,6550,solcast,wadelai
2020-01-11,6660,solcast,wadelai
2020-01-12,6565,solcast,wadelai
2020-01-13,5376,solcast,wadelai
2020-01-14,6271,solcast,wadelai
2020-01-15,6300,solcast,wadelai
2020-01-16,6608,solcast,wadelai
2020-01-17,6235,solcast,wadelai
2020-01-18,6266,solcast,wadelai
2020-01-19,5816,solcast,wadelai
2020-01-20,6449,solcast,wadelai
2020-01-21,6259,solcast,wadelai
2020-01-22,6495,solcast,wadelai
2020-01-23,5899,solcast,wadelai
2020-01-24,6393,solcast,wadelai
2020-01-25,6030,solcast,wadelai
2020-01-26,5389,solcast,wadelai
2020-01-27,5663,solcast,wadelai
2020-01-28,2562,solcast,wadelai
2020-01-29,4023,solcast,wadelai
2020-01-30,5341,solcast,wadelai
2020-01-31,2527,solcast,wadelai
2020-02-01,3936,solcast,wadelai
2020-02-02,6126,solcast,wadelai
2020-02-03,3915,solcast,wadelai
2020-02-04,4806,solcast,wadelai
2020-02-05,3464,solcast,wadelai
2020-02-06,5962,solcast,wadelai
2020-02-07,6189,solcast,wadelai
2020-02-08,6503,solcast,wadelai
2020-02-09,7028,solcast,wadelai
2020-02-10,6948,solcast,wadelai
2020-02-11,6931,solcast,wadelai
2020-02-12,6849,solcast,wadelai
2020-02-13,6555,solcast,wadelai
2020-02-14,4397,solcast,wadelai
2020-02-15,6512,solcast,wadelai
2020-02-16,6398,solcast,wadelai
2020-02-17,6203,solcast,wadelai
2020-02-18,5631,solcast,wadelai
2020-02-19,6138,solcast,wadelai
2020-02-20,6891,solcast,wadelai
2020-02-21,6837,solcast,wadelai
2020-02-22,5674,solcast,wadelai
2020-02-23,5757,solcast,wadelai
2020-02-24,6783,solcast,wadelai
2020-02-25,5824,solcast,wadelai
2020-02-26,6706,solcast,wadelai
2020-02-27,5481,solcast,wadelai
2020-02-28,3086,solcast,wadelai
2020-02-29,5672,solcast,wadelai
2020-03-01,4145,solcast,wadelai
2020-03-02,5477,solcast,wadelai
2020-03-03,5719,solcast,wadelai
2020-03-04,5894,solcast,wadelai
2020-03-05,6829,solcast,wadelai
2020-03-06,6637,solcast,wadelai
2020-03-07,5870,solcast,wadelai
2020-03-08,4664,solcast,wadelai
2020-03-09,4628,solcast,wadelai
2020-03-10,7052,solcast,wadelai
2020-03-11,5612,solcast,wadelai
2020-03-12,6852,solcast,wadelai
2020-03-13,5983,solcast,wadelai
2020-03-14,5567,solcast,wadelai
2020-03-15,4621,solcast,wadelai
2020-03-16,4376,solcast,wadelai
2020-03-17,5250,solcast,wadelai
2020-03-18,2760,solcast,wadelai
2020-03-19,6350,solcast,wadelai
2020-03-20,6608,solcast,wadelai
2020-03-21,6219,solcast,wadelai
2020-03-22,6136,solcast,wadelai
2020-03-23,6080,solcast,wadelai
2020-03-24,4424,solcast,wadelai
2020-03-25,4680,solcast,wadelai
2020-03-26,6657,solcast,wadelai
2020-03-27,4002,solcast,wadelai
2020-03-28,5991,solcast,wadelai
2020-03-29,3998,solcast,wadelai
2020-03-30,6831,solcast,wadelai
2020-03-31,4653,solcast,wadelai
2020-04-01,6877,solcast,wadelai
2020-04-02,7275,solcast,wadelai
2020-04-03,5635,solcast,wadelai
2020-04-04,6390,solcast,wadelai
2020-04-05,6271,solcast,wadelai
2020-04-06,7196,solcast,wadelai
2020-04-07,7164,solcast,wadelai
2020-04-08,7201,solcast,wadelai
2020-04-09,6143,solcast,wadelai
2020-04-10,5646,solcast,wadelai
2020-04-11,6721,solcast,wadelai
2020-04-12,6254,solcast,wadelai
2020-04-13,4924,solcast,wadelai
2020-04-14,6021,solcast,wadelai
2020-04-15,5511,solcast,wadelai
2020-04-16,6958,solcast,wadelai
2020-04-17,5758,solcast,wadelai
2020-04-18,3870,solcast,wadelai
2020-04-19,6534,solcast,wadelai
2020-04-20,1693,solcast,wadelai
2020-04-21,6040,solcast,wadelai
2020-04-22,3159,solcast,wadelai
2020-04-23,6042,solcast,wadelai
2020-04-24,6138,solcast,wadelai
2020-04-25,6065,solcast,wadelai
2020-04-26,6789,solcast,wadelai
2020-04-27,6026,solcast,wadelai
2020-04-28,5755,solcast,wadelai
2020-04-29,6791,solcast,wadelai
2020-04-30,5089,solcast,wadelai
2020-05-01,5162,solcast,wadelai
2020-05-02,2961,solcast,wadelai
2020-05-03,5542,solcast,wadelai
2020-05-04,6944,solcast,wadelai
2020-05-05,5610,solcast,wadelai
2020-05-06,6435,solcast,wadelai
2020-05-07,6348,solcast,wadelai
2020-05-08,4778,solcast,wadelai
2020-05-09,6120,solcast,wadelai
2020-05-10,6251,solcast,wadelai
2020-05-11,6047,solcast,wadelai
2020-05-12,5765,solcast,wadelai
2020-05-13,6575,solcast,wadelai
2020-05-14,5278,solcast,wadelai
2020-05-15,5308,solcast,wadelai
2020-05-16,5568,solcast,wadelai
2020-05-17,6528,solcast,wadelai
2020-05-18,4720,solcast,wadelai
2020-05-19,6411,solcast,wadelai
2020-05-20,5780,solcast,wadelai
2020-05-21,5200,solcast,wadelai
2020-05-22,1284,solcast,wadelai
2020-05-23,6273,solcast,wadelai
2020-05-24,6442,solcast,wadelai
2020-05-25,6643,solcast,wadelai
2020-05-26,5896,solcast,wadelai
2020-05-27,6443,solcast,wadelai
2020-05-28,6085,solcast,wadelai
2020-05-29,5109,solcast,wadelai
2020-05-30,5212,solcast,wadelai
2020-05-31,3148,solcast,wadelai
2020-06-01,6439,solcast,wadelai
2020-06-02,6092,solcast,wadelai
2020-06-03,5767,solcast,wadelai
2020-06-04,5014,solcast,wadelai
2020-06-05,6006,solcast,wadelai
2020-06-06,4998,solcast,wadelai
2020-06-07,5295,solcast,wadelai
2020-06-08,4756,solcast,wadelai
2020-06-09,5655,solcast,wadelai
2020-06-10,4482,solcast,wadelai
2020-06-11,5007,solcast,wadelai
2020-06-12,5715,solcast,wadelai
2020-06-13,5975,solcast,wadelai
2020-06-14,6228,solcast,wadelai
2020-06-15,5664,solcast,wadelai
2020-06-16,5852,solcast,wadelai
2020-06-17,4372,solcast,wadelai
2020-06-18,5273,solcast,wadelai
2020-06-19,3201,solcast,wadelai
2020-06-20,2406,solcast,wadelai
2020-06-21,4537,solcast,wadelai
2020-06-22,5134,solcast,wadelai
2020-06-23,5678,solcast,wadelai
2020-06-24,5441,solcast,wadelai
2020-06-25,5083,solcast,wadelai
2020-06-26,4375,solcast,wadelai
2020-06-27,5888,solcast,wadelai
2020-06-28,5328,solcast,wadelai
2020-06-29,5635,solcast,wadelai
2020-06-30,5036,solcast,wadelai
2020-07-01,3927,solcast,wadelai
2020-07-02,5158,solcast,wadelai
2020-07-03,5960,solcast,wadelai
2020-07-04,5446,solcast,wadelai
2020-07-05,5587,solcast,wadelai
2020-07-06,2157,solcast,wadelai
2020-07-07,3521,solcast,wadelai
2020-07-08,3117,solcast,wadelai
2020-07-09,4896,solcast,wadelai
2020-07-10,5247,solcast,wadelai
2020-07-11,4951,solcast,wadelai
2020-07-12,6046,solcast,wadelai
2020-07-13,5340,solcast,wadelai
2020-07-14,5352,solcast,wadelai
2020-07-15,4563,solcast,wadelai
2020-07-16,4205,solcast,wadelai
2020-07-17,5424,solcast,wadelai
2020-07-18,3401,solcast,wadelai
2020-07-19,5085,solcast,wadelai
2020-07-20,6083,solcast,wadelai
2020-07-21,4365,solcast,wadelai
2020-07-22,1964,solcast,wadelai
2020-07-23,4262,solcast,wadelai
2020-07-24,4536,solcast,wadelai
2020-07-25,3352,solcast,wadelai
2020-07-26,3182,solcast,wadelai
2020-07-27,2835,solcast,wadelai
2020-07-28,1554,solcast,wadelai
2020-07-29,5753,solcast,wadelai
2020-07-30,5306,solcast,wadelai
2020-07-31,6171,solcast,wadelai
2020-08-01,6309,solcast,wadelai
2020-08-02,6248,solcast,wadelai
2020-08-03,4230,solcast,wadelai
2020-08-04,4548,solcast,wadelai
2020-08-05,5378,solcast,wadelai
2020-08-06,5658,solcast,wadelai
2020-08-07,5868,solcast,wadelai
2020-08-08,4783,solcast,wadelai
2020-08-09,3248,solcast,wadelai
2020-08-10,3764,solcast,wadelai
2020-08-11,6380,solcast,wadelai
2020-08-12,6461,solcast,wadelai
2020-08-13,6253,solcast,wadelai
2020-08-14,6354,solcast,wadelai
2020-08-15,5654,solcast,wadelai
2020-08-16,4394,solcast,wadelai
2020-08-17,5309,solcast,wadelai
2020-08-18,4168,solcast,wadelai
2020-08-19,5174,solcast,wadelai
2020-08-20,4205,solcast,wadelai
2020-08-21,5953,solcast,wadelai
2020-08-22,4682,solcast,wadelai
2020-08-23,6022,solcast,wadelai
2020-08-24,4528,solcast,wadelai
2020-08-25,5169,solcast,wadelai
2020-08-26,6217,solcast,wadelai
2020-08-27,5849,solcast,wadelai
2020-08-28,6195,solcast,wadelai
2020-08-29,5719,solcast,wadelai
2020-08-30,6064,solcast,wadelai
2020-08-31,3322,solcast,wadelai
2020-09-01,4492,solcast,wadelai
2020-09-02,4604,solcast,wadelai
2020-09-03,6284,solcast,wadelai
2020-09-04,6453,solcast,wadelai
