MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-09-19,4763.7,Kenya,-0.400000,35.920000
2024-09-19,4243.524,Kenya,-1.494448,37.057094
2024-09-19,3860.33,Kenya,-1.491302,37.052862
2024-09-19,4764.821,Kenya,-1.451315,36.973008
2024-09-19,7052.209,Kenya,-0.227185,35.884984
2024-09-19,6606.752,Kenya,-1.451111,36.975687
2024-09-19,4649.952,Kenya,-1.494448,37.057094
2024-09-19,14.381,Kenya,-0.469974,35.181874
2024-09-19,5734.538,Kenya,-1.451111,36.975687
2024-09-19,5084.072,Kenya,-0.224000,35.880000
2024-09-19,6197.273,Kenya,-0.220000,35.860000
2024-09-19,4882.382,Kenya,-1.491302,37.052862
2024-09-19,5982.617,Kenya,-0.220000,35.860000
2024-09-19,5862.258,Kenya,-0.982000,37.053900
2024-09-24,4235.993,Kenya,-0.982000,37.053900
2024-09-24,5192.918,Kenya,-1.451111,36.975687
2024-09-24,4137.293,Kenya,-1.451315,36.973008
2024-09-24,6746.211,Kenya,-0.400000,35.920000
2024-09-24,7375.413,Kenya,-0.220000,35.860000
2024-09-24,4848.042,Kenya,-1.451111,36.975687
2024-09-24,4491.171,Kenya,-1.494448,37.057094
2024-09-24,6110.841,Kenya,-0.224000,35.880000
2024-09-24,4291.897,Kenya,-1.494448,37.057094
2024-09-24,3787.452,Kenya,-1.491302,37.052862
2024-09-24,4663.391,Kenya,-0.469974,35.181874
2024-09-24,4742.467,Kenya,-1.491302,37.052862
2024-09-24,7606.29,Kenya,-0.220000,35.860000
2024-09-21,4747.046,Kenya,-0.469974,35.181874
2024-09-21,3318.113,Kenya,-1.494448,37.057094
2024-09-21,6305.555,Kenya,-0.220000,35.860000
2024-09-21,3656.658,Kenya,-1.494448,37.057094
2024-09-21,5075.089,Kenya,-0.982000,37.053900
2024-09-21,3636.748,Kenya,-1.491302,37.052862
2024-09-21,4055.748,Kenya,-1.451315,36.973008
2024-09-21,4975.412,Kenya,-0.224000,35.880000
2024-09-26,5198.562,Kenya,-1.491302,37.052862
2024-09-26,4213.698,Kenya,-1.491302,37.052862
2024-09-26,6037.444,Kenya,-0.982000,37.053900
2024-09-26,6905.895,Kenya,-0.400000,35.920000
2024-09-29,4472.246,Kenya,-1.451315,36.973008
2024-09-29,3794.108,Kenya,-1.494448,37.057094
2024-09-29,3401.349,Kenya,-1.491302,37.052862
2024-09-29,5177.118,Kenya,-1.451111,36.975687
2024-09-29,5077.513,Kenya,-1.451111,36.975687
2024-09-29,5277.363,Kenya,-0.220000,35.860000
2024-10-03,6806.239,Kenya,-0.400000,35.920000
2024-10-03,5609.698,Kenya,-1.494448,37.057094
2024-10-03,4723.892,Kenya,-1.491302,37.052862
2024-10-03,5721.863,Kenya,-1.491302,37.052862
2024-10-03,3725.226,Kenya,-1.451315,36.973008
2024-10-03,4547.936,Kenya,-0.982000,37.053900
2024-10-03,-0.333,Kenya,-0.224000,35.880000
2024-10-03,5284.085,Kenya,-0.469974,35.181874
2024-10-03,4298.345,Kenya,-1.451111,36.975687
2024-10-03,6379.311,Kenya,-0.220000,35.860000
2024-10-03,5824.193,Kenya,-1.494448,37.057094
2024-10-08,5913.973,Kenya,-0.400000,35.920000
2024-10-08,5484.377,Kenya,-1.451111,36.975687
2024-10-08,4366.93,Kenya,-1.491302,37.052862
2024-10-08,5811.837,Kenya,-0.220000,35.860000
2024-10-08,5017.102,Kenya,-0.982000,37.053900
2024-10-08,4428.11,Kenya,-1.494448,37.057094
2024-10-06,2655.618,Kenya,-1.491302,37.052862
2024-10-06,3504.547,Kenya,-1.451111,36.975687
2024-10-06,5099.047,Kenya,-0.400000,35.920000
2024-10-06,3197.6,Kenya,-1.491302,37.052862
