MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-09-01,6428.052,Egypt,29.887561,32.460447,Location1
2023-09-02,6601.826,Egypt,29.887561,32.460447,Location1
2023-09-03,6600.638,Egypt,29.887561,32.460447,Location1
2023-09-04,6391.094,Egypt,29.887561,32.460447,Location1
2023-09-05,6373.021,Egypt,29.887561,32.460447,Location1
2023-09-06,6223.461,Egypt,29.887561,32.460447,Location1
2023-09-07,6122.273,Egypt,29.887561,32.460447,Location1
2023-09-08,6123.146,Egypt,29.887561,32.460447,Location1
2023-09-09,5986.319,Egypt,29.887561,32.460447,Location1
2023-09-10,6084.939,Egypt,29.887561,32.460447,Location1
2023-09-11,5764.704,Egypt,29.887561,32.460447,Location1
2023-09-12,4736.362,Egypt,29.887561,32.460447,Location1
2023-09-13,4684.067,Egypt,29.887561,32.460447,Location1
2023-09-14,5873.937,Egypt,29.887561,32.460447,Location1
2023-09-15,6028.856,Egypt,29.887561,32.460447,Location1
2023-09-16,5881.154,Egypt,29.887561,32.460447,Location1
2023-09-17,5843.54,Egypt,29.887561,32.460447,Location1
2023-09-18,5813.349,Egypt,29.887561,32.460447,Location1
2023-09-19,5479.843,Egypt,29.887561,32.460447,Location1
2023-09-20,5531.252,Egypt,29.887561,32.460447,Location1
2023-09-21,5594.21,Egypt,29.887561,32.460447,Location1
2023-09-22,5516.058,Egypt,29.887561,32.460447,Location1
2023-09-23,5502.247,Egypt,29.887561,32.460447,Location1
2023-09-24,5484.176,Egypt,29.887561,32.460447,Location1
2023-09-25,5513.359,Egypt,29.887561,32.460447,Location1
2023-09-26,5426.561,Egypt,29.887561,32.460447,Location1
2023-09-27,5436.549,Egypt,29.887561,32.460447,Location1
2023-09-28,5180.499,Egypt,29.887561,32.460447,Location1
2023-09-29,5388.585,Egypt,29.887561,32.460447,Location1
2023-09-30,5057.016,Egypt,29.887561,32.460447,Location1
2023-10-01,3555.821,Egypt,29.887561,32.460447,Location1
2023-10-02,3339.454,Egypt,29.887561,32.460447,Location1
2023-10-03,2800.32,Egypt,29.887561,32.460447,Location1
2023-10-04,4401.438,Egypt,29.887561,32.460447,Location1
2023-10-05,4528.185,Egypt,29.887561,32.460447,Location1
2023-10-06,4979.459,Egypt,29.887561,32.460447,Location1
2023-10-07,4088.566,Egypt,29.887561,32.460447,Location1
2023-10-08,5118.058,Egypt,29.887561,32.460447,Location1
2023-10-09,3782.733,Egypt,29.887561,32.460447,Location1
2023-10-10,5255.338,Egypt,29.887561,32.460447,Location1
2023-10-11,4717.823,Egypt,29.887561,32.460447,Location1
2023-10-12,5088.66,Egypt,29.887561,32.460447,Location1
2023-10-13,4852.191,Egypt,29.887561,32.460447,Location1
2023-10-14,3519.684,Egypt,29.887561,32.460447,Location1
2023-10-15,4869.594,Egypt,29.887561,32.460447,Location1
2023-10-16,4783.112,Egypt,29.887561,32.460447,Location1
2023-10-17,4577.522,Egypt,29.887561,32.460447,Location1
2023-10-18,4453.091,Egypt,29.887561,32.460447,Location1
2023-10-19,4780.12,Egypt,29.887561,32.460447,Location1
2023-10-20,4880.595,Egypt,29.887561,32.460447,Location1
2023-10-21,4708.723,Egypt,29.887561,32.460447,Location1
2023-10-22,4617.091,Egypt,29.887561,32.460447,Location1
2023-10-23,4477.044,Egypt,29.887561,32.460447,Location1
2023-10-24,4496.79,Egypt,29.887561,32.460447,Location1
2023-10-25,4447.793,Egypt,29.887561,32.460447,Location1
2023-10-26,4254.42,Egypt,29.887561,32.460447,Location1
2023-10-27,2145.51,Egypt,29.887561,32.460447,Location1
2023-10-28,3729.263,Egypt,29.887561,32.460447,Location1
2023-10-29,3905.754,Egypt,29.887561,32.460447,Location1
2023-10-30,3707.695,Egypt,29.887561,32.460447,Location1
2023-10-31,3872.921,Egypt,29.887561,32.460447,Location1
2023-11-01,3749.122,Egypt,29.887561,32.460447,Location1
2023-11-02,3706.165,Egypt,29.887561,32.460447,Location1
2023-11-03,4014.902,Egypt,29.887561,32.460447,Location1
2023-11-04,3995.306,Egypt,29.887561,32.460447,Location1
2023-11-05,4002.304,Egypt,29.887561,32.460447,Location1
2023-11-06,4384.499,Egypt,29.887561,32.460447,Location1
2023-11-07,4303.225,Egypt,29.887561,32.460447,Location1
2023-11-08,4222.505,Egypt,29.887561,32.460447,Location1
2023-11-09,4124.748,Egypt,29.887561,32.460447,Location1
2023-11-10,4030.022,Egypt,29.887561,32.460447,Location1
2023-11-11,2604.205,Egypt,29.887561,32.460447,Location1
2023-11-12,2795.677,Egypt,29.887561,32.460447,Location1
2023-11-13,3671.297,Egypt,29.887561,32.460447,Location1
2023-11-14,3658.297,Egypt,29.887561,32.460447,Location1
2023-11-15,3213.52,Egypt,29.887561,32.460447,Location1
2023-11-16,3779.797,Egypt,29.887561,32.460447,Location1
2023-11-17,3726.287,Egypt,29.887561,32.460447,Location1
2023-11-18,3279.451,Egypt,29.887561,32.460447,Location1
2023-11-19,2206.942,Egypt,29.887561,32.460447,Location1
2023-11-20,2874.916,Egypt,29.887561,32.460447,Location1
2023-11-21,3795.734,Egypt,29.887561,32.460447,Location1
2023-11-22,3039.883,Egypt,29.887561,32.460447,Location1
2023-11-23,3709.823,Egypt,29.887561,32.460447,Location1
2023-11-24,3645.139,Egypt,29.887561,32.460447,Location1
2023-11-25,2676.1,Egypt,29.887561,32.460447,Location1
2023-11-26,3677.148,Egypt,29.887561,32.460447,Location1
2023-11-27,3118.56,Egypt,29.887561,32.460447,Location1
2023-11-28,3158.943,Egypt,29.887561,32.460447,Location1
2023-11-29,3677.585,Egypt,29.887561,32.460447,Location1
2023-11-30,3634.391,Egypt,29.887561,32.460447,Location1
2023-12-01,3262.735,Egypt,29.887561,32.460447,Location1
2023-12-02,3187.599,Egypt,29.887561,32.460447,Location1
2023-12-03,3404.517,Egypt,29.887561,32.460447,Location1
2023-12-04,3223.318,Egypt,29.887561,32.460447,Location1
2023-12-05,2792.621,Egypt,29.887561,32.460447,Location1
2023-12-06,2614.937,Egypt,29.887561,32.460447,Location1
2023-12-07,3245.26,Egypt,29.887561,32.460447,Location1
2023-12-08,2747.481,Egypt,29.887561,32.460447,Location1
2023-12-09,2929.024,Egypt,29.887561,32.460447,Location1
2023-12-10,3056.87,Egypt,29.887561,32.460447,Location1
2023-12-11,3486.955,Egypt,29.887561,32.460447,Location1
2023-12-12,3458.82,Egypt,29.887561,32.460447,Location1
2023-12-13,3080.663,Egypt,29.887561,32.460447,Location1
2023-12-14,3151.732,Egypt,29.887561,32.460447,Location1
2023-12-15,3550.995,Egypt,29.887561,32.460447,Location1
2023-12-16,3436.443,Egypt,29.887561,32.460447,Location1
2023-12-17,3294.357,Egypt,29.887561,32.460447,Location1
2023-12-18,2966.919,Egypt,29.887561,32.460447,Location1
2023-12-19,3327.203,Egypt,29.887561,32.460447,Location1
2023-12-20,2778.468,Egypt,29.887561,32.460447,Location1
2023-12-21,2092.066,Egypt,29.887561,32.460447,Location1
2023-12-22,3407.927,Egypt,29.887561,32.460447,Location1
2023-12-23,3519.024,Egypt,29.887561,32.460447,Location1
2023-12-24,2430.69,Egypt,29.887561,32.460447,Location1
2023-12-25,3018.766,Egypt,29.887561,32.460447,Location1
2023-12-26,3306.366,Egypt,29.887561,32.460447,Location1
2023-12-27,2591.601,Egypt,29.887561,32.460447,Location1
2023-12-28,2415.569,Egypt,29.887561,32.460447,Location1
2023-12-29,2771.034,Egypt,29.887561,32.460447,Location1
2023-12-30,3381.573,Egypt,29.887561,32.460447,Location1
2023-12-31,3099.894,Egypt,29.887561,32.460447,Location1
2024-01-01,3128.732,Egypt,29.887561,32.460447,Location1
2024-01-02,2970.528,Egypt,29.887561,32.460447,Location1
2024-01-03,3617.058,Egypt,29.887561,32.460447,Location1
2024-01-04,3267.084,Egypt,29.887561,32.460447,Location1
2024-01-05,3497.458,Egypt,29.887561,32.460447,Location1
2024-01-06,3490.91,Egypt,29.887561,32.460447,Location1
2024-01-07,3608.021,Egypt,29.887561,32.460447,Location1
2024-01-08,3623.668,Egypt,29.887561,32.460447,Location1
2024-01-09,3565.816,Egypt,29.887561,32.460447,Location1
2024-01-10,3729.689,Egypt,29.887561,32.460447,Location1
2024-01-11,2360.601,Egypt,29.887561,32.460447,Location1
2024-01-12,3786.647,Egypt,29.887561,32.460447,Location1
2024-01-13,3663.313,Egypt,29.887561,32.460447,Location1
2024-01-14,2195.83,Egypt,29.887561,32.460447,Location1
2024-01-15,3580.672,Egypt,29.887561,32.460447,Location1
2024-01-16,3555.166,Egypt,29.887561,32.460447,Location1
2024-01-17,3631.184,Egypt,29.887561,32.460447,Location1
2024-01-18,3665.842,Egypt,29.887561,32.460447,Location1
2024-01-19,3692.859,Egypt,29.887561,32.460447,Location1
2024-01-20,3635.142,Egypt,29.887561,32.460447,Location1
2024-01-21,3532.831,Egypt,29.887561,32.460447,Location1
2024-01-22,3700.693,Egypt,29.887561,32.460447,Location1
2024-01-23,3144.448,Egypt,29.887561,32.460447,Location1
2024-01-24,3696.311,Egypt,29.887561,32.460447,Location1
2024-01-25,2527.754,Egypt,29.887561,32.460447,Location1
2024-01-26,3598.242,Egypt,29.887561,32.460447,Location1
2024-01-27,2788.274,Egypt,29.887561,32.460447,Location1
2024-01-28,3063.854,Egypt,29.887561,32.460447,Location1
2024-01-29,4227.659,Egypt,29.887561,32.460447,Location1
2024-01-30,3930.281,Egypt,29.887561,32.460447,Location1
2024-01-31,4078.106,Egypt,29.887561,32.460447,Location1
2024-02-01,4409.043,Egypt,29.887561,32.460447,Location1
2024-02-02,4023.38,Egypt,29.887561,32.460447,Location1
2024-02-03,4579.882,Egypt,29.887561,32.460447,Location1
2024-02-04,4433.96,Egypt,29.887561,32.460447,Location1
2024-02-05,4195.598,Egypt,29.887561,32.460447,Location1
2024-02-06,4594.044,Egypt,29.887561,32.460447,Location1
2024-02-07,4583.077,Egypt,29.887561,32.460447,Location1
2024-02-08,4732.897,Egypt,29.887561,32.460447,Location1
2024-02-09,4550.312,Egypt,29.887561,32.460447,Location1
2024-02-10,4658.213,Egypt,29.887561,32.460447,Location1
2024-02-11,4819.333,Egypt,29.887561,32.460447,Location1
2024-02-12,2715.917,Egypt,29.887561,32.460447,Location1
2024-02-13,3169.63,Egypt,29.887561,32.460447,Location1
2024-02-14,3983.658,Egypt,29.887561,32.460447,Location1
2024-02-15,3419.186,Egypt,29.887561,32.460447,Location1
2024-02-16,4838.489,Egypt,29.887561,32.460447,Location1
2024-02-17,5046.179,Egypt,29.887561,32.460447,Location1
2024-02-18,4774.114,Egypt,29.887561,32.460447,Location1
2024-02-19,3876.406,Egypt,29.887561,32.460447,Location1
2024-02-20,5139.49,Egypt,29.887561,32.460447,Location1
2024-02-21,4972.714,Egypt,29.887561,32.460447,Location1
2024-02-22,4844.018,Egypt,29.887561,32.460447,Location1
2024-02-23,2346.057,Egypt,29.887561,32.460447,Location1
2024-02-24,5043.374,Egypt,29.887561,32.460447,Location1
2024-02-25,5314.898,Egypt,29.887561,32.460447,Location1
2024-02-26,5263.818,Egypt,29.887561,32.460447,Location1
2024-02-27,4566.202,Egypt,29.887561,32.460447,Location1
2024-02-28,5212.635,Egypt,29.887561,32.460447,Location1
2024-02-29,5445.961,Egypt,29.887561,32.460447,Location1
2024-03-01,5202.33,Egypt,29.887561,32.460447,Location1
2024-03-02,5394.942,Egypt,29.887561,32.460447,Location1
2024-03-03,5294.954,Egypt,29.887561,32.460447,Location1
2024-03-04,5286.113,Egypt,29.887561,32.460447,Location1
2024-03-05,5430.233,Egypt,29.887561,32.460447,Location1
2024-03-06,5269.236,Egypt,29.887561,32.460447,Location1
2024-03-07,5083.302,Egypt,29.887561,32.460447,Location1
2024-03-08,5302.968,Egypt,29.887561,32.460447,Location1
2024-03-09,4113.575,Egypt,29.887561,32.460447,Location1
2024-03-10,5463.941,Egypt,29.887561,32.460447,Location1
2024-03-11,5625.846,Egypt,29.887561,32.460447,Location1
2024-03-12,5710.986,Egypt,29.887561,32.460447,Location1
2024-03-13,5330.496,Egypt,29.887561,32.460447,Location1
2024-03-14,5282.841,Egypt,29.887561,32.460447,Location1
2024-03-15,5277.18,Egypt,29.887561,32.460447,Location1
2024-03-16,3367.69,Egypt,29.887561,32.460447,Location1
2024-03-17,4126.676,Egypt,29.887561,32.460447,Location1
2024-03-18,1945.366,Egypt,29.887561,32.460447,Location1
2024-03-19,5892.534,Egypt,29.887561,32.460447,Location1
2024-03-20,6067.865,Egypt,29.887561,32.460447,Location1
2024-03-21,6044.582,Egypt,29.887561,32.460447,Location1
2024-03-22,6229.741,Egypt,29.887561,32.460447,Location1
2024-03-23,6285.81,Egypt,29.887561,32.460447,Location1
2024-03-24,4625.021,Egypt,29.887561,32.460447,Location1
2024-03-25,6145.33,Egypt,29.887561,32.460447,Location1
2024-03-26,5954.627,Egypt,29.887561,32.460447,Location1
2024-03-27,5926.794,Egypt,29.887561,32.460447,Location1
2024-03-28,3732.9,Egypt,29.887561,32.460447,Location1
2024-03-29,5417.032,Egypt,29.887561,32.460447,Location1
2024-03-30,5979.916,Egypt,29.887561,32.460447,Location1
2024-03-31,6042.468,Egypt,29.887561,32.460447,Location1
2024-04-01,5775.511,Egypt,29.887561,32.460447,Location1
2024-04-02,6069.937,Egypt,29.887561,32.460447,Location1
2024-04-03,6191.374,Egypt,29.887561,32.460447,Location1
2024-04-04,6308.34,Egypt,29.887561,32.460447,Location1
2024-04-05,6211.313,Egypt,29.887561,32.460447,Location1
2024-04-06,6446.514,Egypt,29.887561,32.460447,Location1
2024-04-07,6276.427,Egypt,29.887561,32.460447,Location1
2024-04-08,5594.463,Egypt,29.887561,32.460447,Location1
2024-04-09,6317.77,Egypt,29.887561,32.460447,Location1
2024-04-10,6576.536,Egypt,29.887561,32.460447,Location1
2024-04-11,6478.564,Egypt,29.887561,32.460447,Location1
2024-04-12,6695.939,Egypt,29.887561,32.460447,Location1
2024-04-13,6556.161,Egypt,29.887561,32.460447,Location1
2024-04-14,6380.869,Egypt,29.887561,32.460447,Location1
2024-04-15,6496.724,Egypt,29.887561,32.460447,Location1
2024-04-16,6548.131,Egypt,29.887561,32.460447,Location1
2024-04-17,6709.784,Egypt,29.887561,32.460447,Location1
2024-04-18,4576.107,Egypt,29.887561,32.460447,Location1
2024-04-19,6651.934,Egypt,29.887561,32.460447,Location1
2024-04-20,6675.925,Egypt,29.887561,32.460447,Location1
2024-04-21,6691.189,Egypt,29.887561,32.460447,Location1
2024-04-22,7237.279,Egypt,29.887561,32.460447,Location1
2024-04-23,6690.671,Egypt,29.887561,32.460447,Location1
2024-04-24,7160.482,Egypt,29.887561,32.460447,Location1
2024-04-25,4908.397,Egypt,29.887561,32.460447,Location1
2024-04-26,6587.588,Egypt,29.887561,32.460447,Location1
2024-04-27,6911.991,Egypt,29.887561,32.460447,Location1
2024-04-28,6934.338,Egypt,29.887561,32.460447,Location1
2024-04-29,7101.35,Egypt,29.887561,32.460447,Location1
2024-04-30,7312.968,Egypt,29.887561,32.460447,Location1
2024-05-01,7015.442,Egypt,29.887561,32.460447,Location1
2024-05-02,6998.56,Egypt,29.887561,32.460447,Location1
2024-05-03,6800.596,Egypt,29.887561,32.460447,Location1
2024-05-04,6816.882,Egypt,29.887561,32.460447,Location1
2024-05-05,7098.717,Egypt,29.887561,32.460447,Location1
2024-05-06,5993.742,Egypt,29.887561,32.460447,Location1
2024-05-07,7255.844,Egypt,29.887561,32.460447,Location1
2024-05-08,7611.699,Egypt,29.887561,32.460447,Location1
2024-05-09,7267.446,Egypt,29.887561,32.460447,Location1
2024-05-10,5479.537,Egypt,29.887561,32.460447,Location1
2024-05-11,5933.926,Egypt,29.887561,32.460447,Location1
2024-05-12,6705.126,Egypt,29.887561,32.460447,Location1
2024-05-13,6962.795,Egypt,29.887561,32.460447,Location1
2024-05-14,6975.442,Egypt,29.887561,32.460447,Location1
2024-05-15,7073.304,Egypt,29.887561,32.460447,Location1
2024-05-16,7003.784,Egypt,29.887561,32.460447,Location1
2024-05-17,6805.787,Egypt,29.887561,32.460447,Location1
2024-05-18,6409.082,Egypt,29.887561,32.460447,Location1
2024-05-19,5888.857,Egypt,29.887561,32.460447,Location1
2024-05-20,6233.836,Egypt,29.887561,32.460447,Location1
2024-05-21,6127.304,Egypt,29.887561,32.460447,Location1
2024-05-22,6758.631,Egypt,29.887561,32.460447,Location1
2024-05-23,6557.098,Egypt,29.887561,32.460447,Location1
2024-05-24,7067.417,Egypt,29.887561,32.460447,Location1
2024-05-25,6908.257,Egypt,29.887561,32.460447,Location1
2024-05-26,6885.756,Egypt,29.887561,32.460447,Location1
2024-05-27,6641.018,Egypt,29.887561,32.460447,Location1
2024-05-28,6358.022,Egypt,29.887561,32.460447,Location1
2024-05-29,7558.339,Egypt,29.887561,32.460447,Location1
2024-05-30,7245.663,Egypt,29.887561,32.460447,Location1
2024-05-31,7348.673,Egypt,29.887561,32.460447,Location1
2024-06-01,7162.77,Egypt,29.887561,32.460447,Location1
2024-06-02,7675.66,Egypt,29.887561,32.460447,Location1
2024-06-03,7504.667,Egypt,29.887561,32.460447,Location1
2024-06-04,7345.526,Egypt,29.887561,32.460447,Location1
2024-06-05,7387.738,Egypt,29.887561,32.460447,Location1
2024-06-06,7357.129,Egypt,29.887561,32.460447,Location1
2024-06-07,7355.817,Egypt,29.887561,32.460447,Location1
2024-06-08,6955.086,Egypt,29.887561,32.460447,Location1
2024-06-09,6922.845,Egypt,29.887561,32.460447,Location1
2024-06-10,6968.71,Egypt,29.887561,32.460447,Location1
2024-06-11,7303.878,Egypt,29.887561,32.460447,Location1
2024-06-12,7430.078,Egypt,29.887561,32.460447,Location1
2024-06-13,7343.254,Egypt,29.887561,32.460447,Location1
2024-06-14,7286.434,Egypt,29.887561,32.460447,Location1
2024-06-15,7164.183,Egypt,29.887561,32.460447,Location1
2024-06-16,7059.93,Egypt,29.887561,32.460447,Location1
2024-06-17,7296.554,Egypt,29.887561,32.460447,Location1
2024-06-18,7139.974,Egypt,29.887561,32.460447,Location1
2024-06-19,7250.116,Egypt,29.887561,32.460447,Location1
2024-06-20,7189.159,Egypt,29.887561,32.460447,Location1
2024-06-21,6941.855,Egypt,29.887561,32.460447,Location1
2024-06-22,6992.601,Egypt,29.887561,32.460447,Location1
2024-06-23,6852.855,Egypt,29.887561,32.460447,Location1
2024-06-24,6906.574,Egypt,29.887561,32.460447,Location1
2024-06-25,6799.318,Egypt,29.887561,32.460447,Location1
2024-06-26,7016.888,Egypt,29.887561,32.460447,Location1
2024-06-27,6989.801,Egypt,29.887561,32.460447,Location1
2024-06-28,6836.68,Egypt,29.887561,32.460447,Location1
2024-06-29,6511.063,Egypt,29.887561,32.460447,Location1
2024-06-30,6405.046,Egypt,29.887561,32.460447,Location1
2024-07-01,6578.707,Egypt,29.887561,32.460447,Location1
2024-07-02,7261.743,Egypt,29.887561,32.460447,Location1
2024-07-03,7633.934,Egypt,29.887561,32.460447,Location1
2024-07-04,7091.574,Egypt,29.887561,32.460447,Location1
2024-07-05,7238.657,Egypt,29.887561,32.460447,Location1
2024-07-06,7358.601,Egypt,29.887561,32.460447,Location1
2024-07-07,7395.62,Egypt,29.887561,32.460447,Location1
2024-07-08,7175.844,Egypt,29.887561,32.460447,Location1
2024-07-09,7035.707,Egypt,29.887561,32.460447,Location1
2024-07-10,7093.604,Egypt,29.887561,32.460447,Location1
2024-07-11,6910.337,Egypt,29.887561,32.460447,Location1
2024-07-12,7051.361,Egypt,29.887561,32.460447,Location1
