MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2020-01-31,6453.1083549,Ghana,5.645686,0.008678,Location2
2020-02-01,6603.56474786,Ghana,5.645686,0.008678,Location2
2020-02-02,6696.66451433,Ghana,5.645686,0.008678,Location2
2020-12-22,4749.6171421,Ghana,5.645686,0.008678,Location2
2020-12-23,5011.70317621,Ghana,5.645686,0.008678,Location2
2020-12-24,4913.08482398,Ghana,5.645686,0.008678,Location2
2020-12-25,4990.05333634,Ghana,5.645686,0.008678,Location2
2020-12-26,5157.56495093,Ghana,5.645686,0.008678,Location2
2020-12-27,5496.70289212,Ghana,5.645686,0.008678,Location2
2020-12-28,3468.624125,Ghana,5.645686,0.008678,Location2
2020-12-29,3817.93970833,Ghana,5.645686,0.008678,Location2
2020-12-30,3686.22191667,Ghana,5.645686,0.008678,Location2
2020-12-31,4278.11579167,Ghana,5.645686,0.008678,Location2
2021-01-01,4348.568875,Ghana,5.645686,0.008678,Location2
2021-01-02,795.651875,Ghana,5.645686,0.008678,Location2
2021-01-03,4645.10108333,Ghana,5.645686,0.008678,Location2
2021-01-04,4298.10908333,Ghana,5.645686,0.008678,Location2
2021-01-05,4613.07166667,Ghana,5.645686,0.008678,Location2
2021-01-06,3839.73920833,Ghana,5.645686,0.008678,Location2
2021-01-07,4364.698125,Ghana,5.645686,0.008678,Location2
2021-01-08,4951.23266667,Ghana,5.645686,0.008678,Location2
2021-01-09,5363.983,Ghana,5.645686,0.008678,Location2
2021-01-10,5469.29291667,Ghana,5.645686,0.008678,Location2
2021-01-11,5731.70520833,Ghana,5.645686,0.008678,Location2
2021-01-12,5235.26975,Ghana,5.645686,0.008678,Location2
2021-01-13,5332.25191667,Ghana,5.645686,0.008678,Location2
2021-01-14,5353.57016667,Ghana,5.645686,0.008678,Location2
2021-01-15,5007.78095833,Ghana,5.645686,0.008678,Location2
2021-01-16,4804.744375,Ghana,5.645686,0.008678,Location2
2021-01-17,4922.45616667,Ghana,5.645686,0.008678,Location2
2021-01-18,4572.59466667,Ghana,5.645686,0.008678,Location2
2021-01-19,4645.18479167,Ghana,5.645686,0.008678,Location2
2021-01-20,4539.67945833,Ghana,5.645686,0.008678,Location2
2021-01-21,4158.66633333,Ghana,5.645686,0.008678,Location2
2021-01-22,4190.97191667,Ghana,5.645686,0.008678,Location2
2021-01-23,3529.345,Ghana,5.645686,0.008678,Location2
2021-01-24,3844.32775,Ghana,5.645686,0.008678,Location2
2021-01-25,3788.908625,Ghana,5.645686,0.008678,Location2
2021-01-26,3897.77295833,Ghana,5.645686,0.008678,Location2
2021-01-27,4283.68020833,Ghana,5.645686,0.008678,Location2
2021-01-28,4376.93254167,Ghana,5.645686,0.008678,Location2
2021-01-29,4588.54608333,Ghana,5.645686,0.008678,Location2
2021-01-30,4192.54779167,Ghana,5.645686,0.008678,Location2
2021-01-31,4397.76479167,Ghana,5.645686,0.008678,Location2
2021-02-01,4558.89670833,Ghana,5.645686,0.008678,Location2
2021-02-02,4289.8325,Ghana,5.645686,0.008678,Location2
2021-02-03,4358.011875,Ghana,5.645686,0.008678,Location2
2021-02-04,4363.01408333,Ghana,5.645686,0.008678,Location2
2021-02-05,4008.30491667,Ghana,5.645686,0.008678,Location2
2021-02-06,5019.24791667,Ghana,5.645686,0.008678,Location2
2021-02-07,4876.042,Ghana,5.645686,0.008678,Location2
2021-02-08,4597.40975,Ghana,5.645686,0.008678,Location2
2021-02-09,5252.49779167,Ghana,5.645686,0.008678,Location2
2021-02-10,5434.70320833,Ghana,5.645686,0.008678,Location2
2021-02-11,5396.48979167,Ghana,5.645686,0.008678,Location2
2021-02-12,5182.961125,Ghana,5.645686,0.008678,Location2
2021-02-13,5391.17245833,Ghana,5.645686,0.008678,Location2
2021-02-14,5399.29929167,Ghana,5.645686,0.008678,Location2
2021-02-15,5701.62383333,Ghana,5.645686,0.008678,Location2
2021-02-16,5633.74091667,Ghana,5.645686,0.008678,Location2
2021-02-17,5549.84816667,Ghana,5.645686,0.008678,Location2
2021-02-18,4659.46845833,Ghana,5.645686,0.008678,Location2
2021-02-19,4753.21945833,Ghana,5.645686,0.008678,Location2
2021-02-20,5049.18795833,Ghana,5.645686,0.008678,Location2
2021-02-21,5003.48941667,Ghana,5.645686,0.008678,Location2
2021-02-22,4794.50533333,Ghana,5.645686,0.008678,Location2
2021-02-23,4624.63266667,Ghana,5.645686,0.008678,Location2
