MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2021-02-25,4283.50016667,Ghana,-0.235111,5.632167,Location3
2021-02-26,5279.22583333,Ghana,-0.235111,5.632167,Location3
2021-02-27,5180.78016667,Ghana,-0.235111,5.632167,Location3
2021-02-28,5064.693,Ghana,-0.235111,5.632167,Location3
2021-03-01,5079.29166667,Ghana,-0.235111,5.632167,Location3
2021-03-02,4688.2645,Ghana,-0.235111,5.632167,Location3
2021-03-03,4893.61216667,Ghana,-0.235111,5.632167,Location3
2021-03-04,4521.80733333,Ghana,-0.235111,5.632167,Location3
2021-03-05,5270.6965,Ghana,-0.235111,5.632167,Location3
2021-03-06,4627.0515,Ghana,-0.235111,5.632167,Location3
2021-03-07,4499.49966667,Ghana,-0.235111,5.632167,Location3
2021-03-08,5461.3835,Ghana,-0.235111,5.632167,Location3
2021-03-09,5357.13883333,Ghana,-0.235111,5.632167,Location3
2021-03-10,5671.6035,Ghana,-0.235111,5.632167,Location3
2021-03-11,5837.1945,Ghana,-0.235111,5.632167,Location3
2021-03-12,5414.76610833,Ghana,-0.235111,5.632167,Location3
2021-03-13,4406.95116667,Ghana,-0.235111,5.632167,Location3
2021-03-14,2072.231875,Ghana,-0.235111,5.632167,Location3
2021-03-15,5533.78416667,Ghana,-0.235111,5.632167,Location3
2021-03-16,1416.93216667,Ghana,-0.235111,5.632167,Location3
2021-03-17,3810.002375,Ghana,-0.235111,5.632167,Location3
2021-03-18,5344.17083333,Ghana,-0.235111,5.632167,Location3
2021-03-19,5443.85633333,Ghana,-0.235111,5.632167,Location3
2021-03-20,5858.9025,Ghana,-0.235111,5.632167,Location3
2021-03-21,5831.421,Ghana,-0.235111,5.632167,Location3
2021-03-22,4672.85033333,Ghana,-0.235111,5.632167,Location3
2021-03-23,4726.63233333,Ghana,-0.235111,5.632167,Location3
2021-03-24,5509.59666667,Ghana,-0.235111,5.632167,Location3
2021-03-25,4715.099,Ghana,-0.235111,5.632167,Location3
2021-03-26,6155.42366667,Ghana,-0.235111,5.632167,Location3
2021-03-27,4654.55383333,Ghana,-0.235111,5.632167,Location3
2021-03-28,3738.31966667,Ghana,-0.235111,5.632167,Location3
2021-03-29,4868.23833333,Ghana,-0.235111,5.632167,Location3
2021-03-30,4255.28466667,Ghana,-0.235111,5.632167,Location3
2021-03-31,4586.20666667,Ghana,-0.235111,5.632167,Location3
2021-04-01,4369.89016667,Ghana,-0.235111,5.632167,Location3
2021-04-02,4270.26533333,Ghana,-0.235111,5.632167,Location3
2021-04-03,4985.51116667,Ghana,-0.235111,5.632167,Location3
2021-04-04,5126.26233333,Ghana,-0.235111,5.632167,Location3
2021-04-05,5162.12866667,Ghana,-0.235111,5.632167,Location3
2021-04-06,5638.15754167,Ghana,-0.235111,5.632167,Location3
2021-04-07,5077.77233333,Ghana,-0.235111,5.632167,Location3
2021-04-08,4558.72766667,Ghana,-0.235111,5.632167,Location3
2021-04-09,3327.80033333,Ghana,-0.235111,5.632167,Location3
2021-04-10,5907.82516667,Ghana,-0.235111,5.632167,Location3
2021-04-11,5964.76566667,Ghana,-0.235111,5.632167,Location3
2021-04-12,5059.11933333,Ghana,-0.235111,5.632167,Location3
2021-04-13,5577.17316667,Ghana,-0.235111,5.632167,Location3
2021-04-14,5829.05283333,Ghana,-0.235111,5.632167,Location3
2021-04-15,5747.35916667,Ghana,-0.235111,5.632167,Location3
2021-04-16,5647.26116667,Ghana,-0.235111,5.632167,Location3
2021-04-17,4049.162,Ghana,-0.235111,5.632167,Location3
2021-04-18,5526.664,Ghana,-0.235111,5.632167,Location3
2021-04-19,5734.7355,Ghana,-0.235111,5.632167,Location3
2021-04-20,470.56683333,Ghana,-0.235111,5.632167,Location3
2021-04-21,0.0,Ghana,-0.235111,5.632167,Location3
2021-04-22,0.0,Ghana,-0.235111,5.632167,Location3
2021-04-23,0.0,Ghana,-0.235111,5.632167,Location3
2021-04-27,507.70645833,Ghana,-0.235111,5.632167,Location3
2021-04-28,4080.99983333,Ghana,-0.235111,5.632167,Location3
2021-04-29,3576.53216667,Ghana,-0.235111,5.632167,Location3
2021-04-30,6166.65,Ghana,-0.235111,5.632167,Location3
2021-05-01,6145.6295,Ghana,-0.235111,5.632167,Location3
2021-05-02,5806.11166667,Ghana,-0.235111,5.632167,Location3
2021-05-03,3419.35966667,Ghana,-0.235111,5.632167,Location3
