MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2020-12-22,6753.43332917,Kenya,-0.22,35.86,Location 5
2020-12-23,6672.60692812,Kenya,-0.22,35.86,Location 5
2020-12-24,5654.75781536,Kenya,-0.22,35.86,Location 5
2020-12-25,6709.88801632,Kenya,-0.22,35.86,Location 5
2020-12-26,6557.38943092,Kenya,-0.22,35.86,Location 5
2020-12-27,7139.38472603,Kenya,-0.22,35.86,Location 5
2020-12-28,7338.923017,Kenya,-0.22,35.86,Location 5
2020-12-29,7201.46725253,Kenya,-0.22,35.86,Location 5
2020-12-30,6816.14873615,Kenya,-0.22,35.86,Location 5
2020-12-31,3337.83111167,Kenya,-0.22,35.86,Location 5
2021-01-01,0.0,Kenya,-0.22,35.86,Location 5
2021-01-01,3743.365,Kenya,-0.22,35.86,Location 5
2021-01-02,7082.45166667,Kenya,-0.22,35.86,Location 5
2021-01-02,0.0,Kenya,-0.22,35.86,Location 5
2021-01-03,0.0,Kenya,-0.22,35.86,Location 5
2021-01-03,7259.59166667,Kenya,-0.22,35.86,Location 5
2021-01-04,6928.56083333,Kenya,-0.22,35.86,Location 5
2021-01-04,7300.30916667,Kenya,-0.22,35.86,Location 5
2021-01-05,7238.46333333,Kenya,-0.22,35.86,Location 5
2021-01-05,6813.2775,Kenya,-0.22,35.86,Location 5
2021-01-06,6761.3475,Kenya,-0.22,35.86,Location 5
2021-01-06,7178.6,Kenya,-0.22,35.86,Location 5
2021-01-07,7381.015,Kenya,-0.22,35.86,Location 5
2021-01-07,6844.49583333,Kenya,-0.22,35.86,Location 5
2021-01-08,6228.4925,Kenya,-0.22,35.86,Location 5
2021-01-08,6345.59416667,Kenya,-0.22,35.86,Location 5
2021-01-09,2716.9925,Kenya,-0.22,35.86,Location 5
2021-01-09,2765.01166667,Kenya,-0.22,35.86,Location 5
2021-01-10,2185.435,Kenya,-0.22,35.86,Location 5
2021-01-10,2194.35583333,Kenya,-0.22,35.86,Location 5
2021-01-11,4122.35666667,Kenya,-0.22,35.86,Location 5
2021-01-11,3968.21333333,Kenya,-0.22,35.86,Location 5
2021-01-12,4431.84333333,Kenya,-0.22,35.86,Location 5
2021-01-12,4433.8025,Kenya,-0.22,35.86,Location 5
2021-01-13,4979.93416667,Kenya,-0.22,35.86,Location 5
2021-01-13,4793.76666667,Kenya,-0.22,35.86,Location 5
2021-01-14,5062.3425,Kenya,-0.22,35.86,Location 5
2021-01-14,4801.40583333,Kenya,-0.22,35.86,Location 5
