MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-09-01,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-02,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-03,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-04,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-05,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-06,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-07,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-08,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-09,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-10,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-11,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-12,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-13,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-14,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-15,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-16,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-17,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-18,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-19,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-20,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-21,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-22,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-23,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-24,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-25,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-26,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-27,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-28,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-29,0.0,Kenya,-0.227185,35.884984,Location 9
2023-09-30,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-01,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-02,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-03,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-04,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-05,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-06,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-07,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-08,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-09,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-10,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-11,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-12,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-13,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-14,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-15,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-16,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-17,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-18,0.0,Kenya,-0.227185,35.884984,Location 9
2023-10-19,0.0,Kenya,-0.227185,35.884984,Location 9
