MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-02-13,1676.35883333,Madagascar,-25.053564,46.947956,Location 1
2023-02-14,7747.89566667,Madagascar,-25.053564,46.947956,Location 1
2023-02-15,7526.9305,Madagascar,-25.053564,46.947956,Location 1
2023-02-16,7209.18075,Madagascar,-25.053564,46.947956,Location 1
2023-02-17,6707.69958333,Madagascar,-25.053564,46.947956,Location 1
2023-02-18,7648.02233333,Madagascar,-25.053564,46.947956,Location 1
2023-02-19,7452.77933333,Madagascar,-25.053564,46.947956,Location 1
2023-02-20,7529.20066667,Madagascar,-25.053564,46.947956,Location 1
2023-02-21,6707.35033333,Madagascar,-25.053564,46.947956,Location 1
2023-02-24,3861.32341667,Madagascar,-25.053564,46.947956,Location 1
2023-02-25,7423.54641667,Madagascar,-25.053564,46.947956,Location 1
2023-02-26,7418.80341667,Madagascar,-25.053564,46.947956,Location 1
2023-02-27,7262.42725,Madagascar,-25.053564,46.947956,Location 1
2023-02-28,7079.1085,Madagascar,-25.053564,46.947956,Location 1
2023-03-01,6275.84608333,Madagascar,-25.053564,46.947956,Location 1
2023-03-02,6672.49458333,Madagascar,-25.053564,46.947956,Location 1
2023-03-03,2774.95901389,Madagascar,-25.053564,46.947956,Location 1
2023-03-04,2061.2035,Madagascar,-25.053564,46.947956,Location 1
2023-03-05,1422.71779167,Madagascar,-25.053564,46.947956,Location 1
2023-03-06,1281.02008333,Madagascar,-25.053564,46.947956,Location 1
2023-03-07,3171.87425,Madagascar,-25.053564,46.947956,Location 1
2023-03-08,3017.84604167,Madagascar,-25.053564,46.947956,Location 1
2023-03-09,2727.372875,Madagascar,-25.053564,46.947956,Location 1
2023-03-10,4796.71252778,Madagascar,-25.053564,46.947956,Location 1
2023-03-11,5379.93754167,Madagascar,-25.053564,46.947956,Location 1
2023-03-12,7178.04020833,Madagascar,-25.053564,46.947956,Location 1
2023-03-13,6499.38045833,Madagascar,-25.053564,46.947956,Location 1
2023-03-14,6135.738375,Madagascar,-25.053564,46.947956,Location 1
2023-03-15,2567.01695833,Madagascar,-25.053564,46.947956,Location 1
2023-03-16,4264.33820833,Madagascar,-25.053564,46.947956,Location 1
2023-03-17,5719.98472222,Madagascar,-25.053564,46.947956,Location 1
2023-03-18,1971.07972222,Madagascar,-25.053564,46.947956,Location 1
2023-03-19,6482.16257292,Madagascar,-25.053564,46.947956,Location 1
2023-03-20,5834.92216667,Madagascar,-25.053564,46.947956,Location 1
2023-03-21,3574.71216667,Madagascar,-25.053564,46.947956,Location 1
2023-03-22,5259.11420833,Madagascar,-25.053564,46.947956,Location 1
2023-03-23,5738.922375,Madagascar,-25.053564,46.947956,Location 1
2023-03-24,6461.34741667,Madagascar,-25.053564,46.947956,Location 1
2023-03-25,1339.622,Madagascar,-25.053564,46.947956,Location 1
2023-03-26,3162.02633333,Madagascar,-25.053564,46.947956,Location 1
2023-03-27,5703.63525,Madagascar,-25.053564,46.947956,Location 1
2023-03-28,6373.445875,Madagascar,-25.053564,46.947956,Location 1
2023-03-29,6526.52758333,Madagascar,-25.053564,46.947956,Location 1
2023-03-30,5589.21191667,Madagascar,-25.053564,46.947956,Location 1
2023-03-31,3783.69841667,Madagascar,-25.053564,46.947956,Location 1
2023-04-01,4422.10966667,Madagascar,-25.053564,46.947956,Location 1
2023-04-02,5520.85545833,Madagascar,-25.053564,46.947956,Location 1
2023-04-03,5517.42795833,Madagascar,-25.053564,46.947956,Location 1
2023-04-04,5922.85204167,Madagascar,-25.053564,46.947956,Location 1
2023-04-05,5745.63425,Madagascar,-25.053564,46.947956,Location 1
2023-04-06,4051.74283333,Madagascar,-25.053564,46.947956,Location 1
2023-04-07,5558.96895833,Madagascar,-25.053564,46.947956,Location 1
2023-04-11,1567.23680556,Madagascar,-25.053564,46.947956,Location 1
2023-04-12,4921.46179167,Madagascar,-25.053564,46.947956,Location 1
2023-04-13,5675.16108333,Madagascar,-25.053564,46.947956,Location 1
2023-04-14,5649.31891667,Madagascar,-25.053564,46.947956,Location 1
2023-04-15,2505.19936458,Madagascar,-25.053564,46.947956,Location 1
2023-04-16,3074.02121875,Madagascar,-25.053564,46.947956,Location 1
2023-04-17,4470.79554167,Madagascar,-25.053564,46.947956,Location 1
2023-04-18,3987.87941667,Madagascar,-25.053564,46.947956,Location 1
2023-04-19,4599.031875,Madagascar,-25.053564,46.947956,Location 1
2023-04-20,3011.10258333,Madagascar,-25.053564,46.947956,Location 1
2023-04-21,5413.27429167,Madagascar,-25.053564,46.947956,Location 1
2023-04-22,4844.47025,Madagascar,-25.053564,46.947956,Location 1
2023-04-23,5275.3135,Madagascar,-25.053564,46.947956,Location 1
2023-04-24,3844.73779167,Madagascar,-25.053564,46.947956,Location 1
2023-04-25,4627.08933333,Madagascar,-25.053564,46.947956,Location 1
2023-04-26,5338.70608333,Madagascar,-25.053564,46.947956,Location 1
2023-04-27,5110.995875,Madagascar,-25.053564,46.947956,Location 1
2023-04-28,4435.73291667,Madagascar,-25.053564,46.947956,Location 1
2023-04-29,3670.52945833,Madagascar,-25.053564,46.947956,Location 1
2023-04-30,4830.15729167,Madagascar,-25.053564,46.947956,Location 1
2023-05-01,4452.90995833,Madagascar,-25.053564,46.947956,Location 1
2023-05-02,4315.008375,Madagascar,-25.053564,46.947956,Location 1
2023-05-03,2779.37116667,Madagascar,-25.053564,46.947956,Location 1
2023-05-04,4805.222375,Madagascar,-25.053564,46.947956,Location 1
2023-05-05,4627.607,Madagascar,-25.053564,46.947956,Location 1
2023-05-06,73.10239583,Madagascar,-25.053564,46.947956,Location 1
2023-05-07,4872.75158333,Madagascar,-25.053564,46.947956,Location 1
2023-05-08,4454.69945833,Madagascar,-25.053564,46.947956,Location 1
2023-05-09,3871.795125,Madagascar,-25.053564,46.947956,Location 1
2023-05-10,3402.141,Madagascar,-25.053564,46.947956,Location 1
2023-05-11,3183.77004167,Madagascar,-25.053564,46.947956,Location 1
2023-05-12,3313.20545833,Madagascar,-25.053564,46.947956,Location 1
2023-05-13,1268.42192708,Madagascar,-25.053564,46.947956,Location 1
2023-05-14,4633.36716667,Madagascar,-25.053564,46.947956,Location 1
2023-05-15,3488.45954167,Madagascar,-25.053564,46.947956,Location 1
2023-05-16,3154.32903125,Madagascar,-25.053564,46.947956,Location 1
2023-05-17,4433.35545833,Madagascar,-25.053564,46.947956,Location 1
2023-05-18,4450.62804167,Madagascar,-25.053564,46.947956,Location 1
2023-05-19,4416.50541667,Madagascar,-25.053564,46.947956,Location 1
2023-05-20,3569.92054167,Madagascar,-25.053564,46.947956,Location 1
2023-05-21,2925.79466667,Madagascar,-25.053564,46.947956,Location 1
2023-05-24,2619.1625,Madagascar,-25.053564,46.947956,Location 1
2023-05-25,1607.21608333,Madagascar,-25.053564,46.947956,Location 1
2023-05-26,2424.07316667,Madagascar,-25.053564,46.947956,Location 1
2023-05-27,4347.0375,Madagascar,-25.053564,46.947956,Location 1
2023-05-28,4194.32279167,Madagascar,-25.053564,46.947956,Location 1
2023-05-29,4193.84375,Madagascar,-25.053564,46.947956,Location 1
2023-05-30,4108.35458333,Madagascar,-25.053564,46.947956,Location 1
2023-05-31,4180.8635,Madagascar,-25.053564,46.947956,Location 1
2023-06-01,4236.609,Madagascar,-25.053564,46.947956,Location 1
2023-06-02,4141.863,Madagascar,-25.053564,46.947956,Location 1
2023-06-03,4153.724,Madagascar,-25.053564,46.947956,Location 1
2023-06-04,4002.588,Madagascar,-25.053564,46.947956,Location 1
2023-06-05,4164.892,Madagascar,-25.053564,46.947956,Location 1
2023-06-06,3973.666,Madagascar,-25.053564,46.947956,Location 1
2023-06-07,3974.326,Madagascar,-25.053564,46.947956,Location 1
2023-06-08,4123.833,Madagascar,-25.053564,46.947956,Location 1
2023-06-09,3962.067,Madagascar,-25.053564,46.947956,Location 1
2023-06-10,3980.563,Madagascar,-25.053564,46.947956,Location 1
2023-06-11,3943.869,Madagascar,-25.053564,46.947956,Location 1
2023-06-12,3758.863,Madagascar,-25.053564,46.947956,Location 1
2023-06-13,3938.59,Madagascar,-25.053564,46.947956,Location 1
2023-06-14,3864.736,Madagascar,-25.053564,46.947956,Location 1
2023-06-15,3868.182,Madagascar,-25.053564,46.947956,Location 1
2023-06-16,4034.652,Madagascar,-25.053564,46.947956,Location 1
2023-06-17,3426.968,Madagascar,-25.053564,46.947956,Location 1
2023-06-18,2305.029,Madagascar,-25.053564,46.947956,Location 1
2023-06-19,4096.574,Madagascar,-25.053564,46.947956,Location 1
2023-06-20,4044.672,Madagascar,-25.053564,46.947956,Location 1
2023-06-21,3971.492,Madagascar,-25.053564,46.947956,Location 1
2023-06-22,3980.09,Madagascar,-25.053564,46.947956,Location 1
2023-06-23,780.47,Madagascar,-25.053564,46.947956,Location 1
2023-06-24,3083.106,Madagascar,-25.053564,46.947956,Location 1
2023-06-25,3680.634,Madagascar,-25.053564,46.947956,Location 1
2023-06-26,3869.08,Madagascar,-25.053564,46.947956,Location 1
2023-06-27,3701.484,Madagascar,-25.053564,46.947956,Location 1
2023-06-28,3856.598,Madagascar,-25.053564,46.947956,Location 1
2023-06-29,1241.433,Madagascar,-25.053564,46.947956,Location 1
2023-06-30,2884.49,Madagascar,-25.053564,46.947956,Location 1
2023-07-01,3884.535,Madagascar,-25.053564,46.947956,Location 1
2023-07-02,3957.529,Madagascar,-25.053564,46.947956,Location 1
2023-07-03,3196.145,Madagascar,-25.053564,46.947956,Location 1
2023-07-04,3193.556,Madagascar,-25.053564,46.947956,Location 1
2023-07-05,4015.924,Madagascar,-25.053564,46.947956,Location 1
2023-07-06,4106.66,Madagascar,-25.053564,46.947956,Location 1
2023-07-07,2280.717,Madagascar,-25.053564,46.947956,Location 1
2023-07-08,4093.618,Madagascar,-25.053564,46.947956,Location 1
2023-07-09,3944.032,Madagascar,-25.053564,46.947956,Location 1
2023-07-10,4147.421,Madagascar,-25.053564,46.947956,Location 1
2023-07-11,3442.389,Madagascar,-25.053564,46.947956,Location 1
2023-07-12,3472.476,Madagascar,-25.053564,46.947956,Location 1
2023-07-13,3011.49,Madagascar,-25.053564,46.947956,Location 1
2023-07-14,3404.128,Madagascar,-25.053564,46.947956,Location 1
2023-07-15,1551.723,Madagascar,-25.053564,46.947956,Location 1
2023-07-16,4394.081,Madagascar,-25.053564,46.947956,Location 1
2023-07-17,4330.944,Madagascar,-25.053564,46.947956,Location 1
2023-07-18,4392.864,Madagascar,-25.053564,46.947956,Location 1
2023-07-19,4391.504,Madagascar,-25.053564,46.947956,Location 1
2023-07-20,4037.583,Madagascar,-25.053564,46.947956,Location 1
